"0","by using our website, you accept and agree to the terms stated below.","Dont use service/feature"
"2","which you may unsubscribe from at any time using the unsubscribe link at the bottom of the email.","Opt-out link"
"4","you can set your browser to refuse cookies or delete any existing cookies from your computer","Browser/device privacy controls"
"4","you can set your browser to refuse cookies or delete any existing cookies from your computer","Browser/device privacy controls"
"4","set your browser to refuse cookies or delete any existing cookies from your computer","Browser/device privacy controls"
"2","with your consent","Opt-in"
"2","with your consent","Opt-in"
"2","with your consent","Opt-in"
"2","with your consent","Opt-in"
"2","with your consent","Opt-in"
"2","with your consent","Opt-in"
"2","with your consent","Opt-in"
"2","with your consent","Opt-in"
"2","with your consent","Opt-in"
"2","which you may unsubscribe from at any time using the unsubscribe link at the bottom of the email.","Opt-out link"
"4","you can set your browser","Browser/device privacy controls"
"4","you can set your browser","Browser/device privacy controls"
"4","you can set your browser","Browser/device privacy controls"
"4","you can set your browser","Browser/device privacy controls"
"6","you provide","Opt-in"
"6","you provide","Opt-in"
