"1","if you choose to register on our website or participate in our offers and programs","Opt-in"
"1","if you choose to register on our website or participate in our offers and programs","Opt-in"
"1","if you choose to register on our website or participate in our offers and programs","Opt-in"
"1","if you choose to register on our website or participate in our offers and programs","Opt-in"
"1","if you choose to register on our website or participate in our offers and programs","Opt-in"
"2","you may choose to register on our site","Opt-in"
"2","you may choose to register on our site","Opt-in"
"2","you may choose to register on our site","Opt-in"
"2","you may choose to register on our site","Opt-in"
"2","you may choose to register on our site","Opt-in"
"2","you may choose to register on our site","Opt-in"
"6","may also provide us","Other"
"6","may also provide us","Other"
"6","may also provide us","Other"
"6","may also provide us","Other"
"6","deciding whether to disclose anything personal about yourself","Other"
"10","If you take advantage of","Other"
"15","set your Internet browser settings","Browser/device privacy controls"
"18","without your consent.","Opt-in"
"20","In addition, you may be able to opt out of these ads by clicking on an icon in the ad or through the privacy settings in each social media platform.","Opt-out link"
"20","In addition, you may be able to opt out of these ads by clicking on an icon in the ad or through the privacy settings in each social media platform.","Opt-out link"
"21","unless you consent to such sharing.","Opt-in"
"25","If you prefer, you can cancel your registration altogether. E-mail us if you wish to take this action.","Opt-out via contacting company"
"25","you can change your preferences by clicking here","Opt-out link"
"25","Our website allows you to opt out of certain information gathering and sharing, or to opt out of certain products, services or features. You can change your preferences for follow-up contacts by Kraft. If you're registered with our website, you can change the information you've provided to us in the ""Your Profile"" section of the site.","First-party privacy controls"
"26","If you wish to limit how third parties use your email address to send you targeted advertising through social media on our behalf, contact us here","Opt-out via contacting company"
"1","if you choose to register on our website or participate in our offers and programs.","Dont use service/feature"
"1","if you choose to register on our website or participate in our offers and programs.","Dont use service/feature"
"1","if you choose to register on our website or participate in our offers and programs.","Dont use service/feature"
"1","We don't require you","Dont use service/feature"
"1","but if you register,","Dont use service/feature"
"2","you may choose to register on our site","Dont use service/feature"
"2","you may choose to register on our site","Dont use service/feature"
"2","you may choose to register on our site","Dont use service/feature"
"2","you may choose to register on our site","Dont use service/feature"
"2","you may choose to register on our site","Dont use service/feature"
"2","you may choose to register on our site","Dont use service/feature"
"2","you may choose to register on our site","Dont use service/feature"
"2","you may choose to register on our site","Dont use service/feature"
"2","you may choose to register on our site","Dont use service/feature"
"8","You may choose","Unspecified"
"15","You can set your Internet browser settings to stop accepting new cookies, to receive notice when you receive a new cookie, to disable existing cookies, and to omit images (which will disable pixel tags).","Browser/device privacy controls"
"18","without your consent.","Opt-in"
"20","If you wish to stop receiving advertising messages from these third parties, please review the ""Your Choices"" section below.","Unspecified"
"20","you may be able to opt out of these ads by clicking on an icon in the ad o","Opt-out link"
"20","through the privacy settings in each social media platform.","Third-party privacy controls"
"21","unless you consent to such sharing.","Opt-in"
"25","Our website allows you to opt out of certain information gathering and sharing, or to opt out of certain products, services or features. You can change your preferences for follow-up contacts by Kraft. If you're registered with our website, you can change the information you've provided to us in the ""Your Profile"" section of the site.","First-party privacy controls"
"25","f you're not registered with our site, you can change your preferences by clicking here.","Opt-out link"
"25","E-mail us if you wish to take this action.","Opt-out via contacting company"
"26","contact us here.","Opt-out via contacting company"
"2","we request","Opt-in"
"2","we request","Opt-in"
"2","we request","Opt-in"
"4","you may provide us","Opt-in"
"4","you may provide us","Opt-in"
"5","ask","Opt-in"
"5","ask","Opt-in"
"6","you may submit","Opt-in"
"6","You may also provide","Opt-in"
"6","so please exercise caution when deciding whether to disclose anything personal about yourself.","Dont use service/feature"
"8","we ask you","Opt-in"
"8","we ask you","Opt-in"
"8","choose to provide","Opt-in"
"9","request your","Opt-in"
"10","If you take advantage of our Send to a Friend option,","Opt-in"
"11","ask you to submit","Opt-in"
"12","ask our website visitors and purchasers to complete surveys and opinion polls to provide","Opt-in"
"15","set your Internet browser settings","Browser/device privacy controls"
"17","from and about you","Opt-in"
"17","from and about you","Opt-in"
"17","from and about you","Opt-in"
"17","from and about you","Opt-in"
"17","you provide","Opt-in"
"18","without your consent.","Opt-in"
"20","please review the ""Your Choices"" section below.","Other"
"20","please review the ""Your Choices"" section below.","Other"
"20","please review the ""Your Choices"" section below.","Other"
"20","you may be able","Unspecified"
"20","you may be able","Unspecified"
"20","you may be able","Unspecified"
"21","unless you consent","Opt-in"
"23","To opt out, please send a letter with your name, postal address, e-mail, with the heading ""California Privacy Rights"" to: Kraft Foods Group, Inc. Three Lakes Drive Northfield, IL 60093 Attention: Consumer Relations","Opt-out via contacting company"
"25","you can change your preferences by clicking here.","Opt-out link"
"25","you can change your preferences by clicking here.","Opt-out link"
"26","contact us here","Opt-out via contacting company"
