"4","what you supply to us on a voluntary basis upon request","Opt-in"
"4","what you supply to us on a voluntary basis upon request","Opt-in"
"4","what you supply to us on a voluntary basis upon request","Opt-in"
"7","If a visitor chooses to make a donation or order such other products or services,","Opt-in"
"7","If a visitor chooses to make a donation or order such other products or services,","Opt-in"
"8","you can submit content","Other"
"9","you can submit","Other"
"10","you opt-in to participate in these offers","Opt-in"
"11","opt-in to subscribe to these services","Opt-in"
"15","changing the settings in your web browser","Browser/device privacy controls"
"16","without first receiving your permission","Opt-in"
"18","you can simply ""opt out.""","Opt-out link"
"18","you can simply ""opt out.""","Opt-out link"
"23","please contact us","Opt-out via contacting company"
"27","opt out by following the ""unsubscribe"" instructions","Other"
"32","following the unsubscribe options at the bottom of each e-mail.","Opt-out link"
"4","what you supply to us on a voluntary basis upon request","Opt-in"
"4","what you supply to us on a voluntary basis upon request","Opt-in"
"7","chooses to make a donation","Opt-in"
"7","chooses to make a donation","Opt-in"
"10","optional (i.e., you opt-in to participate in these offers)","Opt-in"
"11","optional (i.e. you opt-in to subscribe to these services","Opt-in"
"15","changing the settings in your web browser","Browser/device privacy controls"
"18","you can simply ""opt out","Opt-out link"
"18","you can simply ""opt out","Opt-out link"
"23","If you prefer that we not share your information in this way, please contact us.","Opt-out via contacting company"
"25","that you disclose when posting a message to these areas","Opt-in"
"27","you may opt out by following the ""unsubscribe"" instructions","Opt-out link"
"4","other than what you supply to us on a voluntary basis upon request","Opt-in"
"4","other than what you supply to us on a voluntary basis upon request","Opt-in"
"4","other than what you supply to us on a voluntary basis upon request","Opt-in"
"4","other than what you supply to us on a voluntary basis upon request","Opt-in"
"4","other than what you supply to us on a voluntary basis upon request","Opt-in"
"4","other than what you supply to us on a voluntary basis upon request","Opt-in"
"5","supplied","Opt-in"
"6","we collect your telephone number, e-mail address, billing address and credit card information","Opt-in"
"6","we collect your telephone number, e-mail address, billing address and credit card information","Opt-in"
"7","visitor chooses to make a donation or order such other products or services","Opt-in"
"7","visitor chooses to make a donation or order such other products or services","Opt-in"
"9","you can submit information","Opt-in"
"9","you may submit","Opt-in"
"10","in connection with optional (i.e., you opt-in to participate in these offers)","Opt-in"
"11","in connection with optional (i.e. you opt-in to subscribe to these services)","Opt-in"
"15","by changing the settings in your web browser","Browser/device privacy controls"
"16","without first receiving your permission","Opt-in"
"16","without first receiving your permission","Opt-in"
"18","you can simply ""opt out.""","Unspecified"
"18","you can simply ""opt out.""","Unspecified"
"23","If you prefer that we not share your information in this way, please contact us.","Opt-out via contacting company"
"25","we offer visitors the opportunity to","Opt-in"
"25","we offer visitors the opportunity to","Opt-in"
"25","we offer visitors the opportunity to","Opt-in"
"27","you may opt out by following the ""unsubscribe"" instructions located near the bottom of each newsletter","Unspecified"
"29","without permission.","Opt-in"
"30","You can choose to have your computer","Browser/device privacy controls"
"32","unsubscribe options at the bottom of each e-mail","Unspecified"
