"3","please do not use our sites or services.","Dont use service/feature"
"3","please do not use our sites or services.","Dont use service/feature"
"3","please do not use our sites or services.","Dont use service/feature"
"16","you voluntarily and directly provide it","Opt-in"
"38","you choose to schedule through the services","Other"
"38","you choose to schedule through the services","Other"
"38","you choose to schedule through the services","Other"
"48","If you register to or use such a service","Other"
"49","with your consent","Opt-in"
"49","disclosed to you at the time we collect your information","Unspecified"
"52","By visiting our sites and services, you consent to the placement of cookies and beacons in your browser and HTML-based emails in accordance with this privacy policy and our Cookie Policy.","Dont use service/feature"
"52","By visiting our sites and services, you consent to the placement of cookies and beacons in your browser and HTML-based emails in accordance with this privacy policy and our Cookie Policy.","Dont use service/feature"
"52","By visiting our sites and services, you consent to the placement of cookies and beacons in your browser and HTML-based emails in accordance with this privacy policy and our Cookie Policy.","Dont use service/feature"
"52","By visiting our sites and services, you consent to the placement of cookies and beacons in your browser and HTML-based emails in accordance with this privacy policy and our Cookie Policy.","Dont use service/feature"
"54","You may choose to publicly disclose","Other"
"55","you submit","Other"
"55","you submit","Other"
"55","you submit","Other"
"61","going to the settings of your mobile device","Browser/device privacy controls"
"61","going to the settings of your mobile device","Browser/device privacy controls"
"61","device's settings for the relevant application.","Browser/device privacy controls"
"62","visiting your email preferences page for the relevant site.","First-party privacy controls"
"70","Select the email ""opt out"" or ""unsubscribe"" link, or follow the opt-out instructions included in each email communication.","Opt-out link"
"70","To unsubscribe from text messages delivered to mobile devices, reply to the message with the words ""STOP"" or ""END.""","Other"
"70","Contact us. Please provide your name, contact information, and specific relevant information that you no longer wish to receive.","Opt-out via contacting company"
"72","Select the email ""opt out"" or ""unsubscribe"" link, or follow the opt-out instructions included in each email communication.","Opt-out link"
"72","To unsubscribe from text messages delivered to mobile devices, reply to the message with the words ""STOP"" or ""END.""","Other"
"72","Contact us. Please provide your name, relevant contact information, and specific relevant information about your privacy preferences.","Opt-out via contacting company"
"3","By using our sites and services, you expressly consent to our collection, use, disclosure, and retention of your personal information as described in this privacy policy. If you do not agree to this privacy policy, please do not use our sites or services.","Dont use service/feature"
"3","By using our sites and services, you expressly consent to our collection, use, disclosure, and retention of your personal information as described in this privacy policy. If you do not agree to this privacy policy, please do not use our sites or services.","Dont use service/feature"
"3","By using our sites and services, you expressly consent to our collection, use, disclosure, and retention of your personal information as described in this privacy policy. If you do not agree to this privacy policy, please do not use our sites or services.","Dont use service/feature"
"9","only if your mobile or other device transmits location data and/or your IP address, and you have activated a location-enabled site or service.","First-party privacy controls"
"12","choose to share with us.","Opt-in"
"12","choose to share with us.","Opt-in"
"35","with your consent.","Opt-in"
"49","or with your consent.","Opt-in"
"49","at the time we collect your information","Unspecified"
"52","You can control cookies through your browser settings and other tools.","Browser/device privacy controls"
"61","going to the settings of your mobile device and reviewing the permissions of each application. You may stop further use of your geo-location by visiting your device's settings for the relevant application.","Browser/device privacy controls"
"61","going to the settings of your mobile device and reviewing the permissions of each application. You may stop further use of your geo-location by visiting your device's settings for the relevant application.","Browser/device privacy controls"
"62","You may change your email preferences at any time by visiting your email preferences page for the relevant site.","First-party privacy controls"
"70","Select the email ""opt out"" or ""unsubscribe"" link, or follow the opt-out instructions included in each email communication.","Opt-out link"
"70","To unsubscribe from text messages delivered to mobile devices, reply to the message with the words ""STOP"" or ""END.""","Browser/device privacy controls"
"70","Return to the web page(s) where you originally registered your preferences and follow the opt-out instructions.","First-party privacy controls"
"70","Contact us. Please provide your name, contact information, and specific relevant information that you no longer wish to receive.","Opt-out via contacting company"
"71","You may not be able to opt out of receiving certain messages although our services may provide a means to modify the frequency of receiving them.","Other"
"72","Select the email ""opt out"" or ""unsubscribe"" link, or follow the opt-out instructions included in each email communication.","Opt-out link"
