"8","By accessing or using our Services","Dont use service/feature"
"9","IF YOU DO NOT AGREE TO THIS PRIVACY POLICY, PLEASE DO NOT ACCESS OR USE OUR SERVICES.","Dont use service/feature"
"12","you may choose to share your User Contributions","Other"
"12","you may choose to share your User Contributions","Other"
"19","consented","Opt-in"
"26","only if you have consented to this.","Opt-in"
"30","your prior consent to do so","Opt-in"
"38","ou may ask to have the information on yours or your childs account deleted or removed and request","Other"
"44","opt-out","Other"
"44","opt-out","Other"
"45","We offer commercial e-mail recipients the opportunity to opt-out of further communications in every e-mail","Opt-out link"
"46","browser preferences","Browser/device privacy controls"
"59","browser settings.","Browser/device privacy controls"
"61","opt-out by clicking here","Opt-out link"
"61","opt-out by clicking here","Opt-out link"
"61","opt-out by clicking here","Opt-out link"
"61","opt-out by clicking here","Opt-out link"
"62","To manage Flash cookies please click here:","Other"
"66","prior consent","Opt-in"
"68","Your continued use of the Services after such modifications will constitute your: (a) acknowledgment of the modified Privacy Policy; and (b) agreement to abide and be bound by the modified Privacy Policy.","Dont use service/feature"
"70","To request removal of your personal information from our blog or community forum, contact us at support@lynda.com","Opt-out via contacting company"
"8","By accessing or using our Services","Dont use service/feature"
"9","IF YOU DO NOT AGREE TO THIS PRIVACY POLICY, PLEASE DO NOT ACCESS OR USE OUR SERVICES.","Dont use service/feature"
"10","Choices regarding control of your personally identifiable information","Unspecified"
"12","with whom you may choose","Dont use service/feature"
"12","Depending upon the activity, some of the information we ask you to provide is identified as mandatory","Dont use service/feature"
"12","some as voluntary","Other"
"12","you will not be able to engage in that activity","Dont use service/feature"
"22","when you choose to do so","Dont use service/feature"
"22","when you choose","Dont use service/feature"
"26","only if you have consented","Unspecified"
"26","only if you have consented","Unspecified"
"28","Parents have the right to allow","Other"
"30","with your prior consent","Unspecified"
"43","you can unsubscribe","Other"
"44","only if you did not later opt-out of such offers","Other"
"44","only if you did not later opt-out of such offers","Other"
"45","he opportunity to opt-out","Other"
"46","You also have choices","Unspecified"
"46","By modifying your browser preferences","Browser/device privacy controls"
"46","If you choose to reject","Browser/device privacy controls"
"46","may not work properly in your case","Dont use service/feature"
"50","you must use an SSL-enabled browser","Dont use service/feature"
"59","If you do disable cookies","Browser/device privacy controls"
"61","you may opt-out by clicking here.","Opt-out link"
"64","when you view or click on their advertising","Other"
"64","when you view or click on their advertising","Other"
"66","without obtaining your prior consent","Other"
"66","if you have granted us permission","Other"
"70","You acknowledge and accept that any submissions to chat rooms or other public areas on the Websites are accessible to all third parties.","Dont use service/feature"
"72","to request that we remove","Opt-out via contacting company"
"12","If you do not provide the mandatory data with respect to a particular activity, you will not be able to engage in that activity","Dont use service/feature"
"28","without also consenting to its disclosure to Third Parties","Opt-out link"
"30","prior consent to do so","Opt-in"
"44","upon registration that you are interested in receiving offers","Opt-in"
"46","By modifying your browser preferences, you have the choice to accept all cookies, to be notified when a cookie is set, or to reject all cookies","Browser/device privacy controls"
"59","You can disable and/or delete all types of cookies by using your browser settings","Browser/device privacy controls"
"61","opt-out by clicking here","Opt-out link"
"61","opt-out by clicking here","Opt-out link"
"61","opt-out by clicking here","Opt-out link"
"62","options within your browser may not prevent the setting of Flash cookies","Browser/device privacy controls"
"66","without obtaining your prior consent","Opt-in"
"70","If you do not want yours or your childs comments to be viewed by third parties, you are advised not to make any submissions. Ultimately, you are solely responsible for all activity conducted by you via communities, forums, message boards, chat rooms, etc.","Dont use service/feature"
