"2","collect personal information from you unless you provide it to us","Implicit"
"2","you may be asked to provide","Explicit"
"2","you may be asked to provide","Explicit"
"2","we assure you that we do not collect personal information from you unless you provide it to us","Explicit"
"2","Whether you are a subscriber or a visitor to our site, we assure you that we do not collect personal information from you unless you provide it to us .","Explicit"
"2","we do not collect personal information from you unless you provide it to us","Implicit"
"2","we do not collect personal information from you unless you provide it to us","Implicit"
"2","we do not collect personal information from you unless you provide it to us","Explicit"
"2","we do not collect personal information from you unless you provide it to us","Explicit"
"2","you may be asked to provide","Explicit"
"2","you may be asked to provide","Explicit"
"3","unless that visitor explicitly and intentionally provides it.","Implicit"
"3","do we collect","Unspecified"
"3","do we collect","Unspecified"
"3","We do not collect any personal information from a visitor to our sites unless that visitor explicitly and intentionally provides it.","Implicit"
"3","visitor explicitly and intentionally provides it.","Explicit"
"3","Under no circumstances","Unspecified"
"3","Under no circumstances","Unspecified"
"4","we will request certain information from you","Explicit"
"4","we will request certain information from you","Explicit"
"4","we will request certain information from you","Explicit"
"4","we will request certain information from you","Explicit"
"5","automatically collect","Implicit"
"5","automatically collect","Implicit"
"5","automatically collect","Implicit"
"5","automatically collect","Implicit"
"5","automatically collect","Implicit"
"12","information you submit","Explicit"
"12","We may use the information you submit","Explicit"
"12","information you submit","Explicit"
