"2","automatically","Implicit"
"2","voluntarily","Explicit"
"2","automatically","Implicit"
"2","This information is collected only when you voluntarily provide it as part of the subscription process (""Subscriber Information"").","Explicit"
"2","automatically","Implicit"
"2","voluntarily provide","Explicit"
"3","It is your choice whether or not you provide your Subscriber Information to UpToDate, but Subscriber Information is required for UpToDate to provide you with services (for example, access to UpToDate under a subscription agreement).","Explicit"
"4","Your Subscriber Information may be used internally within UpToDate. For example, UpToDate may use your Subscriber Information internally to provide subscription services to you and process your transactions, to contact you for customer service and billing purposes, to communicate to you about your subscription or changes to our service, to understand who uses the Website and to improve the Website.","Unspecified"
"4","Your Subscriber Information may be used internally within UpToDate. For example, UpToDate may use your Subscriber Information internally to provide subscription services to you and process your transactions, to contact you for customer service and billing purposes, to communicate to you about your subscription or changes to our service, to understand who uses the Website and to improve the Website.","Unspecified"
"6","Your Usage Information may be disclosed internally within UpToDate","Implicit"
"6","Your Usage Information may be disclosed internally within UpToDate","Implicit"
"6","Your Usage Information may be disclosed internally within UpToDate","Implicit"
"7","cookie","Implicit"
"7","The UpToDate Website may place a text file called a ""cookie"" in the browser files of your computer.","Implicit"
