"2","choose to provide us with personal information","Explicit"
"2","choose to provide us with personal information","Explicit"
"3","analyzed in aggregate","Unspecified"
"4","you provide us","Explicit"
"4","you provide us","Explicit"
"4","you provide us","Explicit"
"4","you provide us","Explicit"
"7","We may use cookies","Implicit"
"15","collected on this web site","Unspecified"
"17","By using this site","Implicit"
"21","by you","Explicit"
"25","Content you submit","Explicit"
"26","Content you submit","Explicit"
"27","the Content","Explicit"
"3","If you participate in a user survey","Explicit"
"3","If you participate in a user survey","Explicit"
"3","The information","Explicit"
"3","The information","Explicit"
"3","The information","Explicit"
"3","The information","Explicit"
"4","If you provide us","Explicit"
"4","If you provide us","Explicit"
"4","If you provide us","Explicit"
"4","If you provide us","Explicit"
"6","When you fill out","Explicit"
"8","To collect","Implicit"
"8","To collect","Implicit"
"8","To collect","Implicit"
"8","To collect","Implicit"
"8","To collect","Implicit"
"9","This analysis","Explicit"
"10","If you register for a Research user account","Explicit"
"10","If you check the 'Stay logged in'","Explicit"
"21","submitted by you","Explicit"
"21","submitted by you","Explicit"
"21","submitted by you","Explicit"
"26","you submit","Explicit"
"30","voluntarily submitted","Explicit"
"3","participate","Explicit"
"17","expressly consent to such monitoring","Explicit"
"17","expressly consent to such monitoring","Explicit"
