"12","automatically","Implicit"
"14","text files which store your preferences","Implicit"
"12","automatically","Implicit"
"5","supplied","Explicit"
"6","we collect your telephone number, e-mail address, billing address and credit card information","Explicit"
"6","we collect your telephone number, e-mail address, billing address and credit card information","Explicit"
"7","collect and store your telephone number, e-mail address, billing address and credit card information.","Explicit"
"7","collect and store your telephone number, e-mail address, billing address and credit card information.","Explicit"
"8","you can submit content to be published, make community postings, comments, suggestions, and vote","Explicit"
"12","automatically when using the Site","Implicit"
"14","we use ""cookies"" and similar technologies","Implicit"
"14","stored in a PBS cookie","Implicit"
"14","stored in a PBS cookie","Implicit"
"20","addresses","Explicit"
"20","addresses","Explicit"
"20","addresses","Explicit"
"20","addresses","Explicit"
"26","e-mail","Explicit"
"29","cookies","Implicit"
"29","collected by cookies","Implicit"
"30","If you watch a video clip or listen to an audio clip on pbs.org, a cookie may remember","Implicit"
"30","automatically","Implicit"
"30","A cookie will tell us","Implicit"
