"8","In addition, please note that we may hire vendors (agents or contractors) to collect personal information on our behalf and in such cases such vendors will be instructed to comply with this Privacy Policy.","Does"
"8","These vendors may not use your personal information for their own marketing purposes.","Does Not"
"8","In addition, please note that we may hire vendors (agents or contractors) to collect personal information on our behalf","Does"
"8","not u","Does Not"
"8","please note that we may hire vendors (agents or contractors) to collect personal information o","Does"
"9","We use the third-party service provider DR globalTech Inc. as our online official re-seller and for certain in-game sales functions. Other third-party service providers may be connected to other in-game sales functions","Does"
"10","share","Does"
"10","share","Does"
"10","not","Does Not"
"10","When you enter a contest or sign up to receive a newsletter, we may share your personal information as necessary for third parties to provide services on our behalf.","Does"
"10","When you enter a contest or sign up to receive a newsletter, we may share your personal information as necessary for third parties to provide services on our behalf.","Does"
"10","not permitte","Does Not"
"12","may","Does"
"12","We also may use ""cookies"" and other passive technologies including clear gifs to collect certain non-personal information from you in connection with your use of the Online Services, such as the pages you visit and the features you use. Our cookies are linked to personal information.","Does"
"14","collects","Does"
"14","collects","Does"
"14","collects","Does"
"14","The Company collects personal information from you on a voluntary basis. When you submit personal information to the Company, it will usually take the form of: Registration for Online Services, websites, jobs, products, contests, and special events; Subscribing to newsletters or alerts; Posting in or commenting on our message boards, forums, news blogs, chat rooms, or other Online Services; Purchasing a product or services through our online stores; Purchasing DLC, virtual items, or virtual currency for use with our software and/or Online Services; Using ""tell a friend,"" ""email this page,"" or other E-Card features; Requesting technical support; Downloading demos, programs, or other software; Participating in polls, surveys, and questionnaires; or Otherwise through use of our software, including console products, mobile products, and personal computer products, and through the use of our online products or Online Services where personal information is required for use and/or participation.","Does"
"15","collected","Does"
"15","collected","Does"
"15","collected","Does"
"15","collected","Does"
"15","collected","Does"
"15","collected","Does"
"15","collected","Does"
"15","The types of information collected in connection with the activities listed above will vary depending on the activity. The information we collect may include personal information such as your first and/or last name, e-mail address, phone number, photo, mailing address, or payment information. In addition, we may collect demographic and non-personal information about you or your systems, such as your age, gender, date of birth, zip code, hardware configuration, console ID, software products played, survey data, purchases, IP address and the systems you have played on.","Does"
"15","The types of information collected in connection with the activities listed above will vary depending on the activity. The information we collect may include personal information such as your first and/or last name, e-mail address, phone number, photo, mailing address, or payment information. In addition, we may collect demographic and non-personal information about you or your systems, such as your age, gender, date of birth, zip code, hardware configuration, console ID, software products played, survey data, purchases, IP address and the systems you have played on.","Does"
"15","The types of information collected in connection with the activities listed above will vary depending on the activity. The information we collect may include personal information such as your first and/or last name, e-mail address, phone number, photo, mailing address, or payment information. In addition, we may collect demographic and non-personal information about you or your systems, such as your age, gender, date of birth, zip code, hardware configuration, console ID, software products played, survey data, purchases, IP address and the systems you have played on.","Does"
"15","The types of information collected in connection with the activities listed above will vary depending on the activity. The information we collect may include personal information such as your first and/or last name, e-mail address, phone number, photo, mailing address, or payment information. In addition, we may collect demographic and non-personal information about you or your systems, such as your age, gender, date of birth, zip code, hardware configuration, console ID, software products played, survey data, purchases, IP address and the systems you have played on.","Does"
"15","The types of information collected in connection with the activities listed above will vary depending on the activity. The information we collect may include personal information such as your first and/or last name, e-mail address, phone number, photo, mailing address, or payment information. In addition, we may collect demographic and non-personal information about you or your systems, such as your age, gender, date of birth, zip code, hardware configuration, console ID, software products played, survey data, purchases, IP address and the systems you have played on.","Does"
"15","The types of information collected in connection with the activities listed above will vary depending on the activity. The information we collect may include personal information such as your first and/or last name, e-mail address, phone number, photo, mailing address, or payment information. In addition, we may collect demographic and non-personal information about you or your systems, such as your age, gender, date of birth, zip code, hardware configuration, console ID, software products played, survey data, purchases, IP address and the systems you have played on.","Does"
"15","The types of information collected in connection with the activities listed above will vary depending on the activity. The information we collect may include personal information such as your first and/or last name, e-mail address, phone number, photo, mailing address, or payment information. In addition, we may collect demographic and non-personal information about you or your systems, such as your age, gender, date of birth, zip code, hardware configuration, console ID, software products played, survey data, purchases, IP address and the systems you have played on.","Does"
"16","may","Does"
"16","If you use, purchase, or register for an Online Service through a third-party service such as a gaming console's network service, an internet based gaming service, or a social network website, or request that we associate a Company account with a third-party service account, then limited user account personal information may be transferred to the Company as part of the registration process and we may be able to collect information about your use of the Online Services. For example, if you purchase virtual currency through a gaming console service, that gaming console service will provide us with information to effectuate the transaction, including the amount of virtual currency purchased and a means to identify your Online Service account.","Does"
"17","access","Does"
"17","When you use an application on a Social Networking Site (""SNS""), you allow us to access certain information from your profile from that SNS. The information you allow us to access is affected by the privacy settings you establish at the SNS.","Does"
"18","may","Does"
"18","When you use Facebook Connect, OpenID or another multisite ID to log in to an Online Service, those ID services will authenticate your identity and provide you the option to share certain personal information with us to pre-populate our sign up form. Depending on your account settings, multisite IDs may also provide other information to us.","Does"
"18","When you play certain software products published by the Company, information about your gameplay may be collected and transmitted to the Company through network services or any other internet connection method used by the hardware on which you play such games (collectively and individually your ""Internet Connection""). See ""What Gameplay Information Does the Company Collect?"" below for further details.","Does"
"19","may","Does"
"19","When you use products or services on internet-capable hardware, the Company may receive information regarding your gameplay without any additional notice to you or actions taken by you.","Does"
"19","will not","Does Not"
"19","will not","Does Not"
"19","ut may receive","Does"
"20","may","Does"
"20","When you use a third-party authentication service or link your Company account with a third-party account, you will be asked to provide account information associated with that third-party account.","Does"
"20","Certain membership information may be transferred automatically to the Company when you register to join an Online Service from a third-party gaming network system or link your Online Service membership with a third-party service, such as your friends list on that gaming network or social network service.","Does"
"21","Whenever you give out personal information in public areas such as on a message board, chat room, comment field, or profile page, that information can be collected and used by other people. Information that you disclose in any of these forums is public information,","Does"
"21","Whenever you give out personal information in public areas such as on a message board, chat room, comment field, or profile page, that information can be collected and used by other people. Information that you disclose in any of these forums is public information,","Does"
"22","may","Does"
"22","We may provide e-mail addresses or forms to which visitors can send us questions or comments, or which visitors can use to request customer support. In the process of receiving and responding to such requests, we may collect personal information about you, such as your e-mail address or any other personal data contained in the body of your e-mail message.","Does"
"22","we may collect personal information about you, such as your e-mail address or any other personal data contained in the body of your e-mail message","Does"
"24","allows","Does"
"24","Information obtained from resumes may be shared within the Company by parents, subsidiaries, or affiliates.","Does"
"26","regardless of registration we may nonetheless publish gameplay boards and multiplayer match records that contain certain information as a result of your use of the products, such as your player ID.","Does"
"27","uses","Does"
"27","The Company uses cookies, web beacons, and similar tracking devices for certain Online Services to collect information that is not personal.","Does"
"28","cookie","Does"
"28","Our cookies do not include people's names, e-mail addresses, or other personal information; they are typically used to quickly identify a user's computer, browser, or device and to ""remember"" things about prior visits (such as the user's use of various features on the service). You can disable cookies or set your browser to alert you when cookies are being sent to your computer; however, disabling cookies may affect your ability to use certain Online Services.","Does"
"29","may","Does"
"29","Flash cookies are small files similar to browser cookies and are used to remember the site's settings to personalize the look and feel of the site. Flash cookies only collect data in the aggregate. Like normal cookies, Flash cookies are represented as small software files, do not include people's names, e-mail addresses, or other personal information, and are not tied to your personal information. You can clear flash cookies already on your device by setting the Flash local storage setting to zero. You may also prevent Flash cookies from being placed by adjusting your preferences in the Macromedia Website Privacy Settings Panel at www.macromedia.com.","Does"
"30","Beacons","Does"
"30","A ""web beacon"" is an electronic image that allows websites to count users who have visited certain pages or viewed certain advertisements. Web beacons, like cookies, do not include personal information.","Does"
"30","A ""web beacon"" is an electronic image that allows websites to count users who have visited certain pages or viewed certain advertisements. Web beacons, like cookies, do not include personal information.","Does"
"31","may also","Does"
"31","The Company may also keep track of IP addresses used to access its Online Services for various reasons. An IP address is a number that is used by a networked device and will identify your point of connection to the internet. Depending on your network configuration, it may also identify your computer, or other device. A MAC address or other device ID identifies one specific piece of hardware. These log files are tied to your personal information in certain circumstances, such as if you have linked your console user account to Online Service accounts offered by the Company.","Does"
