"1","certain information about your activity is collected","Does"
"1","certain information about your activity is collected","Does"
"1","certain information about your activity is collected","Does"
"1","certain information about your activity is collected","Does"
"1","certain information about your activity is collected","Does"
"1","certain information about your activity is collected","Does"
"4","We collect information","Does"
"4","We collect information","Does"
"4","We collect information","Does"
"4","We collect information","Does"
"5","We use","Does"
"8","will only be","Does"
"8","will not","Does Not"
"8","s. We will not sell ownership of this data","Does Not"
"9","will not","Does Not"
"9","will always be used","Does"
"9","will not","Does Not"
"9","We will not transfer i","Does Not"
"10","not to share","Does Not"
"10","except as is necessary","Does"
"10","except as is necessary","Does"
"10","except as is necessary","Does"
"10","not to share your personal information or preferences","Does Not"
"10","share","Does"
"10","share","Does"
"11","we may be required by law enforcement or judicial authorities to provide","Does"
"12","these companies may collect information","Does"
"1","is collected.","Does"
"4","We collect","Does"
"4","We collect","Does"
"4","We collect","Does"
"4","you will be","Does"
"4","you will be","Does"
"5","We use","Does"
"5","We use","Does"
"5","We use","Does"
"5","We use","Does"
"7","It is our policy to never","Does Not"
"8","will","Does"
"8","is collected by TGI Fridays.","Does"
"9","We will not","Does Not"
"9","will always be used","Does"
"9","We don't","Does Not"
"9","only share","Does"
"10","It is our strict policy not to","Does Not"
"10","It is our strict policy not to","Does Not"
"10","except","Does"
"10","except","Does"
"10","except","Does"
"10","except","Does"
"11","If requested as part of a legal proceeding, we will provide this information upon receipt of the appropriate documentation.","Does"
