"0","collected about yo","Does"
"2","gathers","Does"
"2","gathers","Does"
"2","gathers","Does"
"2","gathers","Does"
"2","gathers","Does"
"2","athers identifying information","Does"
"2","athers identifying information","Does"
"2","athers identifying information","Does"
"2","The News-Post gathers identifying information about you only when you provide that information on a voluntary basis for such purposes as member or subscriber registration, reader comments and blogs, contests, news alerts, purchasing products and using social networking tools.","Does"
"2","The News-Post gathers identifying information about you only when you provide that information on a voluntary basis for such purposes as member or subscriber registration, reader comments and blogs, contests, news alerts, purchasing products and using social networking tools.","Does"
"3","employs","Does"
"3","The News-Post employs 'cookies' in circumstances that require session data or require user verification.","Does"
"3","The News-Post employs 'cookies' in circumstances that require session data or require user verification.","Does"
"3","The News-Post employs 'cookies' in circumstances that require session data or require user verification.","Does"
"3","The News-Post employs 'cookies' in circumstances that require session data or require user verification.","Does"
"3","We have several feedback forms on websites operated by The News-Post. Any feedback that is submitted through these forms or through email is the property of The News-Post. We may use this feedback for marketing purposes or to contact you for additional feedback.","Does"
"4","use","Does"
"4","The News-Post may use information it has collected from users to communicate with its users about changes in policies or operations.","Does"
"4","The News-Post may use information it has collected from users to communicate with its users about changes in policies or operations.","Does"
"5","may","Does"
"5","he News-Post may use information it has collected from users to promote News-Post products and services","Does"
"5","The News-Post may use information it has collected from users to promote News-Post products and services; we will make every effort to allow users to opt out of promotional messages from The News-Post.","Does"
"6","may","Does"
"6","The News-Post may use information it has collected from users","Does"
"6","The News-Post may use information it has collected from users","Does"
"7","performs","Does"
"7","performs","Does"
"7","The News-Post performs statistical analyses of its server logs to study the use and popularity of various areas of our site.","Does"
"7","The News-Post performs statistical analyses of its server logs to study the use and popularity of various areas of our site.","Does"
"7","We also look at IP addresses to analyze where we are getting our audience.","Does"
"8","not","Does Not"
"8","provide","Does"
"8","provide","Does"
"8","may provide","Does"
"8","may provide","Does"
"8","not the policy","Does Not"
"8","not the policy","Does Not"
"8","nless otherwise required by law","Does"
"8","nless otherwise required by law","Does"
"8","It is not the policy of The News-Post to sell or make available personally identifiable user information to unrelated third parties.","Does Not"
"8","The News-Post may provide","Does"
"8","not to disclose","Does Not"
"8","unless otherwise required by law.","Does"
"9","share","Does"
"9","you are agreeing to share","Does"
"9","you are agreeing to share personal information with other users.","Does"
"10","can be read","Does"
"10","can be read by any third parties","Does"
"11","use","Does"
"11","he News-Post may make use o","Does"
"11","he News-Post may make use of or refer to user-posted content for the purposes of promoting Randall Family, LLC publications, in print or online.","Does"
"12","using","Does"
"12","using","Does"
"12","may result in that third party using your information","Does"
"12","may result in that third party using your information","Does"
"13","use","Does"
"13","not","Does Not"
"13","not","Does Not"
"13","We use","Does"
"13","These companies may use information","Does"
"13","These companies may use information","Does"
