"1","doesn't collect","Does Not"
"3","Collected","Does"
"3","Collected","Does"
"3","Collected","Does"
"3","Collected","Does"
"8","USA.gov uses","Does"
"16","we do not","Does Not"
"16","we do not","Does Not"
"1","doesn't collect","Does Not"
"16","we do not collect","Does Not"
"1","doesn't","Does Not"
"4","is","Does"
"4","do not","Does Not"
"4","do not","Does Not"
"4","do not","Does Not"
"6","Except for","Does"
"6","Except for","Does"
"8","uses","Does"
"8","uses","Does"
"9","uses","Does"
"10","We use","Does"
"10","receive","Does"
"11","We do this","Does"
"16","do not","Does Not"
"16","do not","Does Not"
"17","other than","Does"
"17","do not collect personal information for any purpose other than","Does"
"17","we will","Does"
"18","We only share the information you give us with another government agency if","Does"
"18","We only share the information you give us with another government agency if","Does"
"18","never","Does Not"
