"3","personally identifiable","Identifiable"
"5","""Personally identifiable information or personal information","Identifiable"
"5","""Personally identifiable information or personal information","Identifiable"
"5","""Personally identifiable information or personal information","Identifiable"
"5","Personally identifiable information","Identifiable"
"5","Personally identifiable information","Identifiable"
"6","personally identifiable information","Identifiable"
"6","personally identifiable information","Identifiable"
"6","personally identifiable information","Identifiable"
"6","personally identifiable information","Identifiable"
"7","personally identifying information","Identifiable"
"7","personally identifying information","Identifiable"
"8","anonymous information","Aggregated or anonymized"
"8","anonymous information","Aggregated or anonymized"
"8","anonymous","Aggregated or anonymized"
"8","anonymous","Aggregated or anonymized"
"10","With both cookies and Spotlight technology, the information that we collect and share is anonymous and not personally identifiable. It does not contain your name, address, telephone number, or email address.","Aggregated or anonymized"
"10","and do not contain personally identifiable information.","Aggregated or anonymized"
"10","anonymous","Aggregated or anonymized"
"10","anonymous","Aggregated or anonymized"
"10","anonymous","Aggregated or anonymized"
"11","information about you","Unspecified"
"11","information about you","Unspecified"
"11","information about you","Unspecified"
"12","personal information,","Identifiable"
"12","personal information,","Identifiable"
"12","personal information,","Identifiable"
"12","personal information,","Identifiable"
"12","personal information","Identifiable"
"12","personal information","Identifiable"
"12","personal information","Identifiable"
"12","personal information","Identifiable"
"13","personal information","Identifiable"
"21","personally identifiable information","Identifiable"
"21","personally identifiable information","Identifiable"
"21","personally identifiable information","Identifiable"
"21","personally identifiable information","Identifiable"
"22","nor is this information personally identifiable.","Other"
"27","personally identifiable information","Identifiable"
"27","personally identifiable information","Identifiable"
"27","personally identifiable information","Identifiable"
"28","nor is this information personally identifiable.","Other"
"33","personally identifiable information.","Identifiable"
"37","e personally identifiable information","Identifiable"
"37","e personally identifiable information","Identifiable"
"37","e personally identifiable information","Identifiable"
"50","personally identifying information","Identifiable"
"50","vehicle identification number (VIN)","Other"
"50","personally identifying information","Identifiable"
"51","personally identifying information","Identifiable"
"51","personally identifying information","Identifiable"
"51","personally identifying information","Identifiable"
"53","personally identifiable information","Identifiable"
"53","personally identifiable information","Identifiable"
"53","personally identifiable information","Identifiable"
"54","personally identifiable information","Identifiable"
"54","personally identifiable information","Identifiable"
"54","personally identifiable information","Identifiable"
"54","personally identifiable information","Identifiable"
"56","personally identifiable information","Identifiable"
"56","personally identifiable information","Identifiable"
"56","personally identifiable information","Identifiable"
"57","personally identifiable information","Identifiable"
"57","personally identifiable information","Identifiable"
"60","any information we gather","Unspecified"
"67","all of the information","Unspecified"
"67","all of the information","Unspecified"
"67","information about you","Unspecified"
"8","This information does not identify you personally","Aggregated or anonymized"
"8","This information does not identify you personally","Aggregated or anonymized"
"21","personally identifiabl","Identifiable"
"21","personally identifiabl","Identifiable"
"21","personally identifiabl","Identifiable"
"21","personally identifiabl","Identifiable"
"21","personally identifiabl","Identifiable"
"21","personally identifiabl","Identifiable"
"37","personally identifiable","Identifiable"
"37","personally identifiable","Identifiable"
"37","personally identifiable","Identifiable"
"37","personally identifiable","Identifiable"
"50","personally identifying","Identifiable"
"50","personally identifying","Identifiable"
"51","personally identifying","Identifiable"
"53","personally identifiable","Identifiable"
"53","personally identifiable","Identifiable"
"53","personally identifiable","Identifiable"
"53","personally identifiable","Identifiable"
"54","personally identifiable","Identifiable"
"54","personally identifiable","Identifiable"
"54","personally identifiable","Identifiable"
"54","personally identifiable","Identifiable"
"56","personally identifiable","Identifiable"
"56","personally identifiable","Identifiable"
"56","personally identifiable","Identifiable"
"56","personally identifiable","Identifiable"
"57","personally identifiable","Identifiable"
"57","personally identifiable","Identifiable"
"57","personally identifiable","Identifiable"
"57","personally identifiable","Identifiable"
