"12","anonymized","Aggregated or anonymized"
"12","anonymized","Aggregated or anonymized"
"2","unique identifier","Identifiable"
"6","separately from any account information that directly identifies the user","Aggregated or anonymized"
"6","separately from any account information that directly identifies the user","Aggregated or anonymized"
"6","directly identifies the user","Identifiable"
"6","directly identifies the user","Identifiable"
"7","a unique identifier","Identifiable"
"7","a unique identifier","Identifiable"
"7","a unique identifier","Identifiable"
"7","a unique identifier","Identifiable"
"8","informing you about your account","Identifiable"
"8","informing you about your account","Identifiable"
"8","informing you about your account","Identifiable"
"12","anonymized","Aggregated or anonymized"
"19","unique identifier","Identifiable"
"19","unique identifier","Identifiable"
"20","along with your Microsoft account information.","Identifiable"
"20","along with your Microsoft account information.","Identifiable"
"20","along with your Microsoft account information.","Identifiable"
"20","along with your Microsoft account information.","Identifiable"
"24","recognize your computer","Identifiable"
"28","to verify your identity","Identifiable"
