"2","e-mail address","Unspecified"
"2","e-mail address","Unspecified"
"2","e-mail address","Unspecified"
"2","e-mail address","Unspecified"
"2","The Personally Identifying Information (PIN)","Identifiable"
"2","The Personally Identifying Information (PIN)","Identifiable"
"2","The Personally Identifying Information (PIN)","Identifiable"
"2","The Personally Identifying Information (PIN)","Identifiable"
"3","email address or your first name as a username and a password that will allow you to change your PIN as needed.","Identifiable"
"4","Your PIN","Identifiable"
"6","PIN","Identifiable"
"7","aggregate form","Aggregated or anonymized"
"7","aggregate form","Aggregated or anonymized"
"7","no PIN is released and is reported or used only in aggregate form.","Aggregated or anonymized"
"7","no PIN is released","Identifiable"
"12","Cookies may be linked to PIN","Identifiable"
"12","Cookies may be linked to PIN","Identifiable"
"12","anonymous information","Aggregated or anonymized"
"12","Cookies may be linked to PIN.","Other"
"13","link information about a user's computer session to PIN.","Identifiable"
"13","link information about a user's computer session to PIN.","Identifiable"
"13","to link information about a user's computer session to PIN.","Identifiable"
"13","to link information about a user's computer session to PIN.","Identifiable"
"14","PIN","Identifiable"
"14","PIN","Identifiable"
"14","aggregate information","Aggregated or anonymized"
"14","PIN","Identifiable"
"14","PIN","Identifiable"
"14","aggregate information","Aggregated or anonymized"
"14","PIN","Identifiable"
"14","PIN","Identifiable"
"14","your PIN","Identifiable"
"14","your PIN","Identifiable"
"14","aggregate information","Aggregated or anonymized"
"14","PIN,","Identifiable"
"14","PIN,","Identifiable"
"14","PIN,","Identifiable"
"15","PIN","Identifiable"
"15","PIN","Identifiable"
"15","PIN","Identifiable"
"16","PIN","Identifiable"
"16","PIN","Identifiable"
"16","user information","Unspecified"
"16","PIN","Identifiable"
"16","share user information with","Unspecified"
"17","PIN","Identifiable"
"17","anonymous","Aggregated or anonymized"
"17","non-personal information","Other"
"17","non-personal information","Other"
"18","anonymous information","Aggregated or anonymized"
"19","PIN","Identifiable"
"19","PIN","Identifiable"
"19","CIN","Unspecified"
"2","Identifying","Identifiable"
"2","Identifying","Identifiable"
"2","Identifying","Identifiable"
"2","Identifying","Identifiable"
"2","Identifying","Identifiable"
"2","Identifying","Identifiable"
"4","I","Identifiable"
"4","I","Identifiable"
"5","I","Identifiable"
"6","I","Identifiable"
"6","I","Identifiable"
"6","I","Identifiable"
"7","no PIN is released and is reported or used only in aggregate form.","Aggregated or anonymized"
"7","I","Identifiable"
"7","only in aggregate form.","Aggregated or anonymized"
"8","I","Identifiable"
"14","I","Identifiable"
"14","I","Identifiable"
"14","I","Identifiable"
"14","I","Identifiable"
"15","I","Identifiable"
"15","I","Identifiable"
"16","I","Identifiable"
"16","I","Identifiable"
"16","I","Identifiable"
"16","I","Identifiable"
"16","I","Identifiable"
"17","I","Identifiable"
"19","I","Identifiable"
"35","MediaNews limits its collection of information from children to what is known as non-personally identifiable information","Aggregated or anonymized"
"35","MediaNews limits its collection of information from children to what is known as non-personally identifiable information","Aggregated or anonymized"
"35","MediaNews limits its collection of information from children to what is known as non-personally identifiable information","Aggregated or anonymized"
"35","MediaNews limits its collection of information from children to what is known as non-personally identifiable information","Aggregated or anonymized"
"35","MediaNews limits its collection of information from children to what is known as non-personally identifiable information","Aggregated or anonymized"
"35","identifiable","Identifiable"
"35","identifiable","Identifiable"
"35","identifiable","Identifiable"
"35","identifiable","Identifiable"
