"3","non-personal information","Other"
"3","non-personal","Other"
"4","certain personal information","Unspecified"
"4","certain personal information","Unspecified"
"6","Any information","Unspecified"
"11","but only in the aggregate,","Aggregated or anonymized"
"11","aggregate,","Aggregated or anonymized"
"12","Non-personal information that we collect using these technologies may be combined with other information about you.","Other"
"13","non-personal information","Other"
"13","non-personal information","Other"
"13","non-personal information","Other"
"13","non-personal information","Other"
"13","non-personal information","Other"
"13","non-personal information","Other"
"15","non-personally identifiable","Other"
"15","non-personally identifiable","Other"
"16","non-personally identifiable","Other"
"16","non-personally identifiable","Other"
"18","certain usage information","Unspecified"
"21","non-personal information","Other"
"27","only in aggregate or de-identified form.","Aggregated or anonymized"
"27","aggregate","Aggregated or anonymized"
"29","personally identifies you","Identifiable"
"30","in aggregate or de-identified form.","Aggregated or anonymized"
"30","aggregate","Aggregated or anonymized"
"34","personal information","Unspecified"
"39","in aggregate form","Aggregated or anonymized"
"39","aggregate form.","Aggregated or anonymized"
"40","in aggregate only.","Aggregated or anonymized"
"40","aggregate only.","Aggregated or anonymized"
"45","personal information","Unspecified"
"45","personal information","Unspecified"
"3","non-personal","Aggregated or anonymized"
"3","non-personal","Aggregated or anonymized"
"3","non-personal","Aggregated or anonymized"
"3","non-personal","Aggregated or anonymized"
"7","and aggregate","Aggregated or anonymized"
"7","aggregate","Aggregated or anonymized"
"11","but only in the aggregate,","Aggregated or anonymized"
"11","but only in the aggregate,","Aggregated or anonymized"
"11","unless we notify you otherwise at the time of collection","Unspecified"
"11","unless we notify you otherwise at the time of collection","Unspecified"
"12","Non-personal","Aggregated or anonymized"
"12","Non-personal","Aggregated or anonymized"
"13","non-personal","Aggregated or anonymized"
"13","non-personal","Aggregated or anonymized"
"13","non-personal","Aggregated or anonymized"
"15","non-personally identifiable","Aggregated or anonymized"
"16","non-personally identifiable","Aggregated or anonymized"
"21","non-personal","Aggregated or anonymized"
"21","non-personal","Aggregated or anonymized"
"21","non-personal","Aggregated or anonymized"
"21","non-personal","Aggregated or anonymized"
"21","non-personal","Aggregated or anonymized"
"21","non-personal","Aggregated or anonymized"
"21","non-personal","Aggregated or anonymized"
"21","non-personal","Aggregated or anonymized"
"27","only in aggregate or de-identified form","Aggregated or anonymized"
"27","only in aggregate or de-identified form","Aggregated or anonymized"
"29","that personally identifies you","Identifiable"
"29","that personally identifies you","Identifiable"
"30","in aggregate or de-identified form.","Aggregated or anonymized"
"39","except in aggregate form","Identifiable"
"39","in aggregate form","Aggregated or anonymized"
"40","This process does not leave any information on your computer, nor does it collect information from your computer.","Aggregated or anonymized"
"40","in aggregate only.","Aggregated or anonymized"
"48","personally identifying","Identifiable"
