"5","information","Identifiable"
"5","information","Identifiable"
"5","information","Identifiable"
"5","information","Identifiable"
"5","information","Identifiable"
"5","we may ask for information such as your name, e-mail address, year of birth, gender, street address, job title and industry and related information.","Identifiable"
"5","payment information, such as your credit card number and expiration date,","Identifiable"
"6","additional information","Unspecified"
"6","additional information","Unspecified"
"6","information that you provide us when you comment on articles, participate in message boards, and submit images, photos, videos, or other content to the Services. We may ask you for additional information at other times, such as when you enter a contest or participate in a promotion, when you post an online ad, or when you order products from us or otherwise engage with the Services.","Identifiable"
"6","information that you provide us when you comment on articles, participate in message boards, and submit images, photos, videos, or other content to the Services. We may ask you for additional information at other times, such as when you enter a contest or participate in a promotion, when you post an online ad, or when you order products from us or otherwise engage with the Services.","Identifiable"
"10","Services You Request.","Identifiable"
"10","Services You Request.","Identifiable"
"11","To Contact You","Identifiable"
"14","your personal information","Identifiable"
"19","information","Unspecified"
"19","information","Unspecified"
"19","payment information","Identifiable"
"20","your personal information","Identifiable"
"25","aggregated","Aggregated or anonymized"
"25","aggregated data","Aggregated or anonymized"
"25","aggregated data","Aggregated or anonymized"
"28","You may opt out of receiving commercial email messages from us by following the instructions contained in those email messages.","Identifiable"
"37","sign-in credentials","Identifiable"
"37","sign-in credentials","Identifiable"
"37","each time you access a Service.","Unspecified"
