"3","identifiable","Identifiable"
"3","identifiable","Identifiable"
"3","identifiable","Identifiable"
"3","identifiable","Identifiable"
"3","identifiable","Identifiable"
"3","identifiable","Identifiable"
"3","personally identifiable information","Identifiable"
"3","personally identifiable information","Identifiable"
"3","personally identifiable information","Identifiable"
"3","personally identifiable","Identifiable"
"3","personally identifiable","Identifiable"
"3","personally identifiable","Identifiable"
"3","personally identifiable","Identifiable"
"3","personally identifiable","Identifiable"
"3","personally identifiable","Identifiable"
"4","information about your personal or professional interests and use of or opinions","Identifiable"
"5","recipient's name, address, e-mail address and telephone number.","Identifiable"
"5","personally identifiable information","Identifiable"
"6","non-personally identifiable information","Unspecified"
"6","non-personally identifiable information","Unspecified"
"6","non-personally identifiable information","Unspecified"
"6","non-personally identifiable information","Unspecified"
"6","non-personally identifiable information","Unspecified"
"6","non-personally identifiable information","Aggregated or anonymized"
"6","non-personally identifiable information","Aggregated or anonymized"
"6","non-personally identifiable information","Aggregated or anonymized"
"9","identifiable","Identifiable"
"9","identifiable","Identifiable"
"9","personally identifiable information","Identifiable"
"9","personally identifiable information","Identifiable"
"9","personally identifiable","Identifiable"
"9","personally identifiable","Identifiable"
"9","personally identifiable","Identifiable"
"10","When you request a magazine, service, or other product,","Identifiable"
"11","this information to communicate with you,","Identifiable"
"13","to offer you products","Identifiable"
"14","non-personally identifiable information","Unspecified"
"14","non-personally identifiable information","Unspecified"
"14","non-personally identifiable information","Unspecified"
"14","non-personally identifiable information","Aggregated or anonymized"
"14","non-personally identifiable information","Aggregated or anonymized"
"16","identifiable","Identifiable"
"16","personally identifiable information","Identifiable"
"16","personally identifiable","Identifiable"
"17","identifiable","Identifiable"
"17","identifiable","Identifiable"
"17","identifiable","Identifiable"
"17","personally identifiable information","Identifiable"
"17","personally identifiable","Identifiable"
"17","personally identifiable","Identifiable"
"18","identifiable","Identifiable"
"18","personally identifiable information","Identifiable"
"18","personally identifiable","Identifiable"
"22","identifiable","Identifiable"
"22","personally identifiable","Identifiable"
"22","personally identifiable","Identifiable"
"25","identifiable","Identifiable"
"25","personally identifiable information","Identifiable"
"25","personally identifiable","Identifiable"
"25","personally identifiable in","Identifiable"
"28","Cookies, by themselves, do not tell us your e-mail address or other personal information unless you choose to provide this information to us by, for example, registering with one of our Services.","Other"
"33","identify your computer or device","Identifiable"
"34","anonymous and aggregate","Aggregated or anonymized"
"34","anonymous and aggregate","Aggregated or anonymized"
"34","anonymous and aggregate","Aggregated or anonymized"
"34","anonymous and aggregate","Aggregated or anonymized"
"34","anonymous and aggregate","Aggregated or anonymized"
"34","anonymous and aggregate","Aggregated or anonymized"
"34","anonymous and aggregate","Aggregated or anonymized"
"34","anonymous and aggregate","Aggregated or anonymized"
"35","including your personal information.","Identifiable"
"35","personal information","Identifiable"
"35","personal information","Identifiable"
"35","unique number to you, and relate your Service usage information to other information about you,","Identifiable"
"37","personal information","Identifiable"
