"4","non-personally identifiable","Other"
"4","non-personally identifiable","Other"
"4","non-personally identifiable","Other"
"4","(in aggregate only","Aggregated or anonymized"
"7","aggregated","Aggregated or anonymized"
"9","non-personally identifiable","Other"
"9","Session cookies only collect non-personally identifiable data.","Other"
"10","personal identifiable information","Identifiable"
"10","aggregate data","Aggregated or anonymized"
"11","information","Unspecified"
"4","non-personally identifiable","Aggregated or anonymized"
"4","non-personally identifiable","Aggregated or anonymized"
"4","non-personally identifiable","Aggregated or anonymized"
"4","non-personally identifiable","Aggregated or anonymized"
"4","non-personally identifiable","Aggregated or anonymized"
"9","Session cookies only collect non-personally identifiable data.","Aggregated or anonymized"
"9","Session cookies only collect non-personally identifiable data.","Aggregated or anonymized"
"10","The Library never uses persistent cookies to collect personal identifiable information","Aggregated or anonymized"
"10","The Library never uses persistent cookies to collect personal identifiable information","Aggregated or anonymized"
"10","The Library never uses persistent cookies to collect personal identifiable information","Aggregated or anonymized"
"10","The Library never uses persistent cookies to collect personal identifiable information","Aggregated or anonymized"
"15","we will not post any personally identifying information.","Aggregated or anonymized"
"20","does not collect personal information.","Aggregated or anonymized"
