"8","Google may associate your device identifiers or phone number with your Google Account.","Other"
"8","Google may associate your device identifiers or phone number with your Google Account.","Other"
"8","Google may associate your device identifiers or phone number with your Google Account.","Other"
"35","aggregated, non-personally identifiable","Aggregated or anonymized"
"35","aggregated, non-personally identifiable","Aggregated or anonymized"
"35","aggregated, non-personally identifiable","Aggregated or anonymized"
"35","aggregated, non-personally identifiable","Aggregated or anonymized"
"35","aggregated, non-personally identifiable","Aggregated or anonymized"
"16","use the name","Identifiable"
"16","names associated with your Google Account","Identifiable"
"16","your publicly visible Google Profile information,","Identifiable"
"35","aggregated, non-personally identifiable","Aggregated or anonymized"
"35","aggregated, non-personally identifiable","Aggregated or anonymized"
"35","aggregated, non-personally identifiable","Aggregated or anonymized"
"35","aggregated, non-personally identifiable","Aggregated or anonymized"
