"2","identifiable individual","Identifiable"
"4","for aggregate use.","Aggregated or anonymized"
"4","for aggregate use.","Aggregated or anonymized"
"4","for aggregate use.","Aggregated or anonymized"
"13","aggregated","Aggregated or anonymized"
"13","aggregated","Aggregated or anonymized"
"2","identifiable individual","Identifiable"
"2","identifiable individual","Identifiable"
"2","identifiable individual","Identifiable"
"2","identifiable individual","Identifiable"
"2","identifiable individual","Identifiable"
"2","identifiable individual","Identifiable"
"2","identifiable individual","Identifiable"
"2","identifiable individual","Identifiable"
"2","identifiable individual","Identifiable"
"4","for aggregate use.","Aggregated or anonymized"
"4","for aggregate use.","Aggregated or anonymized"
"4","for aggregate use.","Aggregated or anonymized"
"13","aggregated","Aggregated or anonymized"
"14","about you","Identifiable"
"14","about you","Identifiable"
"14","about you","Identifiable"
"14","about you","Identifiable"
