"1","click here.","General notice in privacy policy"
"1","click here.","General notice in privacy policy"
"29","Web site","General notice on website"
"29","may e-mail periodic reminders","Other"
"1","Last updated","General notice in privacy policy"
"1","Last updated","General notice in privacy policy"
"2","Notices","Unspecified"
"22","is your responsibility to review them for changes.","Unspecified"
"29","We may e-mail periodic reminders of our notices and conditions,","Personal notice"
"29","without the consent of affected customers.","Unspecified"
