"2","Last Updated: March 1, 2015","General notice in privacy policy"
"38","You will be notified via e-mail","Personal notice"
"42","we will post the changes on the JibJab Site(s) affected by such changes","General notice on website"
"42","and notify registered users and members via email.","Personal notice"
"42","This Privacy Policy is subject to change by JibJab from time to time.","Unspecified"
"38","notified via e-mail","Personal notice"
"42","we will post the changes on the JibJab Site(s) affected by such changes and notify registered users and members via email","Personal notice"
"38","notified via e-mail","Personal notice"
"38","notified via e-mail","Personal notice"
"42","we will post the changes on the JibJab Site(s)","General notice on website"
"42","notify registered users and members via email","Personal notice"
