"67","on this page","General notice in privacy policy"
"67","with a notice that the Privacy Policy has been updated on the home pages of the Websites","General notice on website"
"67","If we make material changes to how we treat our users information, we will notify you by e-mail to the primary e-mail address specified in your account","Personal notice"
"1","Effective Date: March 5, 2014","General notice in privacy policy"
"10","Changes to this Privacy Policy","Unspecified"
"23","To notify you","Unspecified"
"67","to post any changes we make to our Privacy Policy on this page","General notice in privacy policy"
"67","with a notice that the Privacy Policy has been updated on the home pages of the Websites","General notice on website"
"67","we will notify you by e-mail to the primary e-mail address specified in your account","Personal notice"
"67","and through a notice on the home pages of the Websites.","General notice on website"
"68","use of the Services after such modifications","Unspecified"
"69","we will notify parents by email in order to obtain verifiable parental consent for the new uses of their childs Personally Identifiable Information","Personal notice"
"67","we will notify you by e-mail to the primary e-mail address specified in your account and through a notice on the home pages of the Websites","Personal notice"
"69","we will notify parents by email","Personal notice"
