"0","EN: The Enthusiast Network (TEN or We or we) is strongly committed to protecting your privacy and providing a safe online experience for all of our users and subscribers while offering the highest quality publications and services to them. This Privacy Policy discloses what information we gather, how we use it, to whom we disclose personal information and other information you have provided, and how to correct or change personal information that you have provided to us. This Privacy Policy applies to TEN and all of its parent companies, subsidiaries, and affiliates. We urge you to read the complete Privacy Policy set forth below, as well as our Terms and Conditions of Use, and contact us if you have any questions.","Introductory/Generic"
"5","III. HOW DO WE SHARE PERSONAL INFORMATION? We share your personal information only as described below.","Introductory/Generic"
"11","As our fulfillment partners may keep and use your information whether or not you purchase their products or use their services, your personal information will be subject to their privacy policies.","Practice not covered"
"13","You should be aware that if you voluntarily disclose information, personal or otherwise, online in any community area (whether through TENs websites or any other service available online), that information can be collected and used by others. Accordingly, you should use caution when sharing any personal information with others in any community area (whether through TENs websites or any other service available online).","Other"
"16","Your Web browser offers cookies which, if you allow their use, store small amounts of data on your computer when you visit a website. Cookies do not contain any personally identifiable information about you and therefore cannot be used to identify you personally.","Introductory/Generic"
"21","We believe that choice in how and when you are contacted is key to customer satisfaction, so we offer several ways for you to update your contact information, change your preferences, or opt out of receiving future communications.","Introductory/Generic"
"23","by contacting us at https://www.circsource.com/ and clicking on Customer Service.","Privacy contact information"
"26","Such written requests should be sent to TEN: The Enthusiast Network at 831 South Douglas Street, El Segundo, CA 90245; Attention: Legal Department.","Privacy contact information"
"27","You may also contact us at privacypolicy@enthusiastnetwork.com or any inquiry or request regarding our privacy policy or the handling of your personal information.","Privacy contact information"
"28","If you have opted out of receiving future e-mails from us, we will implement your opt-out request within 10 business days of receiving the opt-out request. If you have opted out of receiving future promotional materials by regular mail, we will implement your opt-out request within a commercially reasonable time.","Practice not covered"
"31","In the event that you provide personal information to any third party via any TEN website or any offer made available to you by TEN, you understand that TEN is not responsible for such third parties use or misuse of your personal information. You should review the privacy and information sharing practices of such third parties. Additionally, TEN may offer links to or from websites it controls to other sites within the TEN family as well as to sites operated by third parties. We offer links to third party sites so that you can conveniently visit our vendors and advertisers or locate other content likely to be of interest. We are not responsible for the content, practices or policies of sites operated by third parties and urge you to inquire about them before providing any personally-identifiable information.","Practice not covered"
"36","If you have any questions about this Privacy Policy or our privacy practices, please e-mail us at privacypolicy@enthusiastnetwork.com Please include the URL of the website and/or name of the publication involved in your request. Requests under California Law SB 27 should be directed to yourcaliforniaprivacyrights@enthusiastnetwork.com and include the information noted in Your California Privacy Rights.","Privacy contact information"
"37","Or you can contact us by mail at: TEN: The Enthusiast Network 831 South Douglas Street El Segundo, CA 90245 Attention: Legal Department","Privacy contact information"
"38","Last Update May 24, 2014","Other"
"0","his Privacy Policy discloses what information we gather, how we use it, to whom we disclose personal information and other information you have provided, and how to correct or change personal information that you have provided to us. This Privacy Policy applies to TEN and all of its parent companies, subsidiaries, and affiliates. We urge you to read the complete Privacy Policy set forth below, as well as our Terms and Conditions of Use, and contact us if you have any questions.","Introductory/Generic"
"3","See Sections IV and V of this Privacy Policy for more detail on cookies, web beacons, and other information collected automatically by our websites.","Introductory/Generic"
"4","We allow users of our website to send articles or links by e-mail to other parties who may be interested in them.","Other"
"5","We share your personal information only as described below.","Introductory/Generic"
"11","As our fulfillment partners may keep and use your information whether or not you purchase their products or use their services, your personal information will be subject to their privacy policies.","Practice not covered"
"13","Accordingly, you should use caution when sharing any personal information with others in any community area (whether through TENs websites or any other service available online).","Other"
"16","Your Web browser offers cookies which, if you allow their use, store small amounts of data on your computer when you visit a website. Cookies do not contain any personally identifiable information about you and therefore cannot be used to identify you personally","Introductory/Generic"
"18","A number of technologies exist to assess consumer behavior both on-line and off-line. TEN employs a variety of these technologies, including web beacons (see below), web analytics techniques, and other behavior marketing technologies, to assess consumer behavior and to understand how we can better serve our customers.","Introductory/Generic"
"19","Some of our web pages, promotional e-mail messages, and/or newsletters may contain electronic images known as web beacons, which are also called single-pixel gifs.","Introductory/Generic"
"20","Some of the banner ads displayed in our websites are provided by third parties. These ads contain cookies and may also contain web beacons. Unlike cookies and web beacons used by TEN in content it controls on its websites, cookies or web beacons received with banner ads are collected by our advertisers and we do not have access to this information.","Practice not covered"
"20","DoubleClick is our primary third party ad server. If you would like to know more about their information gathering practices and opt-out procedures, please see https://www.google.com/policies/privacy/ http://www.google.com/policies/technologies/ads/","Other"
"21","We believe that choice in how and when you are contacted is key to customer satisfaction, so we offer several ways for you to update your contact information, change your preferences, or opt out of receiving future communications.","Introductory/Generic"
"23","by contacting us at https://www.circsource.com/ and clicking on Customer Service.","Privacy contact information"
"26","Such written requests should be sent to TEN: The Enthusiast Network at 831 South Douglas Street, El Segundo, CA 90245; Attention: Legal Department. In those instances, we will retain your information in a do not promote file in our database, and you will receive no further communications from us.","Privacy contact information"
"27","You may also contact us at privacypolicy@enthusiastnetwork.com","Privacy contact information"
"28","If you have opted out of receiving future e-mails from us, we will implement your opt-out request within 10 business days of receiving the opt-out request. If you have opted out of receiving future promotional materials by regular mail, we will implement your opt-out request within a commercially reasonable time.","Other"
"29","Although we use our best efforts to assure that your data remains secure when maintained by us, security during Internet transmissions or within any system cannot be assured.","Other"
"31","In the event that you provide personal information to any third party via any TEN website or any offer made available to you by TEN, you understand that TEN is not responsible for such third parties use or misuse of your personal information. You should review the privacy and information sharing practices of such third parties. Additionally, TEN may offer links to or from websites it controls to other sites within the TEN family as well as to sites operated by third parties. We offer links to third party sites so that you can conveniently visit our vendors and advertisers or locate other content likely to be of interest. We are not responsible for the content, practices or policies of sites operated by third parties and urge you to inquire about them before providing any personally-identifiable information.","Practice not covered"
"36","XIV. CONTACT INFORMATION If you have any questions about this Privacy Policy or our privacy practices, please e-mail us at privacypolicy@enthusiastnetwork.com Please include the URL of the website and/or name of the publication involved in your request. Requests under California Law SB 27 should be directed to yourcaliforniaprivacyrights@enthusiastnetwork.com and include the information noted in Your California Privacy Rights","Privacy contact information"
"37","Or you can contact us by mail at: TEN: The Enthusiast Network 831 South Douglas Street El Segundo, CA 90245 Attention: Legal Department","Privacy contact information"
"0","TEN: The Enthusiast Network Privacy Policy TEN: The Enthusiast Network (TEN or We or we) is strongly committed to protecting your privacy and providing a safe online experience for all of our users and subscribers while offering the highest quality publications and services to them. This Privacy Policy discloses what information we gather, how we use it, to whom we disclose personal information and other information you have provided, and how to correct or change personal information that you have provided to us. This Privacy Policy applies to TEN and all of its parent companies, subsidiaries, and affiliates. We urge you to read the complete Privacy Policy set forth below, as well as our Terms and Conditions of Use, and contact us if you have any questions.","Introductory/Generic"
"5","We share your personal information only as described below.","Introductory/Generic"
"21","We believe that choice in how and when you are contacted is key to customer satisfaction, so we offer several ways for you to update your contact information, change your preferences, or opt out of receiving future communications.","Introductory/Generic"
"27","You may also contact us at privacypolicy@enthusiastnetwork.com or any inquiry or request regarding our privacy policy or the handling of your personal information.","Privacy contact information"
"28","If you have opted out of receiving future e-mails from us, we will implement your opt-out request within 10 business days of receiving the opt-out request. If you have opted out of receiving future promotional materials by regular mail, we will implement your opt-out request within a commercially reasonable time.","Other"
"31","In the event that you provide personal information to any third party via any TEN website or any offer made available to you by TEN, you understand that TEN is not responsible for such third parties use or misuse of your personal information. You should review the privacy and information sharing practices of such third parties. Additionally, TEN may offer links to or from websites it controls to other sites within the TEN family as well as to sites operated by third parties. We offer links to third party sites so that you can conveniently visit our vendors and advertisers or locate other content likely to be of interest. We are not responsible for the content, practices or policies of sites operated by third parties and urge you to inquire about them before providing any personally-identifiable information.","Other"
"36","If you have any questions about this Privacy Policy or our privacy practices, please e-mail us at privacypolicy@enthusiastnetwork.com Please include the URL of the website and/or name of the publication involved in your request. Requests under California Law SB 27 should be directed to yourcaliforniaprivacyrights@enthusiastnetwork.com and include the information noted in Your California Privacy Rights.","Privacy contact information"
"37","Or you can contact us by mail at: TEN: The Enthusiast Network 831 South Douglas Street El Segundo, CA 90245 Attention: Legal Department","Privacy contact information"
"38","Last Update May 24, 2014","Introductory/Generic"
