"0","User Agreement and Privacy Policy","Introductory/Generic"
"1","Last Revised: December 23, 2013 To jump to our Privacy Policy, click here To opt-out of Third Party Tracking Technologies, click here To opt-out of Third Party Sharing, click here If you have a complaint about another user, click here Kids and parents click here","Introductory/Generic"
"2","PRIVACY POLICY 1. The Type of Information the Service Collects :","Introductory/Generic"
"3","A. The following Privacy Policy summarizes the various ways we treat personally identifiable and other information about you and your computer, mobile or other device when you access, visit and/or use the Service. This Privacy Policy does not cover information collected elsewhere, including without limitation offline and on sites, applications, destinations, or services linked to from the Service.","Introductory/Generic"
"3","A. The following Privacy Policy summarizes the various ways we treat personally identifiable and other information about you and your computer, mobile or other device when you access, visit and/or use the Service. This Privacy Policy does not cover information collected elsewhere, including without limitation offline and on sites, applications, destinations, or services linked to from the Service.","Introductory/Generic"
"9","While we may seek to require such third parties to follow appropriate privacy policies and will not authorize them to use this information except for the express purpose for which it is provided, we do not bear any responsibility for any actions or policies of third parties.","Introductory/Generic"
"15","I. We reserve the right to identify you from your Registration Information and/or to merge or co-mingle anonymous or non-personally identifiable data about you, your offline and online behavior, and/or your computer, mobile or other device (including its geographic location), with your Registration Information and/or other personally identifiable data for any lawful business purpose.","Practice not covered"
"16","A. The Service will at times place and/or store code or other types of information and/or devices (e.g., cookies) on your computer, mobile or other device (Local Device Storage). We may use Local Device Storage for any lawful business purpose, including without limitation to determine which of our messages have been opened by recipients so we can gauge the effectiveness of marketing campaigns, to control the display of ads, to track usage patterns, the movements of individual users, and your geographic location, to help diagnose problems with our servers, to gather broad demographic information, to analyze trends, to conduct research, to deliver editorial content, to record registration and personalization information, and to otherwise administer the Service. For example, if you register on any part of the Service and are given the option to save your user name and password, we may provide this convenience to you via Local Device Storage. Local Device Storage may also collect and store your personally identifiable information, which may be shared with our parent, subsidiaries, and affiliates and other companies.","Practice not covered"
"18","C. In addition to Local Device Storage, we may use web beacons, web bugs, clear gifs, and similar technologies (collectively, together with Local Device Storage, the Tracking Technologies). We use Tracking Technologies for all or some of the same lawful business purposes we describe above for use of Local Device Storage.","Practice not covered"
"21","5. Transfer of Information : Your information may be transferred to, and maintained on, servers and databases located outside of your state, province, country or other governmental jurisdiction where the privacy laws may not be as protective as your jurisdiction. Please be advised that we may transfer your information to and from any state, province, country or other governmental jurisdiction, and process it in the United States or elsewhere. Your consent to this Privacy Policy followed by your submission of such information represents your agreement to any such transfer.","Practice not covered"
"29","9. Privacy Policy Coordinator, Opt-Out Requests and Other Privacy Questions : If you have any other concerns or questions about any aspect of this policy, please feel free to contact our Privacy Policy Coordinator as follows: Privacy Policy Coordinator American City Business Journals, Inc. 120 W. Morehead St. Charlotte, NC 28202","Privacy contact information"
"29","9. Privacy Policy Coordinator, Opt-Out Requests and Other Privacy Questions : If you have any other concerns or questions about any aspect of this policy, please feel free to contact our Privacy Policy Coordinator as follows: Privacy Policy Coordinator American City Business Journals, Inc. 120 W. Morehead St. Charlotte, NC 28202","Privacy contact information"
"32","Make sure to include enough information for us to help you, including for example your name, contact information, and the specific website, mobile site, application, and/or other service youre contacting us about.","Other"
"32","Make sure to include enough information for us to help you, including for example your name, contact information, and the specific website, mobile site, application, and/or other service youre contacting us about.","Other"
"32","Make sure to include enough information for us to help you, including for example your name, contact information, and the specific website, mobile site, application, and/or other service youre contacting us about.","Privacy contact information"
"33","Note: Only inquiries about this policy or your personal information should be sent to the Privacy Policy Coordinator. No other communications will be accepted or responded to.","Introductory/Generic"
"33","Note: Only inquiries about this policy or your personal information should be sent to the Privacy Policy Coordinator. No other communications will be accepted or responded to.","Privacy contact information"
"34","For communications on other matters, please contact us through the means described on the Service, if available (for example, in the Contact Us section).","Introductory/Generic"
"34","For communications on other matters, please contact us through the means described on the Service, if available (for example, in the Contact Us section).","Privacy contact information"
"35","If you dont agree to the terms contained in this User Agreement and Privacy Policy, you must immediately exit the Service.","Introductory/Generic"
"36","2015 American City Business Journals. All Rights Reserved.","Introductory/Generic"
"37","Use of this site constitutes acceptance of our user agreement and privacy policy.","Introductory/Generic"
"0","User Agreement and Privacy Policy","Introductory/Generic"
"1","Last Revised: December 23, 2013","Other"
"1","If you have a complaint about another user, click here","Practice not covered"
"2","PRIVACY POLICY 1. The Type of Information the Service Collects :","Introductory/Generic"
"3","A. The following Privacy Policy summarizes the various ways we treat personally identifiable and other information about you and your computer, mobile or other device when you access, visit and/or use the Service. This Privacy Policy does not cover information collected elsewhere, including without limitation offline and on sites, applications, destinations, or services linked to from the Service.","Introductory/Generic"
"21","Your information may be transferred to, and maintained on, servers and databases located outside of your state, province, country or other governmental jurisdiction where the privacy laws may not be as protective as your jurisdiction. Please be advised that we may transfer your information to and from any state, province, country or other governmental jurisdiction, and process it in the United States or elsewhere. Your consent to this Privacy Policy followed by your submission of such information represents your agreement to any such transfer.","Practice not covered"
"29","Privacy Policy Coordinator, Opt-Out Requests and Other Privacy Questions : If you have any other concerns or questions about any aspect of this policy, please feel free to contact our Privacy Policy Coordinator as follows: Privacy Policy Coordinator American City Business Journals, Inc. 120 W. Morehead St. Charlotte, NC 28202","Privacy contact information"
"32","Make sure to include enough information for us to help you, including for example your name, contact information, and the specific website, mobile site, application, and/or other service youre contacting us about.","Other"
"33","Note: Only inquiries about this policy or your personal information should be sent to the Privacy Policy Coordinator. No other communications will be accepted or responded to.","Privacy contact information"
"34","For communications on other matters, please contact us through the means described on the Service, if available (for example, in the Contact Us section).","Privacy contact information"
"35","If you dont agree to the terms contained in this User Agreement and Privacy Policy, you must immediately exit the Service.","Other"
"36","2015 American City Business Journals. All Rights Reserved.","Other"
"37","Use of this site constitutes acceptance of our user agreement and privacy policy. California privacy rights.","Other"
