"0","Privacy Policy","Introductory/Generic"
"1","Cincymuseum.org and all other websites and/or domains hosted in conjunction with this domain (the ""Site"") are services of Cincinnati Museum Center (CMC), a non-profit organization based in Cincinnati, OH.","Introductory/Generic"
"2","Cincinnati Museum Center has created this privacy policy to demonstrate our firm commitment to protecting your information and informing you about how we handle your information. This privacy policy applies to all interactions with, transactions made, and data gathered on the Site. Please review this privacy policy periodically as we may update it from time to time. This privacy policy was last revised per the date listed below. Each time you visit the Site or provide us with information, by doing so you are accepting the practices described in this privacy policy at that time.","Introductory/Generic"
"6","On the Site, we place links to other web sites operated by other parties. Some of these other web sites contain our brand names and trademarks and other intellectual property that we own; others do not. When you click on these links and visit these other web sites, regardless of whether or not they contain our brand names, trademarks and other intellectual property, you need to be aware that we do not control these other web sites or these other web sites' business practices, and that this privacy policy does not apply to these other web sites. Consequently, the operators of these other web sites may collect different kinds of information about you, and may use and disclose that information in different ways than we would if it were collected on the Site. We encourage you to review their privacy policies and remind you that we will not be responsible for their actions.","Practice not covered"
"7","We carefully select the information we send to you and attempt to send you offers that are of value to you, such as discounts, exclusive offers or special event information.","Other"
"10","If you purchase a ticket or perform any other transaction through our ticketing partner, their Privacy Policy is in effect for that transaction.","Practice not covered"
"17","Note, your information may be transferred to and maintained on computer networks which may be located outside of the state, province, country, or other governmental jurisdiction in which you reside, and the country or jurisdiction in which these computer networks are located may not have privacy laws as protective as the laws in your country or jurisdiction.","Practice not covered"
"18","Please note that changing or deleting your information through your account profile will only change or delete the data in our database for purposes of transacting future business on the Site and for managing future communications from Cincinnati Museum Center.","Practice not covered"
"19","A) Information already collected as part of a particular purchase in our transactions database which may be shared with third parties involved in the processing of financial transactions, as discussed above; or","Practice not covered"
"20","Information that we may have already forwarded to credit card companies or any other third parties, all as provided above in this privacy policy.","Practice not covered"
"20","If you have any questions or concerns about this privacy policy, the practices of the Site, or your dealings with the Site, you can contact us at domains@cincymuseum.org.","Privacy contact information"
"21","You can also send us mail to: Cincinnati Museum Center, Union Terminal, 1301 Western Ave., Cincinnati, OH 45203","Privacy contact information"
"22","Please use this contact information only for legal and privacy policy matters. For all other inquiries, refer to the Contact Us section of our home page.","Privacy contact information"
"23","This document was last revised on 09/29/2011","Other"
"24","Unless otherwise indicated, all material on this site 2011 Cincinnati Museum Center.","Other"
"0","Privacy Policy","Introductory/Generic"
"1","Cincymuseum.org and all other websites and/or domains hosted in conjunction with this domain (the ""Site"") are services of Cincinnati Museum Center (CMC), a non-profit organization based in Cincinnati, OH.","Introductory/Generic"
"2","Cincinnati Museum Center has created this privacy policy to demonstrate our firm commitment to protecting your information and informing you about how we handle your information. This privacy policy applies to all interactions with, transactions made, and data gathered on the Site.","Introductory/Generic"
"6","On the Site, we place links to other web sites operated by other parties. Some of these other web sites contain our brand names and trademarks and other intellectual property that we own; others do not. When you click on these links and visit these other web sites, regardless of whether or not they contain our brand names, trademarks and other intellectual property, you need to be aware that we do not control these other web sites or these other web sites' business practices, and that this privacy policy does not apply to these other web sites. Consequently, the operators of these other web sites may collect different kinds of information about you, and may use and disclose that information in different ways than we would if it were collected on the Site. We encourage you to review their privacy policies and remind you that we will not be responsible for their actions.","Practice not covered"
"7","We carefully select the information we send to you and attempt to send you offers that are of value to you, such as discounts, exclusive offers or special event information.","Other"
"10","Tickets. We use a third party ticketing agent for ticketing processing. If you purchase a ticket or perform any other transaction through our ticketing partner, their Privacy Policy is in effect for that transaction.","Practice not covered"
"17","Note, your information may be transferred to and maintained on computer networks which may be located outside of the state, province, country, or other governmental jurisdiction in which you reside, and the country or jurisdiction in which these computer networks are located may not have privacy laws as protective as the laws in your country or jurisdiction.","Other"
"18","Please note that changing or deleting your information through your account profile will only change or delete the data in our database for purposes of transacting future business on the Site and for managing future communications from Cincinnati Museum Center. These changes and deletions will not change or delete:","Practice not covered"
"20","If you have any questions or concerns about this privacy policy, the practices of the Site, or your dealings with the Site, you can contact us at domains@cincymuseum.org.","Privacy contact information"
"21","You can also send us mail to: Cincinnati Museum Center, Union Terminal, 1301 Western Ave., Cincinnati, OH 45203","Privacy contact information"
"22","Please use this contact information only for legal and privacy policy matters. For all other inquiries, refer to the Contact Us section of our home page.","Privacy contact information"
"24","Unless otherwise indicated, all material on this site 2011 Cincinnati Museum Center.","Other"
"0","Privacy Policy","Other"
"1","Cincymuseum.org and all other websites and/or domains hosted in conjunction with this domain (the ""Site"") are services of Cincinnati Museum Center (CMC), a non-profit organization based in Cincinnati, OH.","Introductory/Generic"
"2","Cincinnati Museum Center has created this privacy policy to demonstrate our firm commitment to protecting your information and informing you about how we handle your information. This privacy policy applies to all interactions with, transactions made, and data gathered on the Site.","Introductory/Generic"
"2","Each time you visit the Site or provide us with information, by doing so you are accepting the practices described in this privacy policy at that time.","Practice not covered"
"6","On the Site, we place links to other web sites operated by other parties. Some of these other web sites contain our brand names and trademarks and other intellectual property that we own; others do not. When you click on these links and visit these other web sites, regardless of whether or not they contain our brand names, trademarks and other intellectual property, you need to be aware that we do not control these other web sites or these other web sites' business practices, and that this privacy policy does not apply to these other web sites.","Practice not covered"
