"0","Chase Paymentech Solutions, LLC Privacy Statement Chase Paymentech Solutions, LLC is committed to safeguarding the privacy and security of the information we collect. This statement explains the policies we follow with respect to the handling of customer information collected by Chase Paymentech.","Introductory/Generic"
"0","This statement explains the policies we follow with respect to the handling of customer information collected by Chase Paymentech.","Introductory/Generic"
"1","Commitment to Privacy and Security Chase Paymentech Solutions, LLC and its operating entity Paymentech, LLC (collectively, ""Chase Paymentech"") are committed to safeguarding the privacy and security of the information we collect. This Privacy Statement explains the policies we follow with respect to the handling of customer information collected by Chase Paymentech. This Privacy Statement covers the services provided by Chase Paymentech to our merchant customers, including merchant customers using the Chase Mobile Checkout application.","Introductory/Generic"
"3","Customer Data and Cardholder Data Use and disclosure of Customer Data collected by Chase Paymentech varies based on the information source and type, as set forth below:","Introductory/Generic"
"10","Responsibility of Merchants Merchants are also required to comply with various rules and regulations of the various credit and debit card organizations and networks relating to the security and safeguarding Cardholder Data, including, but not limited to, PCI, CISP and SDP. Merchants may be required to undergo periodic third-party data security assessments and periodic network scans to ensure that appropriate security measures are in place.","Practice not covered"
"10","Responsibility of Merchants Merchants are also required to comply with various rules and regulations of the various credit and debit card organizations and networks relating to the security and safeguarding Cardholder Data, including, but not limited to, PCI, CISP and SDP. Merchants may be required to undergo periodic third-party data security assessments and periodic network scans to ensure that appropriate security measures are in place.","Practice not covered"
"12","What are Cookies? A cookie is a text-only string of information that a website transfers to the cookie file of the browser on your computer's hard disk so that the website can recognize you when you revisit and remember certain information about you. This can include which pages you have visited, choices you have made from menus, any specific information you have entered into forms and the time and date of your visit.","Introductory/Generic"
"12","What are Cookies? A cookie is a text-only string of information that a website transfers to the cookie file of the browser on your computer's hard disk so that the website can recognize you when you revisit and remember certain information about you. This can include which pages you have visited, choices you have made from menus, any specific information you have entered into forms and the time and date of your visit.","Introductory/Generic"
"13","Types of cookies: There are two main types of cookies: Session cookies: these are temporary cookies that expire at the end of a browser session; that is, when you leave the site. Session cookies allow the website to recognize you as you navigate between pages during a single browser session and allow you to use the website most efficiently. For example, session cookies enable a website to remember that a user has placed items in an online shopping basket. Persistent cookies: in contrast to session cookies, persistent cookies are stored on your equipment between browsing sessions until expiry or deletion. They therefore enable the website to ""recognize"" you on your return remember your preferences and tailor services to you. In addition to session cookies and persistent cookies, there may be other cookies which are set by the website which you have chosen to visit, such as this website, in order to provide us or third parties with information.","Introductory/Generic"
"18","Third-Party Web Sites. Chase Paymentech may create links to third-party Web sites. In addition, Chase Paymentech may authorize third-parties to create links to Chase Paymentech websites. Chase Paymentech is not responsible for the content or privacy practices employed by third-party Web sites. Nor does Chase Paymentech control or warrant the utility, merchantability or workmanship of the products or services offered at third-party Web sites.","Introductory/Generic"
"18","Third-Party Web Sites. Chase Paymentech may create links to third-party Web sites. In addition, Chase Paymentech may authorize third-parties to create links to Chase Paymentech websites. Chase Paymentech is not responsible for the content or privacy practices employed by third-party Web sites. Nor does Chase Paymentech control or warrant the utility, merchantability or workmanship of the products or services offered at third-party Web sites.","Other"
"21","If any consumers in the EU have any questions about our handling of their EU Cardholder Data, such consumers should first contact the Merchant as this may be the most efficient means of addressing such issues. Consumers in the EU may also reach out to the CPL Safe Harbor Privacy Contact in the Legal Department at Chase Paymentech Solutions, 14221 Dallas Parkway, Dallas, Texas, 75254. Questions that are not otherwise resolved with the Merchant and/or CPL may also be directed to local EU data protection authorities.","Privacy contact information"
"22","To learn more about the Safe Harbor program, and to view Paymentech, LLC's certification, please visit http://www.export.gov/safeharbor/.","Privacy contact information"
"24","Inquiries If you have a question or comment regarding this Privacy Statement, please contact: Chase Paymentech Solutions Chief Compliance Officer 14221 Dallas Parkway Dallas, Texas 75254 Chase Paymentech Solutions Safe Harbor Privacy Contact Legal Department 14221 Dallas Parkway Dallas, Texas 75254","Privacy contact information"
"24","Inquiries If you have a question or comment regarding this Privacy Statement, please contact: Chase Paymentech Solutions Chief Compliance Officer 14221 Dallas Parkway Dallas, Texas 75254 Chase Paymentech Solutions Safe Harbor Privacy Contact Legal Department 14221 Dallas Parkway Dallas, Texas 75254","Privacy contact information"
"25","(Last modified January, 2015)","Introductory/Generic"
"0","Chase Paymentech Solutions, LLC is committed to safeguarding the privacy and security of the information we collect. This statement explains the policies we follow with respect to the handling of customer information collected by Chase Paymentech.","Introductory/Generic"
"1","Chase Paymentech Solutions, LLC and its operating entity Paymentech, LLC (collectively, ""Chase Paymentech"") are committed to safeguarding the privacy and security of the information we collect. This Privacy Statement explains the policies we follow with respect to the handling of customer information collected by Chase Paymentech. This Privacy Statement covers the services provided by Chase Paymentech to our merchant customers, including merchant customers using the Chase Mobile Checkout application.","Introductory/Generic"
"2","Chase Paymentech's customers, the customers of its affiliates, and the customers of other third-parties for which Chase Paymentech may provide outsourced or subcontracted processing services, (""Merchants"") are businesses and other legal entities desiring to accept credit or debit cards or other payment methods, as payment for goods or services.","Introductory/Generic"
"2","Chase Paymentech does not have direct relationships with, or collect information directly from, individual consumers other than in their capacity as owners or operators of a commercial enterprise. Chase Paymentech does not provide services for consumer, personal, family or household purposes. The information we receive and collect is strictly related to our business customers and the payment transactions that we assist them in executing, as well as from prospective or potential business customers or website visitors who may be interested in learning more about our services (""Customer Data"").","Practice not covered"
"3","Use and disclosure of Customer Data collected by Chase Paymentech varies based on the information source and type, as set forth below:","Introductory/Generic"
"4","Please check the privacy policy of these websites concerning what information may be collected by the third-party and shared with Chase Paymentech. Such information is used by us only for the purposes set forth above with respect to information collected directly from you at our own website.","Other"
"9","Additional information regarding the requirements of VISA's CISP and Mastercard's Site Data Protection program (SDP) can be found on the VISA, Inc. and MasterCard International Web sites.","Other"
"16","Please check the relevant third party website for more information about their use of cookies. Where this site allows such cookies to be set or you access other websites from this site using the links provided, the operators of these websites will use cookies in accordance with their own cookies policy, which may differ from ours.","Other"
"16","We are committed to respecting and protecting your privacy and will ensure that all personal information collected by us is kept and treated in accordance with this privacy policy.","Introductory/Generic"
"17","To manage your use of cookies there are various resources available to you, for example the ""Help"" section on your browser may assist you.","Other"
"18","Chase Paymentech may create links to third-party Web sites. In addition, Chase Paymentech may authorize third-parties to create links to Chase Paymentech websites. Chase Paymentech is not responsible for the content or privacy practices employed by third-party Web sites. Nor does Chase Paymentech control or warrant the utility, merchantability or workmanship of the products or services offered at third-party Web sites.","Practice not covered"
"21","Chase Paymentech Solutions, 14221 Dallas Parkway, Dallas, Texas, 75254. Questions that are not otherwise resolved with the Merchant and/or CPL may also be directed to local EU data protection authorities.","Privacy contact information"
"22","To learn more about the Safe Harbor program, and to view Paymentech, LLC's certification, please visit http://www.export.gov/safeharbor/.","Other"
"24","Chase Paymentech Solutions Chief Compliance Officer 14221 Dallas Parkway Dallas, Texas 75254 Chase Paymentech Solutions Safe Harbor Privacy Contact Legal Department 14221 Dallas Parkway Dallas, Texas 75254","Privacy contact information"
"25","(Last modified January, 2015)","Other"
