"0","Privacy Policy","Introductory/Generic"
"1","Miami New Times, LLC This Privacy Policy is effective as of February 15, 2012.","Introductory/Generic"
"1","This Privacy Policy is effective as of February 15, 2012.","Other"
"2","This Privacy Policy describes the practices that Miami New Times, LLC (""Miami New Times"") follows with respect to the collection, maintenance and use of information submitted on miaminewtimes.com (the ""Site""). This Privacy Policy applies only to information we collect from this Site, and does not apply to any other website or business activity of Miami New Times. By using our Site, and/or providing information to us, you consent to the collection, maintenance and use of this information by us.","Introductory/Generic"
"2","This Privacy Policy describes the practices that Miami New Times, LLC (""Miami New Times"") follows with respect to the collection, maintenance and use of information submitted on miaminewtimes.com (the ""Site""). This Privacy Policy applies only to information we collect from this Site, and does not apply to any other website or business activity of Miami New Times.","Introductory/Generic"
"7","If you do not provide information to us, you may be unable to use certain features of the Site. For example, you cannot post comments in connection with certain articles or register for the Site, contests, surveys or newsletters unless you provide certain information. Also, you will not be able to submit events for inclusion on our Site or purchase event tickets if you do not provide certain information.","Other"
"11","We may associate your IP address with your personally identifiable information and may maintain, use and disclose such information in accordance with the terms of this Privacy Policy below.","Other"
"15","Advertising networks that are members of Network Advertising Initiative or that participate in the Digital Advertising Alliance have subscribed to certain principles relating to collection and use of information, and may permit users to direct whether or how information about their viewing activities are used for advertising purposes. To register your preferences or choices, or to opt out of behavioral advertising offered by participants in these programs, visit http://www.networkadvertising.org or http://www.aboutads.info.","Introductory/Generic"
"16","If you change browsers or computers, or delete the cookies on your computer, you may need to re-enter your preferences or opt-out.","Other"
"20","We may combine personally identifiable information and automatic information we obtain from you or your activities with other data concerning or relating to the behavioral and demographic attributes of our customers, in order to identify our best customers, reach them effectively, understand their interests and best manage our relationships with them.","Practice not covered"
"28","This Privacy Policy does not apply to any information you choose to make public.","Introductory/Generic"
"28","This Privacy Policy does not apply to any information you choose to make public","Practice not covered"
"31","Links to Other Sites This Site provides links to websites maintained by other organizations. Miami New Times provides these links as a convenience to users, but it does not operate, control or endorse such sites. Miami New Times also disclaims any responsibility for the information on those sites and any products or services offered on such sites. Please review the privacy policies of these sites. Miami New Times is not responsible for any actions or policies of such third parties, and does not make any warranties or representations that any linked sites (or even this Site) will function without error or interruption, that defects will be corrected, or that the sites and their servers are free of viruses and other problems that can harm your computer. Miami New Times disclaims any responsibility for transactions conducted on those sites and cannot vouch for the security of the information submitted in those transactions.","Introductory/Generic"
"34","More Questions- If you have any questions about this privacy policy, please e-mail them to privacyadministrator@voicemediagroup.com, and be sure to indicate the specific site you are visiting and the nature of your question or concern.","Privacy contact information"
"34","More Questions- If you have any questions about this privacy policy, please e-mail them to privacyadministrator@voicemediagroup.com, and be sure to indicate the specific site you are visiting and the nature of your question or concern.","Privacy contact information"
"0","Privacy Policy","Introductory/Generic"
"1","This Privacy Policy is effective as of February 15, 2012.","Introductory/Generic"
"2","This Privacy Policy describes the practices that Miami New Times, LLC (""Miami New Times"") follows with respect to the collection, maintenance and use of information submitted on miaminewtimes.com (the ""Site""). This Privacy Policy applies only to information we collect from this Site, and does not apply to any other website or business activity of Miami New Times. By using our Site, and/or providing information to us, you consent to the collection, maintenance and use of this information by us.","Introductory/Generic"
"4","We collect and maintain personally identifiable information and automatic information.","Introductory/Generic"
"5","""Personally identifiable information"" is information that tells us who you are, such as your name, screen name, email address, postal address, phone number, credit card information, birth date/year and gender.","Introductory/Generic"
"9","not associated with your IP address or personally identifiable information.","Practice not covered"
"10","All computers and servers on the Internet use IP addresses to recognize and communicate with each other.","Introductory/Generic"
"11","We may associate your IP address with your personally identifiable information","Practice not covered"
"14","Miami New Times attempts to deal with advertising networks that are members of the Network Advertising Initiative or the Digital Advertising Alliance, but at times ad networks that are not NAI or DAA participants may have access to your activity on the Site, and hence may use that information in connection with displaying ads to you on other sites.","Practice not covered"
"16","If you change browsers or computers, or delete the cookies on your computer, you may need to re-enter your preferences or opt-out.","Practice not covered"
"19","but we reserve the right to use, discuss and report facts that we consider newsworthy relating to submissions even if it might reveal or tend to reveal the poster's identity.","Practice not covered"
"20","We may combine personally identifiable information and automatic information","Practice not covered"
"23","For rules or requirements for contests, promotions, polls, surveys and/or newsletters, please see the applicable page on our Site.","Other"
"28","This Privacy Policy does not apply to any information you choose to make public.","Other"
"31","This Site provides links to websites maintained by other organizations. Miami New Times provides these links as a convenience to users, but it does not operate, control or endorse such sites.","Practice not covered"
"31","Miami New Times also disclaims any responsibility for the information on those sites and any products or services offered on such sites. Please review the privacy policies of these sites. Miami New Times is not responsible for any actions or policies of such third parties, and does not make any warranties or representations that any linked sites (or even this Site) will function without error or interruption, that defects will be corrected, or that the sites and their servers are free of viruses and other problems that can harm your computer. Miami New Times disclaims any responsibility for transactions conducted on those sites and cannot vouch for the security of the information submitted in those transactions.","Other"
"32","Updates and Changes to Your Information.","Introductory/Generic"
"34","If you have any questions about this privacy policy, please e-mail them to privacyadministrator@voicemediagroup.com, and be sure to indicate the specific site you are visiting and the nature of your question or concern.","Privacy contact information"
