"0","Privacy Policy Tulsaworld.com's Privacy Policy","Introductory/Generic"
"1","Welcome to Tulsaworld.com, home of the Tulsa World Online Edition. References in this Privacy Policy to Tulsaworld.com or this ""Website"" include the webpages that are directly accessed through the navigation bars on Tulsaworld.com which have a direct link to this Privacy Policy.","Practice not covered"
"1","There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party. If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage, or you may contact Tulsaworld.com as set forth at the end of this policy.","Introductory/Generic"
"1","Welcome to Tulsaworld.com, home of the Tulsa World Online Edition. References in this Privacy Policy to Tulsaworld.com or this ""Website"" include the webpages that are directly accessed through the navigation bars on Tulsaworld.com which have a direct link to this Privacy Policy. There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party. If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage, or you may contact Tulsaworld.com as set forth at the end of this policy.","Introductory/Generic"
"2","We understand that privacy is very important to our visitors. We want to make sure that you understand why we collect certain information, how we use it, and how we protect it. We want our guests to feel confident that their information is handled with great care.","Introductory/Generic"
"2","We understand that privacy is very important to our visitors. We want to make sure that you understand why we collect certain information, how we use it, and how we protect it. We want our guests to feel confident that their information is handled with great care.","Introductory/Generic"
"3","PLEASE READ THIS PRIVACY POLICY CAREFULLY. BY ACCESSING OR USING OUR WEBSITE, YOU ACKNOWLEDGE THAT YOU HAVE READ, UNDERSTAND, AND AGREE TO BE BOUND TO ALL THE TERMS OF THIS PRIVACY POLICY AND OUR WEBSITE TERMS OF USE. IF YOU DO NOT AGREE TO THESE TERMS, EXIT THIS PAGE AD DO NOT ACCESS OR USE THE WEBSITE.","Introductory/Generic"
"5","How do I know my information is safe on Tulsaworld.com-","Introductory/Generic"
"17","Cookies and how Tulsaworld.com uses them A cookie is a small amount of data that is transferred from a Web server through your browser and stored on the hard drive of your computer. The cookie contains your user name and password so that when you log on, the Web server recognizes you.","Introductory/Generic"
"18","Some advertisers on Tulsaworld.com may use their own cookies. When you click on an advertisement, visit an advertiser's Web site or make a purchase from an advertiser, that company may use cookies according to their own policies. Advertisers' cookies are not covered under Tulsaworld.com's policy. In addition, we may use third party advertising companies to display advertisements on our Website. As part of their service, they may place separate cookies on your computer. We have no access to or control over these cookies.","Introductory/Generic"
"33","What information is covered by this privacy policy- What isn't- All information you provide directly to Tulsaworld.com is covered under this privacy policy. This information may include but is not limited to personally identifiable information such as your name, address, phone number, and e-mail address.","Introductory/Generic"
"34","Information that you might post on a message board, forum, or chat room is not protected under this privacy policy. Information posted in any of these public areas is not considered confidential communication. Tulsaworld.com has the right but not the obligation to monitor the content of its bulletin boards, forums and chat rooms to determine compliance with its policies and terms of use and any other operating rules established for the website. Tulsaworld.com shall have the right in its sole discretion, and without prior notice, to edit, refuse to post, or remove any materials submitted to or posted to its bulletin boards, forums, or chat rooms.","Practice not covered"
"34","Information that you might post on a message board, forum, or chat room is not protected under this privacy policy. Information posted in any of these public areas is not considered confidential communication. Tulsaworld.com has the right but not the obligation to monitor the content of its bulletin boards, forums and chat rooms to determine compliance with its policies and terms of use and any other operating rules established for the website. Tulsaworld.com shall have the right in its sole discretion, and without prior notice, to edit, refuse to post, or remove any materials submitted to or posted to its bulletin boards, forums, or chat rooms.","Introductory/Generic"
"35","Please keep in mind that whenever you voluntarily disclose information on a public website - for example, on message boards or in chat areas - that information can be collected and used by others. In short, if you post information online that is accessible to the public, you may receive unsolicited messages from other parties in return. Tulsaworld.com is not responsible for the disclosure of your information under these circumstances and such disclosure is not covered under this privacy policy.","Introductory/Generic"
"36","Additionally, advertisers and vendors hosted on our site, or who link to our site, may collect information about you if you visit their websites, or purchase products or services from them. Information collected by vendors or advertisers hosted on Tulsaworld.com or who link to Tulsaworld.com is not covered under this privacy policy. This privacy policy only addresses the use and disclosure of information we collect from you. Other websites that may be accessible through our Website have their own privacy policies and data collection, use and disclosure practices. If you link to any such website, we urge you review the website's privacy policy. We are not responsible for the policies or practices of third parties.","Introductory/Generic"
"37","Finally, you are solely responsible for maintaining the secrecy of your passwords and/or any account information. Please be careful and responsible whenever you're online.","Introductory/Generic"
"40","You may accept certain kinds of contact and decline others. For example, you may choose to accept e-mails, but not postal mail or telephone calls.","Other"
"44","Submit your request by e-mailing circulation@tulsaworld.com.","Privacy contact information"
"45","Associated Press We participate in the News Registry, a service operated by the NewsRight, LLC (NewsRight). The News Registry collects content usage information and may use cookies in conjunction with this activity. Your continued readership of the Site means you accept the privacy policy of the NewsRight News Registry. Please refer to the NewsRight News Registry privacy policy at http://www.newsregistry.com/privacycenter/servicepolicy.aspx for further information.","Introductory/Generic"
"46","Contacting Tulsaworld.com If you have any questions about our privacy policy or the privacy practices of this site, please contact us at tulsaworld.com/site/contact.html. You may telephone us at (918) 582-0921. You may write to us at: Tulsa World, 315 S. Boulder Ave., Tulsa, OK 74103","Privacy contact information"
"46","Contacting Tulsaworld.com If you have any questions about our privacy policy or the privacy practices of this site, please contact us at tulsaworld.com/site/contact.html. You may telephone us at (918) 582-0921. You may write to us at: Tulsa World, 315 S. Boulder Ave., Tulsa, OK 74103","Privacy contact information"
"47","Refunds Tulsa World will charge a $5 processing fee for refunds remitted to the customer.","Practice not covered"
