"0","Vox Media Privacy Policy","Introductory/Generic"
"1","Vox Media Policies Terms of Use Privacy Policy Privacy Policy: Advertising Addendum Security","Introductory/Generic"
"2","Contact Us Privacy Terms of Use Questions Media Press Inquiries National Ad Team International Ad Team Security Reporting","Privacy contact information"
"3","This Privacy Policy does not govern our use of any information you provide to us when you call us, write to us, or communicate with us in any manner other than through the Services. Because the Internet is global, information about you that we collect or that you submit may be transferred to, processed in, and held in countries (including the United States) other than the one in which you reside.","Practice not covered"
"10","require that they maintain the confidentiality of such User Information.","Practice not covered"
"13","A ""cookie"" is a small file containing a string of characters that is sent to your computer and stored on your hard drive when you visit a website. Many major Web services use cookies to provide useful features for their users. Each web site can send its own cookie to your browser.","Introductory/Generic"
"18","Other companies' use of their cookies is subject to their own privacy policies, not this one. Advertisers or other companies do not have access to our cookies.","Practice not covered"
"19","However, please note that the advertisers (including ad serving companies) may determine based on their own analysis that a user who interacts with an advertisement targeted by us may fit into a certain demographic category; for example, an advertiser may determine that men ages 25-34 are interacting with a certain advertisement on the Services from a particular geographic area.","Practice not covered"
"20","You can learn more about the advertising companies we work with and what options they may offer you regarding cookies and targeted advertising on our advertising addendum page. Many of these companies are also members of the Network Advertising Initiative or the Digital Advertising Alliance,","Practice not covered"
"22","Please note that sometimes these requests may take up to ten business days to process and that we are not responsible for removing information about you from the database of any third party to whom we were authorized to disclose your User Information prior to processing your request","Practice not covered"
"24","Unfortunately, however, no data transmission over the Internet can be guaranteed to be 100 secure. As a result, while we strive to protect your User Information, we cannot guarantee its security.","Other"
"25","The Services may contain links to other websites. We are not responsible for the privacy practices of any such other website and urge you to review such practices prior to submitting any information to such websites.","Other"
"28","If you have any questions about this Privacy Policy, please feel free to contact us by email at privacy@voxmedia.com.","Privacy contact information"
"0","Vox Media Privacy Policy","Introductory/Generic"
"1","Updated as of May 2014 Vox Media Policies Terms of Use Privacy Policy Privacy Policy: Advertising Addendum Security","Introductory/Generic"
"2","Contact Us Privacy Terms of Use Questions Media Press Inquiries National Ad Team International Ad Team Security Reporting","Introductory/Generic"
"3","Your privacy is important to us and we have prepared this Privacy Policy to explain to you how we collect, use, and share information we obtain through your use of the Internet sites, applications and services ('services"") that are operated by, controlled by or are affiliate with Vox Media, Inc., including without limitation SB Nation, The Verge, Polygon, Curbed, Eater, Racked, and Vox.com (collectively, ""we,"" ""us"" or ""our""). This Privacy Policy does not govern our use of any information you provide to us when you call us, write to us, or communicate with us in any manner other than through the Services. Because the Internet is global, information about you that we collect or that you submit may be transferred to, processed in, and held in countries (including the United States) other than the one in which you reside.","Introductory/Generic"
"28","If you have any questions about this Privacy Policy, please feel free to contact us by email at privacy@voxmedia.com.","Privacy contact information"
"0","Vox Media Privacy Policy","Introductory/Generic"
"1","Updated as of May 2014 Vox Media Policies Terms of Use Privacy Policy Privacy Policy: Advertising Addendum Security","Introductory/Generic"
"2","Contact Us Privacy Terms of Use Questions Media Press Inquiries National Ad Team International Ad Team Security Reporting","Introductory/Generic"
"3","Your privacy is important to us and we have prepared this Privacy Policy to explain to you how we collect, use, and share information we obtain through your use of the Internet sites, applications and services ('services"") that are operated by, controlled by or are affiliate with Vox Media, Inc., including without limitation SB Nation, The Verge, Polygon, Curbed, Eater, Racked, and Vox.com (collectively, ""we,"" ""us"" or ""our""). This Privacy Policy does not govern our use of any information you provide to us when you call us, write to us, or communicate with us in any manner other than through the Services. Because the Internet is global, information about you that we collect or that you submit may be transferred to, processed in, and held in countries (including the United States) other than the one in which you reside. By using the Services, you explicitly consent to such use of your information and agree to the terms of this Privacy Policy.","Introductory/Generic"
"22","we are not responsible for removing information about you from the database of any third party to whom we were authorized to disclose your User Information prior to processing your request.","Practice not covered"
"25","We are not responsible for the privacy practices of any such other website","Other"
"28","contact us by email at privacy@voxmedia.com.","Privacy contact information"
