"0","Full Privacy Policy Last updated: 14 January 2015","Introductory/Generic"
"1","This Privacy Policy describes the privacy practices of NBCUniversal Media LLC including our affiliate companies (""NBCUniversal"", ""we"", ""our"" or ""us""). You can find information about NBCUniversal, including our affiliates, here.","Practice not covered"
"1","This Privacy Policy describes the privacy practices of NBCUniversal Media LLC including our affiliate companies (""NBCUniversal"", ""we"", ""our"" or ""us""). You can find information about NBCUniversal, including our affiliates, here.","Introductory/Generic"
"2","This Privacy Policy explains how we collect, use, disclose and transfer the information you provide when you interact with us including (but not limited to) via our websites, downloadable applications, such as games, interactive TV and Mobile Apps (as defined below) that link to this policy (""online services""). This policy only applies to those online services that link to this policy. This policy also tells you how we use tracking technologies, cookies and browsing data we collect from your use of the online services, the measures we take to protect the security of the information you provide to us through the online services, and how you can contact us if you have any questions regarding the online services (including if you want to unsubscribe from our services or update your contact details).","Introductory/Generic"
"2","This Privacy Policy explains how we collect, use, disclose and transfer the information you provide when you interact with us including (but not limited to) via our websites, downloadable applications, such as games, interactive TV and Mobile Apps (as defined below) that link to this policy (""online services""). This policy only applies to those online services that link to this policy. This policy also tells you how we use tracking technologies, cookies and browsing data we collect from your use of the online services, the measures we take to protect the security of the information you provide to us through the online services, and how you can contact us if you have any questions regarding the online services (including if you want to unsubscribe from our services or update your contact details).","Introductory/Generic"
"3","1. SCOPE AND CONSENT 2. TYPES OF INFORMATION WE COLLECT 3. HOW WE COLLECT YOUR INFORMATION 4. HOW WE USE YOUR INFORMATION 5. HOW WE SHARE YOUR INFORMATION 6. CHILDREN 7. HOW WE PROTECT YOUR INFORMATION 8. YOUR RIGHTS AND CHOICES 9. WHERE YOUR INFORMATION WILL BE USED 10. COOKIES AND OTHER TECHNOLOGIES 11. MOBILE APPS 12. IMPORTANT INFORMATION 13. UPDATES TO OUR PRIVACY POLICY 14. CONTACT US","Introductory/Generic"
"4","1. SCOPE AND CONSENT When you use the online services, you are contracting with NBCUniversal. If you reside outside of the United States, NBCUniversal is your data controller. By using the online services, you expressly consent to our collection, use, disclosure, and retention of your personal information as described in this Privacy Policy.","Introductory/Generic"
"5","2. TYPES OF INFORMATION WE COLLECT Our goal is to collect and use information to deliver effective and personalized services which take your interests and preferences into account, as well as for our legitimate business needs and interests.","Introductory/Generic"
"7","There are six main categories of information we collect about users of our online services users that include (but are not limited to) the following:","Introductory/Generic"
"16","4. HOW WE USE YOUR INFORMATION We use information to:","Introductory/Generic"
"31","we may combine all the information we collect or receive about you for any of the foregoing purposes.","Practice not covered"
"31","we may combine all the information we collect or receive about you for any of the foregoing purposes.","Practice not covered"
"45","Usernames & Passwords <br> <br> It is important that you protect and maintain the security of any account and that you notify us immediately of any unauthorized use of any NBCUniversal account. Do not disclose your password to anyone else.","Introductory/Generic"
"50","Please contact privacy@nbcuni.com for more information about exercising these rights.","Privacy contact information"
"50","Please contact privacy@nbcuni.com for more information about exercising these rights.","Privacy contact information"
"56","see the Mobile Apps policy.","Practice not covered"
"59","Links to Other Websites: The online services may contain links to third-party websites for your convenience and / or information (for example, to sites which are provided by our third-party vendors). If you access other websites using the links provided, you may leave NBCUniversal's online services. When you access these other sites, even ones that may contain the NBCUniversal logo, please understand that the operators of these websites may collect information from you which will be used by them in accordance with their Privacy Policy and Terms of Use, which may differ from ours and we do not endorse or control the policies or practices of that website.","Practice not covered"
"59","Links to Other Websites: The online services may contain links to third-party websites for your convenience and / or information (for example, to sites which are provided by our third-party vendors). If you access other websites using the links provided, you may leave NBCUniversal's online services. When you access these other sites, even ones that may contain the NBCUniversal logo, please understand that the operators of these websites may collect information from you which will be used by them in accordance with their Privacy Policy and Terms of Use, which may differ from ours and we do not endorse or control the policies or practices of that website.","Introductory/Generic"
"60","You should always read the Privacy Policy of any website you access carefully in order to understand their specific privacy and information usage practices.","Introductory/Generic"
"62","You can determine when this Privacy Policy was last revised by referring to the ""Last Updated"" or similar legend at the top of this page. Any changes to this Privacy Policy will become effective upon posting of the revised Privacy Policy on the Internet, accessible through this site. By continuing to use this online service following such changes, you will be deemed to have agreed to such changes. If you do not agree with the terms of this Privacy Policy, as it may be amended from time to time, in whole or in part, please do not continue using our online services.","Introductory/Generic"
"63","14. CONTACT US For any queries in relation to this Privacy Policy please contact us at privacy@nbcuni.com or Chief Privacy Officer, NBCUniversal Compliance Department, 100 Universal City Plaza, 1280, Universal City, California, 91608-1002, US.","Privacy contact information"
"63","14. CONTACT US For any queries in relation to this Privacy Policy please contact us at privacy@nbcuni.com or Chief Privacy Officer, NBCUniversal Compliance Department, 100 Universal City Plaza, 1280, Universal City, California, 91608-1002, US.","Privacy contact information"
"64","For enquiries from outside of the US please contact us at privacy@nbcuni.com or Chief Privacy Officer, Central Saint Giles, St Giles High Street, London, WC2H 8NU, UK.","Privacy contact information"
"64","For enquiries from outside of the US please contact us at privacy@nbcuni.com or Chief Privacy Officer, Central Saint Giles, St Giles High Street, London, WC2H 8NU, UK.","Privacy contact information"
"1","This Privacy Policy describes the privacy practices of NBCUniversal Media LLC including our affiliate companies (""NBCUniversal"", ""we"", ""our"" or ""us""). You can find information about NBCUniversal, including our affiliates, here.","Introductory/Generic"
"2","This Privacy Policy explains how we collect, use, disclose and transfer the information you provide when you interact with us including (but not limited to) via our websites, downloadable applications, such as games, interactive TV and Mobile Apps (as defined below) that link to this policy (""online services""). This policy only applies to those online services that link to this policy. This policy also tells you how we use tracking technologies, cookies and browsing data we collect from your use of the online services, the measures we take to protect the security of the information you provide to us through the online services, and how you can contact us if you have any questions regarding the online services (including if you want to unsubscribe from our services or update your contact details).","Introductory/Generic"
"3","1. SCOPE AND CONSENT 2. TYPES OF INFORMATION WE COLLECT 3. HOW WE COLLECT YOUR INFORMATION 4. HOW WE USE YOUR INFORMATION 5. HOW WE SHARE YOUR INFORMATION 6. CHILDREN 7. HOW WE PROTECT YOUR INFORMATION 8. YOUR RIGHTS AND CHOICES 9. WHERE YOUR INFORMATION WILL BE USED 10. COOKIES AND OTHER TECHNOLOGIES 11. MOBILE APPS 12. IMPORTANT INFORMATION 13. UPDATES TO OUR PRIVACY POLICY 14. CONTACT US","Introductory/Generic"
"7","There are six main categories of information we collect about users of our online services users that include (but are not limited to) the following:","Introductory/Generic"
"10","Please use caution when posting to messages boards or other forums, as information posted to these portions of the online services is public information.","Other"
"16","4. HOW WE USE YOUR INFORMATION We use information to:","Introductory/Generic"
"32","for more information, or e-mail privacy@nbcuni.com","Privacy contact information"
"32","Note that you may be registered for different accounts with different NBCUniversal group companies or in different areas of our business.","Other"
"33","Information shared with trusted third parties:","Introductory/Generic"
"34","We take steps to ensure that third-party service providers will take appropriate steps to protect your personal information.","Practice not covered"
"35","Social Networks: You may interact with certain features of the online services that cause information to be published to your social networks. For example, you may click on a Facebook ""like"" button, which publishes to your Facebook account that you ""like"" one of our TV shows or movies. On pages of the online services that contain social network functionality, the social network providing the functionality may be able to collect information about you, even if you don't use that functionality. For example, if a page within the online services contains a Facebook ""like"" button, Facebook may be able to collect data about your visit to that page, even if you don't click on the ""like"" button. To control this sharing of information, please review the privacy policy of the relevant social network and/or log out of it before you use the online services.","Other"
"38","These third parties may view, edit or set their own tracking technologies/cookies. The use of these technologies by these third parties is subject to their own privacy policies and is not covered by this Privacy Policy. They might also obtain information about other applications that you have downloaded to your mobile device, the mobile websites you visit and other information about you or your device in order to analyze and serve anonymous targeted advertising on the online services and elsewhere.","Other"
"44","Unfortunately, no transmission of data is guaranteed to be completely secure. It may be possible for third parties not under our control to intercept or access transmissions or private communications unlawfully. Therefore, any transmission of personal information to us is made at your own risk. If you believe that your interaction with us is no longer secure, please notify us using the contact details below.","Other"
"45","It is important that you protect and maintain the security of any account and that you notify us immediately of any unauthorized use of any NBCUniversal account. Do not disclose your password to anyone else.","Other"
"47","For additional information about your choices in relation to Mobile Apps including information on how to opt out of targeted advertising see the Mobile Apps policy.","Introductory/Generic"
"50","Some access requests may be subject to a small fee. To help your privacy and security, we will take reasonable steps to verify your identity, such as requiring a password and user ID, and possibly photo ID before granting access to your personal information.","Practice not covered"
"50","Please contact privacy@nbcuni.com for more information about exercising these rights.","Privacy contact information"
"52","NBCUniversal is based in the United States and may from time to time transfer your personal information to other countries and make it accessible to any of our affiliates and third-party service providers internationally. Where the transfer of information is to a country which does not provide an adequate level of information protection, NBCUniversal has taken steps to ensure that your personal information receives an appropriate level of protection.","Practice not covered"
"54","By using our online services and providing your personal information to us you understand and agree that your personal information may be sent to other countries including those which do not provide an equivalent level of information protection as the European Economic Area (EEA).","Practice not covered"
"55","For more information about the use of Cookies and Other Technology on our online services (including your opt-out choices) please see the Cookies and Tracking Technologies policy.","Introductory/Generic"
"56","For more information about our information collection and use practices with respect to online services that are mobile applications (""Mobile Apps"") see the Mobile Apps policy.","Introductory/Generic"
"59","The online services may contain links to third-party websites for your convenience and / or information (for example, to sites which are provided by our third-party vendors). If you access other websites using the links provided, you may leave NBCUniversal's online services. When you access these other sites, even ones that may contain the NBCUniversal logo, please understand that the operators of these websites may collect information from you which will be used by them in accordance with their Privacy Policy and Terms of Use, which may differ from ours and we do not endorse or control the policies or practices of that website.","Practice not covered"
"60","You should always read the Privacy Policy of any website you access carefully in order to understand their specific privacy and information usage practices.","Other"
"63","14. CONTACT US For any queries in relation to this Privacy Policy please contact us at privacy@nbcuni.com or Chief Privacy Officer, NBCUniversal Compliance Department, 100 Universal City Plaza, 1280, Universal City, California, 91608-1002, US.","Privacy contact information"
"64","For enquiries from outside of the US please contact us at privacy@nbcuni.com or Chief Privacy Officer, Central Saint Giles, St Giles High Street, London, WC2H 8NU, UK.","Privacy contact information"
