"0","Privacy Policy Minnesota Vikings Website Privacy Policy","Introductory/Generic"
"1","Posted: October 17, 2013","Introductory/Generic"
"2","This privacy policy applies to the Minnesota Vikings' website located at www.vikings.com and www.minnesotavikings.com (the ""Website""). The purpose of this privacy policy is to disclose to you what information we may collect, how we may collect it, with whom we may share it, and certain other matters related to such information, including the choices you have regarding our collection of information and our use and disclosure to other parties of information we may have collected from you.","Introductory/Generic"
"2","This privacy policy applies to the Minnesota Vikings' website located at www.vikings.com and www.minnesotavikings.com (the ""Website""). The purpose of this privacy policy is to disclose to you what information we may collect, how we may collect it, with whom we may share it, and certain other matters related to such information, including the choices you have regarding our collection of information and our use and disclosure to other parties of information we may have collected from you.","Introductory/Generic"
"3","The Website is operated by the Minnesota Vikings Football, LLC.","Introductory/Generic"
"4","If you have questions or complaints regarding our privacy policy or practices, please contact us here. If you are not satisfied with our response you can contact TRUSTe here.","Privacy contact information"
"5","When this privacy policy uses the term ""personally identifiable information"" or ""personal information,"" we mean information that identifies a particular individual, such as your full name, street address or email address. When other information, such as a favorite team or player, is associated with personal information, it also becomes personally identifiable information for the purposes of this privacy policy.","Introductory/Generic"
"6","Please read the information below to learn more about our data collection policies and practices. 1. Types Of Information That May Be Collected 2. How Information May Be Collected 3. How We Use The Information Collected 4. With Whom The Information May Be Shared 5. Security 6. Links To Other Websites 7. A Special Note For Parents Concerning Privacy 8. Notification Of Changes And Your Acceptance Of The Privacy Policy 9. Correcting/Updating Personal Information 10. Your California Privacy Rights 11. Questions About This Privacy Policy","Introductory/Generic"
"10","Email Communications: When you open emails from us, we may receive a confirmation noting you opened the email, if your computer supports such capabilities. We also may keep track of what emails we send you and what emails you may be receiving from our subsidiaries and affiliates. Additionally, we keep a record of what communications you have opted to receive or not to receive","Practice not covered"
"14","Your friend may contact us at website@vikings.nfl.com, admin@vikingscontests.com, admin@vikingsnewsletter.com to request that we remove this information from our database.","Privacy contact information"
"19","Third Party Cookies The use of cookies by our [partners, affiliates, tracking utility company, service providers] is/is not covered by our privacy statement. We do/do not have access or control over these cookies. Our [partners, affiliates, tracking utility company, service providers] use session ID cookies [to make it easier for you to navigate our site, in order for you to use the shopping cart, etc.]","Introductory/Generic"
"20","Web beacons Our Web pages contain electronic images known as Web beacons (sometimes called single-pixel gifs) and are used along with cookies to compile aggregated statistics to analyze how our site is used and may be used in some of our emails to let us know which emails and links have been opened by recipients. This allows us to gauge the effectiveness of our customer communications and marketing campaigns.","Introductory/Generic"
"26","Here are three urls of third parties that display the team site's branding/frame. Any information provided is directly collected by the third party even though the pages have the look at feel of the team site. The respective third parties' privacy policy shall apply to these areas. https://www.vikingsnewsletter.com/Register.jsp http://vikingmerchandise.com/vikings/customer/home.php https://oss.ticketmaster.com/html/home.htmI?team=vikingsl=ENSTAGE=1","Introductory/Generic"
"31","Links to other websites You should be aware that when you are on the Website you could be directed to other Websites beyond our control. For example, if you ""click"" on a banner advertisement, the ""click"" may take you off the Website onto a different Website. This includes links from advertisers, sponsors and marketing partners that may use the Website's logo as part of a co-branding agreement. These other Websites may send their own cookies to you, independently collect data or solicit personal information and may or may not have their own published privacy policies. If you visit a Website that is linked to our Website, you should consult that Website's privacy policy before providing any personal information.","Practice not covered"
"31","Links to other websites You should be aware that when you are on the Website you could be directed to other Websites beyond our control. For example, if you ""click"" on a banner advertisement, the ""click"" may take you off the Website onto a different Website. This includes links from advertisers, sponsors and marketing partners that may use the Website's logo as part of a co-branding agreement. These other Websites may send their own cookies to you, independently collect data or solicit personal information and may or may not have their own published privacy policies. If you visit a Website that is linked to our Website, you should consult that Website's privacy policy before providing any personal information.","Introductory/Generic"
"37","If you wish to cancel your account or request that we no longer use your information to provide you services contact us at [email address]. We will retain and use your information as necessary to comply with our legal oblig","Privacy contact information"
"39","Because this website has a comprehensive privacy policy and provides you with details on how you may opt-in / opt-out of the use of your personal information by third parties for direct marketing purposes, we are not required to provide you with this information.","Practice not covered"
"40","Questions about this privacy policy If you have any questions about this privacy policy or the privacy practices of this Website, contact the Minnesota Vikings at website@vikings.nfl.com. Questions regarding this statement should be directed to: Attn: Website Privacy Policy Minnesota Vikings 9520 Viking Drive Eden Prairie MN 55344","Privacy contact information"
"40","Questions about this privacy policy If you have any questions about this privacy policy or the privacy practices of this Website, contact the Minnesota Vikings at website@vikings.nfl.com. Questions regarding this statement should be directed to: Attn: Website Privacy Policy Minnesota Vikings 9520 Viking Drive Eden Prairie MN 55344","Privacy contact information"
"0","Minnesota Vikings Website Privacy Policy","Introductory/Generic"
"1","Posted: October 17, 2013","Other"
"2","This privacy policy applies to the Minnesota Vikings' website located at www.vikings.com and www.minnesotavikings.com (the ""Website""). The purpose of this privacy policy is to disclose to you what information we may collect, how we may collect it, with whom we may share it, and certain other matters related to such information, including the choices you have regarding our collection of information and our use and disclosure to other parties of information we may have collected from you.","Introductory/Generic"
"3","The Website is operated by the Minnesota Vikings Football, LLC.","Introductory/Generic"
"4","The Minnesota Vikings has been awarded TRUSTe's Privacy Seal signifying that this privacy policy and practices have been reviewed by TRUSTe for compliance with TRUSTe's program requirements including transparency, accountability and choice regarding the collection and use of your personal information. The TRUSTe program covers information collected through this Web site, www.vikings.com and www.minnesotavikings.com and does not cover information that may be collected through our mobile applications. TRUSTe's mission, as an independent third party, is to accelerate online trust among consumers and organizations globally through its leading privacy trustmark and innovative trust solutions.","Introductory/Generic"
"4","If you have questions or complaints regarding our privacy policy or practices, please contact us here. If you are not satisfied with our response you can contact TRUSTe here.","Privacy contact information"
"5","When this privacy policy uses the term ""personally identifiable information"" or ""personal information,"" we mean information that identifies a particular individual, such as your full name, street address or email address. When other information, such as a favorite team or player, is associated with personal information, it also becomes personally identifiable information for the purposes of this privacy policy.","Introductory/Generic"
