"0","IFSA-Butler is committed to respecting your privacy and protecting the information we receive from you. This policy is intended to outline the information we collect from users who visit and submit applications to our website and how we use and disclose that information.","Introductory/Generic"
"0","Privacy Policy IFSA-Butler is committed to respecting your privacy and protecting the information we receive from you. This policy is intended to outline the information we collect from users who visit and submit applications to our website and how we use and disclose that information.","Introductory/Generic"
"0","Privacy Policy IFSA-Butler is committed to respecting your privacy and protecting the information we receive from you. This policy is intended to outline the information we collect from users who visit and submit applications to our website and how we use and disclose that information.","Introductory/Generic"
"4","By using our website, you agree to the transfer of information to countries outside the United States that have institution and service providers associated with our overseas programs.","Practice not covered"
"5","Use of Cookies IFSA-Butler uses Cookies for the purpose of maintaining your session when you provide information to IFSA-Butler through web forms and our application system. Cookies are small pieces of information transferred from our website to your web browser to streamline your experience on our website and allow web servers to recognize the computer used to access the website.","Introductory/Generic"
"5","Cookies are small pieces of information transferred from our website to your web browser to streamline your experience on our website and allow web servers to recognize the computer used to access the website.","Introductory/Generic"
"7","Links to Other Websites The IFSA-Butler website contains links to other websites that may or may not be affiliated with the Institute for Study Abroad, Butler University. IFSA-Butler is not responsible for the content or privacy practices on these websites, nor does the posting of a link constitute an endorsement by IFSA-Butler of said website.","Introductory/Generic"
"7","Links to Other Websites The IFSA-Butler website contains links to other websites that may or may not be affiliated with the Institute for Study Abroad, Butler University. IFSA-Butler is not responsible for the content or privacy practices on these websites, nor does the posting of a link constitute an endorsement by IFSA-Butler of said website.","Practice not covered"
"7","Links to Other Websites The IFSA-Butler website contains links to other websites that may or may not be affiliated with the Institute for Study Abroad, Butler University. IFSA-Butler is not responsible for the content or privacy practices on these websites, nor does the posting of a link constitute an endorsement by IFSA-Butler of said website.","Other"
"8","can be updated or modified at any time by calling (800) 858-0229 or emailing studyabroad@ifsa-butler.org.","Privacy contact information"
"8","(800) 858-0229 or emailing studyabroad@ifsa-butler.org.","Privacy contact information"
"9","If you wish to no longer receive all communications from IFSA-Butler, you may opt out by contacting us at (800) 858-0229 or by mail at: 1100 W. 42nd Street, Suite 305 Indianapolis, IN 46208-3345","Privacy contact information"
"9","1100 W. 42nd Street, Suite 305 Indianapolis, IN 46208-3345","Privacy contact information"
"12","All textual, graphic and other content appearing on this website are the property of the Institute for Study Abroad, Butler University (IFSA-Butler). Copyright 2004-2010. Institute for Study Abroad, 1100 W. 42nd St., Suite 305, Indianapolis, Indiana 46208 USA. All Rights Reserved.","Practice not covered"
"12","All textual, graphic and other content appearing on this website are the property of the Institute for Study Abroad, Butler University (IFSA-Butler). Copyright 2004-2010. Institute for Study Abroad, 1100 W. 42nd St., Suite 305, Indianapolis, Indiana 46208 USA. All Rights Reserved.","Practice not covered"
"12","All textual, graphic and other content appearing on this website are the property of the Institute for Study Abroad, Butler University (IFSA-Butler). Copyright 2004-2010. Institute for Study Abroad, 1100 W. 42nd St., Suite 305, Indianapolis, Indiana 46208 USA. All Rights Reserved.","Other"
