"0","PRIVACY POLICY Copyright 2008 Abita and ABITA.COM, LLC TM. All Right Reserved.","Introductory/Generic"
"1","Abita is committed to protecting your privacy.","Introductory/Generic"
"5","Please be aware that this privacy statement and any choices you make on the site will not necessarily apply to personal information you may have provided to Abita in the context of other, separately operated, Abita products or services.","Other"
"12","How to Contact Us If you have any questions or concerns about the ABITA.COM online privacy policy or its implementation you may contact us at: ABITA.COM Customer Care, Attn: Privacy Policy Issues, PO Box 1510, Abita Springs, LA 70420; or online at friends@ABITA.COM","Privacy contact information"
"0","PRIVACY POLICY </strong> <br> <br> Copyright 2008 Abita and ABITA.COM, LLC TM. All Right Reserved.","Other"
"5","Please be aware that this privacy statement and any choices you make on the site will not necessarily apply to personal information you may have provided to Abita in the context of other, separately operated, Abita products or services.","Practice not covered"
"12","How to Contact Us If you have any questions or concerns about the ABITA.COM online privacy policy or its implementation you may contact us at: ABITA.COM Customer Care, Attn: Privacy Policy Issues, PO Box 1510, Abita Springs, LA 70420; or online at friends@ABITA.COM","Privacy contact information"
"13","You may also send an e-mail or letter to the above e-mail or street address requesting access to or correction of your personally identifiable information. For verification purposes please include your first name, last name, e-mail address and the password you use for said ABITA.COM service.","Privacy contact information"
"0","Copyright 2008 Abita and ABITA.COM, LLC TM. All Right Reserved.","Introductory/Generic"
"1","Abita is committed to protecting your privacy. By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.","Introductory/Generic"
"4","Except as otherwise described in this statement,","Other"
"5","Please be aware that this privacy statement and any choices you make on the site will not necessarily apply to personal information you may have provided to Abita in the context of other, separately operated, Abita products or services.","Other"
"6","ABITA.COM may send out periodic e-mails informing you of issues related to a product or service you requested, or confirming you requested a product or service such as invoices and confirmations. In some services offered by ABITA.COM, contact with the customer is a necessary part of the service.","Practice not covered"
"9","It is against our Terms of Use for anyone under 21 to submit data to our site.","Practice not covered"
"12","If you have any questions or concerns about the ABITA.COM online privacy policy or its implementation you may contact us at: ABITA.COM Customer Care, Attn: Privacy Policy Issues, PO Box 1510, Abita Springs, LA 70420; or online at friends@ABITA.COM","Privacy contact information"
"13","You may also send an e-mail or letter to the above e-mail or street address requesting access to or correction of your personally identifiable information. For verification purposes please include your first name, last name, e-mail address and the password you use for said ABITA.COM service.","Privacy contact information"
