"0","Your Privacy","Introductory/Generic"
"0","Your Privacy","Introductory/Generic"
"0","Your Privacy","Introductory/Generic"
"1","Caribou Coffee Privacy Statement June 3, 2003","Introductory/Generic"
"1","Caribou Coffee Privacy Statement June 3, 2003","Introductory/Generic"
"1","Caribou Coffee Privacy Statement June 3, 2003","Other"
"2","Caribou Coffee Company, Inc. (""Caribou Coffee"") knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully. Therefore, this online Privacy Statement tells you about the information Caribou Coffee collects through the services available on www.cariboucoffee.com (the ""Site""), and how we use that information.","Introductory/Generic"
"2","Caribou Coffee Company, Inc. (""Caribou Coffee"") knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully. Therefore, this online Privacy Statement tells you about the information Caribou Coffee collects through the services available on www.cariboucoffee.com (the ""Site""), and how we use that information.","Introductory/Generic"
"4","All changes will become effective when posted, and by continuing to use the Site following the posting of any changes, you agree to be bound by such modified Privacy Statement.","Introductory/Generic"
"5","The Information We Collect and How We Use It When you visit and use the Site, we gather certain information to help us better serve you. The information that we receive and collect depends on what you do when you visit the Site.","Introductory/Generic"
"5","The Information We Collect and How We Use It When you visit and use the Site, we gather certain information to help us better serve you. The information that we receive and collect depends on what you do when you visit the Site.","Introductory/Generic"
"6","Information about our customers is an important part of our business, and we are not in the business of selling it to others.","Introductory/Generic"
"8","These third parties do not have the right to use the personally identifiable information beyond what is necessary to assist us. They are contractually obligated to maintain the confidentiality and security of such information, and are prohibited from using such information in any way not expressly authorized by Caribou Coffee.","Practice not covered"
"17","We use cookies to enhance the browsing and shopping experience on the Site. ""Cookies"" are small files or records that we place on your computer's hard drive to collect information about your activities on the Site. The information captured makes it possible for us to speed navigation, keep track of items in your shopping cart and provide you with custom tailored content.","Introductory/Generic"
"17","""Cookies"" are small files or records that we place on your computer's hard drive to collect information about your activities on the Site.","Introductory/Generic"
"19","These files enable DoubleClick to recognize a unique cookie on your Web browser, which in turn enables us to learn which advertisements bring users to our website. The cookie was placed by us, or by another advertiser who works with DoubleClick.","Introductory/Generic"
"22","We also require our credit card transaction processor to use adequate security and encryption technology to ensure the safety and security of your personally identifiable information.","Practice not covered"
"23","When registering your Caribou Gift Card, you may, sign up for a free eNewsletter, which contains product update information and a birthday greetings email on your birthday from Caribou Coffee. If you do not sign up for the product update or birthday greeting emails you will not receive them.","Other"
"24","Upon placing an order on www.cariboucoffee.com you will receive an email confirmation notifying you that we have received your order.","Practice not covered"
"27","Questions and Feedback If you have any questions about our privacy statement or our use of your information please email us. The content of any comments, suggestions, questions, information and feedback received by Caribou Coffee shall be deemed to be non-confidential.","Privacy contact information"
"27","Questions and Feedback If you have any questions about our privacy statement or our use of your information please email us.","Privacy contact information"
"27","The content of any comments, suggestions, questions, information and feedback received by Caribou Coffee shall be deemed to be non-confidential.","Practice not covered"
"27","If you have any questions about our privacy statement or our use of your information please email us.","Privacy contact information"
"27","The content of any comments, suggestions, questions, information and feedback received by Caribou Coffee shall be deemed to be non-confidential.","Other"
"29","Links The Site may include links to other sites on the Internet that are owned and operated by vendors and other third parties (the ""External Sites""). Caribou Coffee is not responsible for the availability of, or the content, products, services, information or materials located on or available through, any External Site.","Introductory/Generic"
"29","Links The Site may include links to other sites on the Internet that are owned and operated by vendors and other third parties (the ""External Sites""). Caribou Coffee is not responsible for the availability of, or the content, products, services, information or materials located on or available through, any External Site.","Practice not covered"
"29","The Site may include links to other sites on the Internet that are owned and operated by vendors and other third parties (the ""External Sites""). Caribou Coffee is not responsible for the availability of, or the content, products, services, information or materials located on or available through, any External Site.","Other"
"30","You should contact the site administrator or Webmaster for those External Sites if you have any concerns regarding any matter related to or available from such External Sites, including without limitation, the privacy practices of such sites.","Introductory/Generic"
"30","You should contact the site administrator or Webmaster for those External Sites if you have any concerns regarding any matter related to or available from such External Sites, including without limitation, the privacy practices of such sites.","Privacy contact information"
"30","You should contact the site administrator or Webmaster for those External Sites if you have any concerns regarding any matter related to or available from such External Sites, including without limitation, the privacy practices of such sites.","Privacy contact information"
"32","As the term suggests, ""customer identifiable information"" is information which can be associated with a specific individual or entity, including, for example, a customer's name, address, or telephone number or any preferences.","Introductory/Generic"
"32","As the term suggests, ""customer identifiable information"" is information which can be associated with a specific individual or entity, including, for example, a customer's name, address, or telephone number or any preferences.","Introductory/Generic"
