"0","Privacy Policy Last revised on December 31, 2014","Introductory/Generic"
"1","1. Purpose and Scope of this Privacy Policy. This privacy policy describes how Hearst Communications, Inc.and its Affiliates (collectively, ""Hearst"") treat the Personally Identifiable Information that is collected about you when you visit the web sites, mobile-optimized versions of the web sites, and digital applications to which this policy is linked (collectively, ""Covered Sites""). For the purposes of this policy, an entity controlling, controlled by, or under common control with another entity shall be deemed to be an ""Affiliate"", where control means ownership of 15% or more of the voting stock or other ownership interests.","Introductory/Generic"
"2","b. This privacy policy does not apply to information collected about you by anyone except Hearst and only applies to the Covered Sites(defined above). This privacy policy does not apply to Hearst websites which are not linked to this policy and does not apply to non-Hearst websites, including those linked to or advertised on a Covered Site. Any information you provide when you visit websites other than those covered by this policy will be subject to the privacy policies posted on those sites.","Introductory/Generic"
"2","This privacy policy does not apply to information collected about you by anyone except Hearst and only applies to the Covered Sites(defined above). This privacy policy does not apply to Hearst websites which are not linked to this policy and does not apply to non-Hearst websites, including those linked to or advertised on a Covered Site. Any information you provide when you visit websites other than those covered by this policy will be subject to the privacy policies posted on those sites.","Practice not covered"
"3","c. We may offer our Magazines through certain third party websites via a subscription page on such third party websites that is linked to this policy. For the avoidance of doubt, such subscription page is a ""Covered Site"" and this policy applies to information collected through the subscription page, but does not apply to information collected through the third party website.","Introductory/Generic"
"3","We may offer our Magazines through certain third party websites via a subscription page on such third party websites that is linked to this policy. For the avoidance of doubt, such subscription page is a ""Covered Site"" and this policy applies to information collected through the subscription page, but does not apply to information collected through the third party website.","Practice not covered"
"5","e. Certain features of the Covered Sites may be subject to additional or different privacy provisions, which will be posted on the CoveredSite in connection with such features. All such additional or different privacy provisions are incorporated by reference into this privacy policy.","Introductory/Generic"
"5","e. Certain features of the Covered Sites may be subject to additional or different privacy provisions, which will be posted on the CoveredSite in connection with such features. All such additional or different privacy provisions are incorporated by reference into this privacy policy.","Practice not covered"
"17","b. We may combine and use any and all information we collect on you either online or otherwise, including from third parties, for marketing purposes.","Practice not covered"
"18","c. When you provide us your email address(e.g., to subscribe to our Magazines) but are not already a registered user of one of our Covered Sites, some of our Covered Sites may assign you a user name and password so that we can enhance your user experience by facilitating easy entry into other features and offers on the Covered Sites and saving your preferences. Certain areas on our Covered Sites require registration, and in those areas, you will be asked to establish your own user name and password or you can elect to use the one we've assigned. Your user name and password (""User Registration"") will function across many of our Covered Sites, regardless of brand. Your User Registration will also be recognized at some of our Affiliate sites and sites which we partner with so that you may easily access features on those sites using your User Registration (""Shared Registration Sites""); however the information we provide and your actions on those Shared Registration Sites will be governed by the separate privacy policies of those Shared Registration Sites. A list of those Shared Registration Sites is set forth below, and may be updated from time to time. Current SharedRegistration Sites are: The National Magazine Company Limited.","Other"
"19","If you provide us with personal anecdotes,they may be attributed to you. Hearst can edit, rewrite, use, and reuse the content, including your name, likeness,photograph, and biographical information you provide, with or without attribution, including publication in the Magazines, and in trade media, and advertising.","Other"
"20","e. We may create Anonymous Information from PersonallyIdentifiable Information by excluding information (such as your name) that make the data personally identifiable to you. We use this Anonymous Information for any purpose and disclose Anonymous Information to third parties in our sole discretion.","Practice not covered"
"21","4. Disclosure of Your Information a. In addition to the other disclosures described in this policy, Hearst may (and you authorize us to) share or disclose Personally Identifiable Information about you to other companies or individuals in the following situations:","Introductory/Generic"
"40","e. Exceptions. If you have opted-out as described above, and thereafter you elect to use a service or promotion that requires us to contact you or share your information with a third party (e.g.,you enter into a contest or sweepstakes or use an ecommerce service after opting-out), then your previous opt-out preferences will not apply to such service. Despite your indicated preferences, we may send you service related communications, including notices about your subscription, and we may continue disclosing your information to third parties under the Service Provider Exception, Legal Exceptions, and Acquisition Exception described above.","Other"
"40","e. Exceptions. If you have opted-out as described above, and thereafter you elect to use a service or promotion that requires us to contact you or share your information with a third party (e.g.,you enter into a contest or sweepstakes or use an ecommerce service after opting-out), then your previous opt-out preferences will not apply to such service. Despite your indicated preferences, we may send you service related communications, including notices about your subscription, and we may continue disclosing your information to third parties under the Service Provider Exception, Legal Exceptions, and Acquisition Exception described above.","Practice not covered"
"0","Privacy Policy Last revised on December 31, 2014","Introductory/Generic"
"1","This privacy policy describes how Hearst Communications, Inc.and its Affiliates (collectively, ""Hearst"") treat the Personally Identifiable Information that is collected about you when you visit the web sites, mobile-optimized versions of the web sites, and digital applications to which this policy is linked (collectively, ""Covered Sites""). For the purposes of this policy, an entity controlling, controlled by, or under common control with another entity shall be deemed to be an ""Affiliate"", where control means ownership of 15% or more of the voting stock or other ownership interests. For the purposes of this policy, ""PersonallyIdentifiable Information"" is information that we can use to identify or contact you as an individual, and includes your name, email address, address,telephone number and any other information that we associate with any of the foregoing. By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use and disclosure of your Personally Identifiable Information in accordance with this privacy policy.","Introductory/Generic"
"2","This privacy policy does not apply to information collected about you by anyone except Hearst and only applies to the Covered Sites(defined above). This privacy policy does not apply to Hearst websites which are not linked to this policy and does not apply to non-Hearst websites, including those linked to or advertised on a Covered Site. Any information you provide when you visit websites other than those covered by this policy will be subject to the privacy policies posted on those sites.","Introductory/Generic"
"3","We may offer our Magazines through certain third party websites via a subscription page on such third party websites that is linked to this policy. For the avoidance of doubt, such subscription page is a ""Covered Site"" and this policy applies to information collected through the subscription page, but does not apply to information collected through the third party website.","Practice not covered"
"4","Except as specified herein, this policy also does not apply to information you may provide to us offline;","Introductory/Generic"
"5","Certain features of the Covered Sites may be subject to additional or different privacy provisions, which will be posted on the CoveredSite in connection with such features. All such additional or different privacy provisions are incorporated by reference into this privacy policy.","Introductory/Generic"
"8","We do not have control over how these third parties use such cookies and similar technologies or the information derived therefrom.","Introductory/Generic"
"9","Flash cookies may regenerate HTTP cookies that you have affirmatively deleted. Deleting, rejecting, disabling or turning offHTTP cookies as described above will not remove flash cookies.","Practice not covered"
"13","Those third parties have privacy policies that differ from this Privacy Policy.","Introductory/Generic"
"14","For more information click here","Other"
"18","Your User Registration will also be recognized at some of our Affiliate sites and sites which we partner with so that you may easily access features on those sites using your User Registration (""Shared Registration Sites""); however the information we provide and your actions on those Shared Registration Sites will be governed by the separate privacy policies of those Shared Registration Sites. A list of those Shared Registration Sites is set forth below, and may be updated from time to time. Current SharedRegistration Sites are: The National Magazine Company Limited.","Practice not covered"
"19","If you provide us with personal anecdotes,they may be attributed to you. Hearst can edit, rewrite, use, and reuse the content, including your name, likeness,photograph, and biographical information you provide, with or without attribution, including publication in the Magazines, and in trade media, and advertising.","Practice not covered"
"23","The privacy policies of such third party companies apply to their use and disclosure of your information that we collect and disclose to such third party companies.","Introductory/Generic"
"31","The SNS Terms of these SNS will apply to the information we disclose to them.","Introductory/Generic"
"32","We will notify you at the applicable point of sign up if any such co-branded registration or password practices will be in effect. These third parties will use your information in accordance with their own privacy policy.","Practice not covered"
"34","We require these companies to delete the Personally IdentifiableInformation we provide them.","Practice not covered"
"35","Current Paid Video Subscription Services are: Cosmobody - service@cosmobody.com","Privacy contact information"
"36","For the avoidance of doubt, these opt-out options are available for all users and are not limited to Californian and Canadian users.","Other"
"36","In addition to reviewing Sections 4(d) and5(d), if you wish to find out about any rights you may have under California Civil Code section 1798.83, you may notify us in writing at Mail Preference Service,P.O. Box 6000, Harlan, Iowa 51593 or contacting us at customercare@hearstmags.com.","Privacy contact information"
"38","https://preferences.hearstmags.com/Hearst/Login.aspx","Other"
"38","Mail PreferenceService, P.O. Box 6000, Harlan, Iowa 51593 or contacting us at customercare@hearstmags.com.","Privacy contact information"
