"0","Privacy","Introductory/Generic"
"1","Your privacy is important to us. To better protect your privacy we provide this notice explaining our online information practices and the choices you can make about the way your information is collected and used. To make this notice easy to find, we make it available on our homepage and at every point where personally identifiable information may be requested.","Introductory/Generic"
"1","Your Privacy Your privacy is important to us. To better protect your privacy we provide this notice explaining our online information practices and the choices you can make about the way your information is collected and used. To make this notice easy to find, we make it available on our homepage and at every point where personally identifiable information may be requested.","Introductory/Generic"
"6","Links to third party Websites We have included links on this site for your use and reference. We are not responsible for the privacy policies on these websites. You should be aware that the privacy policies of these sites may differ from our own.","Introductory/Generic"
"6","Links to third party Websites We have included links on this site for your use and reference. We are not responsible for the privacy policies on these websites. You should be aware that the privacy policies of these sites may differ from our own.","Introductory/Generic"
"8","If you have any questions regarding the privacy policy of RestaurantNews.com then you may contact us at troy@restaurantnews.com","Privacy contact information"
"8","If you have any questions regarding the privacy policy of RestaurantNews.com then you may contact us at troy@restaurantnews.com","Privacy contact information"
"9","Last updated Sat, 31 Jul 2010 06:31","Practice not covered"
"9","Last updated Sat, 31 Jul 2010 06:31","Introductory/Generic"
"0","Privacy","Introductory/Generic"
"1","Your privacy is important to us. To better protect your privacy we provide this notice explaining our online information practices and the choices you can make about the way your information is collected and used. To make this notice easy to find, we make it available on our homepage and at every point where personally identifiable information may be requested.","Introductory/Generic"
"3","Tracking of users through the DART cookie mechanisms are subject to Google's own privacy policies.","Practice not covered"
"4","RestaurantNews.com has no access or control over these cookies that may be used by third party advertisers.","Practice not covered"
"6","We have included links on this site for your use and reference. We are not responsible for the privacy policies on these websites. You should be aware that the privacy policies of these sites may differ from our own.","Practice not covered"
"8","If you have any questions regarding the privacy policy of RestaurantNews.com then you may contact us at troy@restaurantnews.com","Privacy contact information"
"9","Last updated Sat, 31 Jul 2010 06:31","Other"
