"0","Privacy Policy - Effective January 14, 2015","Introductory/Generic"
"1","Read our updated privacy policy carefully: We've summarized our privacy policy terms so you can find what you need quickly. We've designed one privacy policy to apply across many Meredith brands and online and mobile services. We've amended our privacy policy to update you about the types of information we collect. We've added more description about the ways we use and share the information collected from our users, within Meredith brands and with third-party service providers that help us operate our business. We have updated our description of the various choices you have to limit the use of your information.","Introductory/Generic"
"2","Please read this summary and our updated privacy policy carefully so you understand what types of information Meredith collects about you, how we use and share that information and your related choices.","Other"
"3","Or, if you are a California resident and prefer that we send you a separate response, please email your request to privacy@meredith.com","Privacy contact information"
"9","Meredith is committed to working with you to obtain a fair resolution of any privacy concern.","Introductory/Generic"
"9","If you have any questions, please email us at privacy@meredith.com.","Privacy contact information"
"10","Meredith Online Privacy Policy Effective Date: January 14, 2015 Online Privacy Policy Offline Privacy Policy Visitor Agreement","Introductory/Generic"
"11","Online Privacy Policy Welcome! This Online Privacy Policy applies to your use of websites, interactive services, email programs and mobile device applications provided by Meredith Corporation or our affiliates (collectively, ""Meredith,"" ""we"" or ""us"") that include an authorized link or reference to this policy (collectively, the ""Services""). This Online Privacy Policy applies only to the information we collect through the Services. Please click here to see our separate Offline Privacy Policy.","Introductory/Generic"
"12","By using any of our Services, you agree that this Online Privacy Policy and our Visitor Agreement govern your use of our Services and any dispute concerning the Services. Please take a few minutes to read them before using or registering to access our Services.","Introductory/Generic"
"13","This Policy describes our privacy practices regarding: Children under 13 Information Collected Through Our Services Information We May Obtain from Other Sources How We Use the Information We Collect How We Disclose Information and Your Related Opt-Out Choices Sites to Which We Link How to Correct or Update Your Information Security, Retention and Storage of Information Changes to Our Online Privacy Policy","Introductory/Generic"
"14","please contact us at privacy@meredith.com","Privacy contact information"
"17","Please note that if you use any ""send-to-a-friend"" features of our Services, your email address may be included in the communication sent to your friend.","Practice not covered"
"30","Please be aware that certain browsers cannot block or delete so-called ""Flash"" cookies, which use a feature of the Adobe Flash video player to store information on your computer. For information about how to delete Flash cookies, please visit the Adobe website here.","Other"
"31","Web Beacons and Other Tracking Technologies. Web beacons (sometimes called ""transparent GIFs,"" ""clear GIFs,"" or ""pixel tags"") are small strings of code that embed a small graphic image (usually invisible) on a web page or in an email or advertisement. When your browser downloads a web beacon, the server that sends the corresponding image to your browser can recognize and store certain types of information such as cookies previously set, the time and date that you viewed the page embedded with the beacon and a description of that page.","Introductory/Generic"
"51","The following describes some of the circumstances in which we may share information about our users:","Introductory/Generic"
"61","Meredith follows the Self-Regulatory Principles for Online Behavioral advertising released by the Digital Advertising Alliance (""DAA"") in July 2009","Practice not covered"
"61","Note that you must opt-out separately from each computer or device and browser that you use to access our Services and if you clear your cookies, you will need to repeat the opt-out process.","Other"
"62","For information about Google Analytics' information practices and related opt-out choices, click here.","Other"
"62","For information about Google Analytics' information practices and related opt-out choices, click here.","Other"
"65","Sites to Which We Link: We also may provide links to other websites or services, and provide access to products and services offered by third parties, whose privacy policies we don't control.","Practice not covered"
"66","If you cannot locate such a feature, send us an email at privacy@meredith.com.","Privacy contact information"
"0","Privacy Policy - Effective January 14, 2015","Introductory/Generic"
"1","Read our updated privacy policy carefully: We've summarized our privacy policy terms so you can find what you need quickly. We've designed one privacy policy to apply across many Meredith brands and online and mobile services. We've amended our privacy policy to update you about the types of information we collect. We've added more description about the ways we use and share the information collected from our users, within Meredith brands and with third-party service providers that help us operate our business. We have updated our description of the various choices you have to limit the use of your information.","Introductory/Generic"
"2","Please read this summary and our updated privacy policy carefully so you understand what types of information Meredith collects about you, how we use and share that information and your related choices.","Introductory/Generic"
"9","For more complete information about our privacy practices, please review our full Meredith Privacy Policy. If you have any questions, please email us at privacy@meredith.com.","Privacy contact information"
"10","Effective Date: January 14, 2015 Online Privacy Policy Offline Privacy Policy Visitor Agreement","Introductory/Generic"
"11","Welcome! This Online Privacy Policy applies to your use of websites, interactive services, email programs and mobile device applications provided by Meredith Corporation or our affiliates (collectively, ""Meredith,"" ""we"" or ""us"") that include an authorized link or reference to this policy (collectively, the ""Services""). This Online Privacy Policy applies only to the information we collect through the Services. Please click here to see our separate Offline Privacy Policy.","Introductory/Generic"
"12","By using any of our Services, you agree that this Online Privacy Policy and our Visitor Agreement govern your use of our Services and any dispute concerning the Services. Please take a few minutes to read them before using or registering to access our Services.","Introductory/Generic"
"13","This Policy describes our privacy practices regarding:","Introductory/Generic"
"14","If you have questions about this Online Privacy Policy, please contact us at privacy@meredith.com","Privacy contact information"
"19","Meredith or third-party contractors we engage may collect certain information automatically when you use our Services, including but not limited to:","Introductory/Generic"
"31","Web beacons (sometimes called ""transparent GIFs,"" ""clear GIFs,"" or ""pixel tags"") are small strings of code that embed a small graphic image (usually invisible) on a web page or in an email or advertisement. When your browser downloads a web beacon, the server that sends the corresponding image to your browser can recognize and store certain types of information such as cookies previously set, the time and date that you viewed the page embedded with the beacon and a description of that page.","Introductory/Generic"
"37","In addition, we and our authorized service providers generally use other information that we or they collect about you to:","Introductory/Generic"
"65","We also may provide links to other websites or services, and provide access to products and services offered by third parties, whose privacy policies we don't control.","Introductory/Generic"
"0","Privacy Policy - Effective January 14, 2015","Introductory/Generic"
"1","Read our updated privacy policy carefully: We've summarized our privacy policy terms so you can find what you need quickly. We've designed one privacy policy to apply across many Meredith brands and online and mobile services. We've amended our privacy policy to update you about the types of information we collect. We've added more description about the ways we use and share the information collected from our users, within Meredith brands and with third-party service providers that help us operate our business. We have updated our description of the various choices you have to limit the use of your information.","Introductory/Generic"
"2","Please read this summary and our updated privacy policy carefully so you understand what types of information Meredith collects about you, how we use and share that information and your related choices.","Introductory/Generic"
"3","please email your request to privacy@meredith.com","Privacy contact information"
