"0","Smithsonian Institution's Privacy Statement","Introductory/Generic"
"1","Thank you for visiting the Smithsonian Institution network of Websites and reviewing our Privacy Statement. The Smithsonian Institution does not collect personal information about visitors to our Websites unless you choose to provide that information to us. The Smithsonian will use that information to respond to your message and to help us get you the information you have requested.","Introductory/Generic"
"2","This Privacy Statement applies to the online activities of the Smithsonian Institution and onsite interactive activities (collectively ""Websites""). It does not apply to its Smithsonian Enterprises websites (Smithsonian Magazine, Air Space Magazine, Smithsonian Store, and Smithsonian Journeys). Consult those websites for the Smithsonian Enterprises privacy statement.","Practice not covered"
"2","This Privacy Statement applies to the online activities of the Smithsonian Institution and onsite interactive activities (collectively ""Websites""). It does not apply to its Smithsonian Enterprises websites (Smithsonian Magazine, Air Space Magazine, Smithsonian Store, and Smithsonian Journeys). Consult those websites for the Smithsonian Enterprises privacy statement.","Introductory/Generic"
"7","If you are uncertain about whom to contact, you may contact our webmaster at webmaster@si.edu.","Privacy contact information"
"14","Within the Smithsonian's Websites there are embedded applications, plug-ins, widgets or links to non-Smithsonian Websites (collectively ""sites""). These sites operate independently of the Smithsonian and have their own privacy policies. When you visit these sites, you leave our Website and no longer will be subject to our privacy and security policies. The Smithsonian is not responsible for the privacy or security practices or the content of other sites, and such sites are not intended to be an endorsement of those sites or their content.","Practice not covered"
"14","Embedded Plug-Ins, Widgets, and Links Within the Smithsonian's Websites there are embedded applications, plug-ins, widgets or links to non-Smithsonian Websites (collectively ""sites""). These sites operate independently of the Smithsonian and have their own privacy policies. When you visit these sites, you leave our Website and no longer will be subject to our privacy and security policies. The Smithsonian is not responsible for the privacy or security practices or the content of other sites, and such sites are not intended to be an endorsement of those sites or their content.","Introductory/Generic"
"16","The Smithsonian is a large organization with many people sharing responsibility for the content of our Websites. Please help us respond to your comments and inquiries by sending them to the appropriate Smithsonian office. Consult our special Web page to help you determine where to send your inquiry at http://www.si.edu/contacts. If you have questions about this Privacy Statement, please contact us via email at Privacy@si.edu.","Privacy contact information"
"16","Consult our special Web page to help you determine where to send your inquiry at http://www.si.edu/contacts. If you have questions about this Privacy Statement, please contact us via email at Privacy@si.edu.","Privacy contact information"
"17","Last revised: June 18, 2014","Introductory/Generic"
"0","Smithsonian Institution's Privacy Statement","Introductory/Generic"
"1","Thank you for visiting the Smithsonian Institution network of Websites and reviewing our Privacy Statement.","Introductory/Generic"
"2","This Privacy Statement applies to the online activities of the Smithsonian Institution and onsite interactive activities (collectively ""Websites""). It does not apply to its Smithsonian Enterprises websites (Smithsonian Magazine, Air Space Magazine, Smithsonian Store, and Smithsonian Journeys). Consult those websites for the Smithsonian Enterprises privacy statement.","Other"
"7","If you are uncertain about whom to contact, you may contact our webmaster at webmaster@si.edu.","Privacy contact information"
"9","If you decide to opt-out of receiving any further correspondence from a non-Smithsonian entity, please correspond directly with that business or organization to be removed from its mailing list.","Other"
"14","Within the Smithsonian's Websites there are embedded applications, plug-ins, widgets or links to non-Smithsonian Websites (collectively ""sites""). These sites operate independently of the Smithsonian and have their own privacy policies. When you visit these sites, you leave our Website and no longer will be subject to our privacy and security policies. The Smithsonian is not responsible for the privacy or security practices or the content of other sites, and such sites are not intended to be an endorsement of those sites or their content.","Practice not covered"
"16","Consult our special Web page to help you determine where to send your inquiry at http://www.si.edu/contacts. If you have questions about this Privacy Statement, please contact us via email at Privacy@si.edu.","Privacy contact information"
"17","Last revised: June 18, 2014","Other"
