"0","The Disinformation Company Ltd. (Disinformation) values the users of our website (the Website). Your privacy and trust are very important to us. We recognize that you may be concerned about our collection, use, and disclosure of the personally identifiable information (Personal Information) that we collect when you use the Website and the services offered on the Website (Disinformation Services). This Privacy Policy describes the information that we collect from you, how we collect this information, and what we do with it after we collect it. By using the Website you are accepting the practices described in this Privacy Policy. If you have any questions or comments regarding this Privacy Policy, please contact us using our Contact Form.","Introductory/Generic"
"0","The Disinformation Company Ltd. (Disinformation) values the users of our website (the Website). Your privacy and trust are very important to us. We recognize that you may be concerned about our collection, use, and disclosure of the personally identifiable information (Personal Information) that we collect when you use the Website and the services offered on the Website (Disinformation Services). This Privacy Policy describes the information that we collect from you, how we collect this information, and what we do with it after we collect it. By using the Website you are accepting the practices described in this Privacy Policy. If you have any questions or comments regarding this Privacy Policy, please contact us using our Contact Form.","Introductory/Generic"
"0","The Disinformation Company Ltd. (Disinformation) values the users of our website (the Website). Your privacy and trust are very important to us. We recognize that you may be concerned about our collection, use, and disclosure of the personally identifiable information (Personal Information) that we collect when you use the Website and the services offered on the Website (Disinformation Services). This Privacy Policy describes the information that we collect from you, how we collect this information, and what we do with it after we collect it. By using the Website you are accepting the practices described in this Privacy Policy. If you have any questions or comments regarding this Privacy Policy, please contact us using our Contact Form.","Introductory/Generic"
"14","A web beacon is an often-transparent graphic image, usually no larger than a 1_1 pixel that is placed on a web page or in an e-mail that is used to monitor the behavior of the user visiting the Website or receiving the e-mail.","Introductory/Generic"
"14","A web beacon is an often-transparent graphic image, usually no larger than a 1_1 pixel that is placed on a web page or in an e-mail that is used to monitor the behavior of the user visiting the Website or receiving the e-mail.","Introductory/Generic"
"14","A web beacon is an often-transparent graphic image, usually no larger than a 1_1 pixel that is placed on a web page or in an e-mail that is used to monitor the behavior of the user visiting the Website or receiving the e-mail.","Introductory/Generic"
"15","Cookies and web beacons used by Disinformation and our online partners are not linked to Personal Information.","Practice not covered"
"17","The content that you store, post, or transmit on or through the Website, such as message board postings, may be accessed by other users, including people that you do not know. We are not responsible for the actions of others. Therefore, you should use care in communicating with other users and only disclose your Personal Information to other users that you know to be trustworthy. You should not assume that your content will be kept private.","Introductory/Generic"
"19","You may be able to access third party websites directly from the Website. This Privacy Policy does not apply when you access third party websites. We cannot control how third parties may use Personal Information you disclose to them, so you should carefully review the privacy policy of any third party website you visit before using it or disclosing your Personal Information to its provider.","Introductory/Generic"
"19","You may be able to access third party websites directly from the Website. This Privacy Policy does not apply when you access third party websites. We cannot control how third parties may use Personal Information you disclose to them, so you should carefully review the privacy policy of any third party website you visit before using it or disclosing your Personal Information to its provider.","Practice not covered"
"19","You may be able to access third party websites directly from the Website. This Privacy Policy does not apply when you access third party websites. We cannot control how third parties may use Personal Information you disclose to them, so you should carefully review the privacy policy of any third party website you visit before using it or disclosing your Personal Information to its provider.","Practice not covered"
"23","If we disclose your Personal Information to a third party in a manner that is not set forth in this Privacy Policy you will be notified so that you can make an informed choice about sharing your Personal Information with that third party.","Other"
"24","Should you have other questions or concerns about these privacy policies, please send us an email using our Contact Form.","Privacy contact information"
"24","The Disinformation Company Ltd. 111 East 14th Street, Suite 108 New York NY 10003","Privacy contact information"
"24","Should you have other questions or concerns about these privacy policies, please send us an email using our Contact Form. Written queries may be sent to: The Disinformation Company Ltd. 111 East 14th Street, Suite 108 New York NY 10003","Privacy contact information"
