"0","This Privacy Policy explains what information is collected via the Mohegan Sun website located at mohegansun.com, why the information is collected and how it is used. Mohegan Sun does not share or sell your personal information to anyone. Mohegan Sun does not participate in any format of SPAM and will not send any unsolicited emails.","Introductory/Generic"
"0","This Privacy Policy explains what information is collected via the Mohegan Sun website located at mohegansun.com, why the information is collected and how it is used. Mohegan Sun does not share or sell your personal information to anyone. Mohegan Sun does not participate in any format of SPAM and will not send any unsolicited emails.","Introductory/Generic"
"0","This Privacy Policy explains what information is collected via the Mohegan Sun website located at mohegansun.com, why the information is collected and how it is used. Mohegan Sun does not share or sell your personal information to anyone. Mohegan Sun does not participate in any format of SPAM and will not send any unsolicited emails.","Introductory/Generic"
"3","ng Customer Service at 1.888.777.7920.","Privacy contact information"
"5","If you have a question regarding any of the above information, please contact us at the following email address and we will be happy to get back to you. Contact information@mohegansun.com","Privacy contact information"
"5","information@mohegansun.com","Privacy contact information"
"5","If you have a question regarding any of the above information, please contact us at the following email address and we will be happy to get back to you. Contact information@mohegansun.com","Privacy contact information"
"6","1 Mohegan Sun Boulevard Uncasville, CT 06382 For General Information: 1.888.226.7711 For Hotel Reservations: 1.888.777.7922","Privacy contact information"
"6","1 Mohegan Sun Boulevard Uncasville, CT 06382 For General Information: 1.888.226.7711","Privacy contact information"
"6","1 Mohegan Sun Boulevard Uncasville, CT 06382 For General Information: 1.888.226.7711 For Hotel Reservations: 1.888.777.7922","Privacy contact information"
