"3","personally identifiable information","Generic personal information"
"3","personally identifiable information.","Generic personal information"
"4","who you are and without revealing any personally identifiable information","Generic personal information"
"4","who you are and without revealing any personally identifiable information","Generic personal information"
"5","""Personally identifiable information or personal information"" refers to any information that identifies or can be used to contact or locate you such as name, mailing address, phone number, email address, social security number, and account number.","Generic personal information"
"5","contact","Contact"
"5","social security number, and account number","Personal identifier"
"5","name, mailing address, phone number, email address,","Contact"
"5","social security number, and account number","Personal identifier"
"6","personally identifiable information","Generic personal information"
"6","personally identifiable information","Generic personal information"
"6","This information, such as name, mailing address, email address, type of request and possibly additional information,","Generic personal information"
"6","This information, such as name, mailing address, email address, type of request and possibly additional information,","Generic personal information"
"6","name, mailing address, email address,","Contact"
"6","name, mailing address, email address,","Contact"
"7","personally identifying information such as name and address","Contact"
"7","email addresses","Contact"
"8","including the name of your Internet Service Provider (ISP), the type of browser and operating systems used to access our site, the date and time you access our site, the website that referred you to us, and the pages you visit (click-through).","Computer information"
"8","the date and time you access our site, the website that referred you to us, and the pages you visit (click-through).","User online activities"
"8","name of your Internet Service Provider (ISP), the type of browser and operating systems used to access our site","Computer information"
"8","the date and time you access our site, the website that referred you to us, and the pages you visit (click-through).","User online activities"
"9","A ""cookie"" is a small text file or text identifier placed on your computer","Cookies and tracking elements"
"9","A ""cookie"" is a small text file or text identifier placed on your computer","Cookies and tracking elements"
"9","cookies provided by third parties","Cookies and tracking elements"
"10","web beacons also called single pixel gifs.","Cookies and tracking elements"
"10","gif files are provided by our ad management partner, DoubleClick. These files enable DoubleClick to recognize a unique cookie","Cookies and tracking elements"
"10","only a limited amount of information including cookies and time and date of viewing","Cookies and tracking elements"
"10","cookies","Cookies and tracking elements"
"10","cookies and time and date of viewing","Cookies and tracking elements"
"10","cookies and time and date of viewing","Cookies and tracking elements"
"11","we will be required to validate your bank account information with your bank.","Financial"
"11","we will be required to validate your bank account information with your bank.","Financial"
"11","information about you","Unspecified"
"11","information about you","Unspecified"
"11","your information","Unspecified"
"11","your information","Unspecified"
"11","this information","Unspecified"
"11","your nonpublic personal information (such as personally identifiable financial information).","Other"
"11","your nonpublic personal information (such as personally identifiable financial information)","Financial"
"11","validate your bank account information with your bank","Financial"
"11","third party fulfillment company to meet your request","Contact"
"12","contact information","Contact"
"12","educational and employment background,","Demographic"
"12","salary requirements","Financial"
"12","resume or CV,","User profile"
"12","contact information","Contact"
"12","educational and employment background","Demographic"
"12","resume or CV","User Profile"
"12","salary requirements","Financial"
"13","you are providing and consenting to provide your personal information and any other information","Generic personal information"
"20","your name, home and email address, and your home and/or business telephone number","Contact"
"20","name, home and email address, and your home and/or business telephone number.","Contact"
"20","time of day you wish to be contacted, your vehicle trade-in information as well as any additional information or special requests","Other"
"20","choose to apply for credit with Honda Financial Services","Financial"
"21","personally identifiable information such as name, address, telephone number,","Contact"
"21","name, address, telephone number","Contact"
"21","social security number,","Personal identifier"
"21","date of birth, employment information, and gross monthly income","Demographic"
"22","In doing so, you may provide certain figures such as a trade-in value or an amount owed on your current vehicle to calculate an estimated payment.","Financial"
"22","determine what you can afford. In doing so, you may provide certain figures such as a trade-in value or an amount owed on your current vehicle","Financial"
"23","name and address.","Contact"
"23","your name and address","Contact"
"23","your name, address, and, if provided, your email address to the dealer.","Contact"
"23","name and address.","Contact"
"23","name and address","Contact"
"23","additional information about your current vehicle","Other"
"24","your name and email address.","Contact"
"24","name and email address","Contact"
"25","To do so, you will have to provide your email address and the email address of the person you wish to send a card.","Contact"
"25","your email address and the email address of the person you wish to send a card","Contact"
"26","we will ask you to provide us with your name, home and email address, and your home or business telephone number.","Contact"
"26","we will ask you to provide us with your name, home and email address, and your home or business telephone number","Contact"
"26","information","Generic personal information"
"27","personally identifiable information such as name, address, telephone number,","Contact"
"27","social security number, date of birth,","Personal identifier"
"27","employment information, and gross monthly income.","Demographic"
"27","you name, zip code,","Contact"
"27","and personal identification number.","Personal identifier"
"28","you may provide certain figures such as a trade-in value or an amount owed on your current vehicle to calculate an estimated payment.","Financial"
"29","e your name, address and telephone number. Your contact information","Contact"
"29","your name, address and telephone number. Your contact information","Contact"
"31","with your name and address.","Contact"
"32","you name and email address. You may also provide your zip code.","Contact"
"32","name and email address","Contact"
"33","personally identifiable information.","Generic personal information"
"34","your email address.","Contact"
"34","your email address","Contact"
"34","email address","Contact"
"34","email","Contact"
"35","your name, home and email address.","Contact"
"36","name, home address, and email address.","Contact"
"36","name, home address, and email address","Contact"
"36","email","Contact"
"37","name, address, telephone number,","Contact"
"37","social security number, date of birth,","Personal identifier"
"37","employment information, and gross monthly income.","Demographic"
"39","your name, home and email address.","Contact"
"39","name, home and email address.","Contact"
"40","your name, home and email address, telephone number,","Contact"
"40","and credit card information","Financial"
"40","name, home and email address, telephone number,","Contact"
"40","email","Contact"
"41","HRCA member number","Personal identifier"
"41","and zip code or, if you do not know your number, you may provide us with your name and address","Contact"
"41","name and address","Contact"
"43","You will be able to share your username, email address, city and state you live, chapter dealer, or the type of bike you own with other instant messaging members. You are not required to share any of the above information and may pick and choose on an item-by-item basis.","User profile"
"43","your username, email address,","Contact"
"43","city and state you live","Location"
"43","chapter dealer, or the type of bike you own","Other"
"44","your name and address. Your email address is optional.","Contact"
"45","your name and address.","Contact"
"46","your name and address.","Contact"
"47","your email address where we can send your password information, in case you forget it. Your email address","Contact"
"47","email address","Contact"
"47","email address","Contact"
"47","make, year, model, trim, color, and year purchased","Other"
"48","with your name, address, and telephone number.","Contact"
"48","It is also optional for you to provide your Vehicle Identification Number (VIN)","Other"
"48","name, address, and telephone number","Contact"
"48","Vehicle Identification Number (VIN)","Other"
"50","personally identifying information","Generic personal information"
"50","a Honda ID/Acura ID and password for ""My Profile"". You may choose to enter your Honda or Acura's vehicle identification number (VIN) or simply choose the make, year, and model of your vehicle.","Other"
"50","enter your Honda or Acura's vehicle identification number (VIN) or simply choose the make, year, and model of your vehicle.","Other"
"51","your personally identifying information","Generic personal information"
"51","Your name, address, email address, telephone number","Contact"
"51","credit card information and purchase details","Financial"
"51","name, address, email address, telephone number","Contact"
"51","credit card information and purchase details","Financial"
"51","name, address, email address, telephone number","Contact"
"51","credit card information and purchase details","Financial"
"52","your name, email address, and your friend's email address.","Contact"
"52","your name, email address, and your friend's email address.","Contact"
"53","name, address, telephone number,","Contact"
"53","social security number, date of birth,","Personal identifier"
"53","employment information, and gross monthly income.","Demographic"
"54","such as your AHFC account number, the last four digits of your social security number,","Personal identifier"
"54","your bank's name and routing number, and your bank account type (checking or savings) and account number.","Financial"
"54","the last four digits of your social security number","Personal identifier"
"54","bank's name and routing number, and your bank account type (checking or savings) and account number","Financial"
"55","your name, email address, and your friend's email address","Contact"
"56","name, address, telephone number,","Contact"
"56","social security number, date of birth","Personal identifier"
"56","employment information, and gross monthly income.","Demographic"
"57","your AHFC account number, the last four digits of your social security number","Personal identifier"
"57","your bank's name and routing number, and your bank account type (checking or savings) and account number.","Financial"
"59","email","Contact"
"60","any information","Unspecified"
"64","your name, address,","Contact"
"64","social security number","Personal identifier"
"64",", income and obligations","Demographic"
"64","(for example, your creditworthiness and credit history","Financial"
"64","products that you have purchased, financed or leased, your retail or lease account balance and payment history)","Financial"
"64","name, address","Contact"
"64","social security number","Personal identifier"
"64","income and obligations","Financial"
"64","creditworthiness and credit history","Financial"
"64","products that you have purchased, financed or leased, your retail or lease account balance and payment history","Financial"
"65","information that we collect about your direct transactions (for example, account balance and payment history","Financial"
"65","account balance and payment history","Financial"
"66","information about your transactions with us, our affiliates, or others (for example, your name, address, account terms/activity)","Other"
"66","information about your transactions with us, our affiliates, or others (for example, your name, address, account terms/activity)","Other"
"66","name, address,","Contact"
"66","account terms/activity","Other"
"67","all of the information (see 1-3, above) that we collect about you","Unspecified"
"67","all of the information (see 1-3, above) that we collect about you","Unspecified"
"67","all of the information","Unspecified"
"67","all of the information","Unspecified"
"67","all of the information","Unspecified"
"69","e your email address and occupation, and asked to submit your first name, last name, country of origin, and organization.","Contact"
"69","email address","Contact"
"69","occupation","Demographic"
"69","country of origin","Location"
"70","your email address and occupation, and asked to submit your first name, last name, country of origin, and organization","Contact"
"3","personally identifiable information","Other"
"4","personally identifiable information","Other"
"5","any information that identifies or can be used to contact or locate you such as name, mailing address, phone number, email address","Contact"
"5","social security number, and account number","Personal identifier"
"6","information, such as name, mailing address, email address,","Contact"
"6","type of request","Other"
"6","possibly additional information","Unspecified"
"6","possibly additional information","Unspecified"
"7","a certain amount of personally identifying information such as name and address to meet your request.","Contact"
"8","Internet Service Provider (ISP), the type of browser and operating systems used to access our site,","Computer information"
"8","name of your Internet Service Provider (ISP), the type of browser and operating systems used to access our site","Computer information"
"8","the date and time you access our site, the website that referred you to us, and the pages you visit (click-through).","User online activities"
"8","the date and time you access our site, the website that referred you to us, and the pages you visit (click-through)","User online activities"
"9","cookies","Cookies and tracking elements"
"9","cookies","Cookies and tracking elements"
"10","web beacons","Cookies and tracking elements"
"11","The information","Unspecified"
"11","The information","Unspecified"
"11","validate your bank account information with your bank.","Financial"
"11","information about you","Unspecified"
"12","may include personal information","Unspecified"
"12","contact information","Contact"
"12","jobs for which you may wish to be considered","Other"
"20","we will ask you to provide us with your name, home and email address, and your home and/or business telephone number","Contact"
"20","regarding the status of your application","Other"
"21","personally identifiable information such as","Other"
"21","name, address, telephone number","Contact"
"21","social security number","Personal identifier"
"21","your name","Contact"
"21","zip code","Location"
"21","personal identification number","Other"
"23","your name and address","Contact"
"23","name and address","Contact"
"24","your name and email address","Contact"
"25","To do so, you will have to provide your email address and the email address of the person you wish to send a card","Contact"
"26","your name, home and email address, and your home or business telephone number","Contact"
"26","information regarding the status of your application","Other"
"27","name, address, telephone number,","Contact"
"27","social security number","Personal identifier"
"27","date of birth, employment information, and gross monthly income","Demographic"
"27","zip code","Location"
"27","personal identification number","Other"
"29","your name, address and telephone number.","Contact"
"29","Your contact information","Contact"
"29","your contact information","Contact"
"31","your name and address.","Contact"
"32","that you provide you name and email address","Contact"
"32","zip code","Location"
"33","personally identifiable information","Other"
"34","provide your email address","Contact"
"34","provide your email address","Contact"
"35","name, home and email address","Contact"
"35","Although not required to do so, you may also provide us with further information such as your home and/or business telephone number, your vehicle trade-in information, the time of day you wish to be contacted and whether you wish to be contacted by email or telephone as well as any additional information or special requests.","Other"
"36","name, home address, and email address","Contact"
"37","information such as","Unspecified"
"37","name, address, telephone number","Contact"
"37","social security number,","Personal identifier"
"37","date of birth, employment information, and gross monthly income","Demographic"
"39","your name, home and email address","Contact"
"40","your name, home and email address, telephone number,","Contact"
"40","credit card information.","Financial"
"40","credit card information.","Financial"
"41","HRCA member number","Other"
"41","zip code","Location"
"41","name and address exactly as they appear on your Honda Red Rider mailing label","Contact"
"43","username","User Profile"
"43","email address","Contact"
"43","city and state you live,","Location"
"43","chapter dealer, or the type of bike you own","Other"
"44","name and address. Your email address is optional","Contact"
"45","your name and address","Contact"
"46","name and address. Your email address is optional.","Contact"
"47","your email address","Contact"
"47","You will also be asked to tell us the make, year, model, trim, color, and year purchased","Other"
"48","name, address, and telephone number.","Contact"
"48","Vehicle Identification Number","Other"
"50","information","Unspecified"
"50","You may choose to enter your Honda or Acura's vehicle identification number (VIN) or simply choose the make, year, and model of your vehicle.","Other"
"51","information","Unspecified"
"51","Your name, address, email address, telephone number,","Contact"
"51","credit card information and purchase details","Financial"
"52","name, email address, and your friend's email address","Contact"
"53","information such as","Unspecified"
