"2","name and street address. We might also collect your phone number or email.","Contact"
"2","Contact information. For example, we might collect your name and street address. We might also collect your phone number or email.","Contact"
"3","credit card number and zip code","Financial"
"3","Payment and billing information. For example, we collect your credit card number and zip code when you buy a ticket.","Financial"
"4","information","Unspecified"
"4","information","Unspecified"
"4","Information you post. For example, we collect information you post in a public space on our website or on a third-party social media site.","Social media data"
"5","Demographic information. We may collect information about events you like or products you buy.","Demographic"
"5","Demographic information. We may collect information about events you like or products you buy.","Demographic"
"5","Demographic information. We may collect information about events you like or products you buy. We might collect this as part of a survey, for example.","Demographic"
"6","browser you're using","Computer information"
"6","what site you came from, or what site you visit when you leave us","User online activities"
"6","GPS location","Location"
"6","device's unique identifier","IP address and device IDs"
"6","type of mobile device you are using, or the version of the operating system your computer or device is running","Computer information"
"6","We might look at how often you use the app and where you downloaded it.","User online activities"
"6","browser you're using.","Computer information"
"6","We might look at what site you came from, or what site you visit when you leave us.","User online activities"
"6","we may collect your GPS location","Location"
"6","your device's unique identifier.","IP address and device IDs"
"6","We might also collect the type of mobile device you are using, or the version of the operating system your computer or device is running.","Computer information"
"6","We might look at how often you use the app and where you downloaded it.","User online activities"
"7","if you register for a promotion or buy tickets","Unspecified"
"7","if you register for a promotion or buy tickets","Unspecified"
"7","For example, if you register for a promotion or buy tickets. We also collect information if you post a comment on our websites or ask us a question.","Unspecified"
"8","We use tracking tools like browser cookies and web beacons.","Cookies and tracking elements"
"9","name and email address.","Contact"
"9","certain information about you","Unspecified"
"9","This could include your name and email address.","Contact"
"9","Your activities on our sites and apps may be posted to the social media platforms.","Social media data"
"10","your information","Unspecified"
"10","your information","Unspecified"
"14","your location information","Location"
"15","to send you transactional communications.","Contact"
"21","customer list","Other"
"23","emails","Contact"
"23","emails","Contact"
"24","To correct or delete information or update account settings, log into your account and follow the instructions. We make changes as soon as we can.","Unspecified"
"25","You can control cookies and tracking tools.","Cookies and tracking elements"
"26","GPS locator","Location"
"26","push notifications on your phone.","Unspecified"
"34","personal information","Generic personal information"
"34","personal information","Generic personal information"
"34","personal information","Generic personal information"
"2","Contact information. For example, we might collect your name and street address. We might also collect your phone number or email.","Contact"
"3","Payment and billing information. For example, we collect your credit card number and zip code when you buy a ticket.","Financial"
"4","information you post in a public space","User profile"
"4","on a third-party social media site","Social media data"
"5","Demographic information. We may collect information about events you like or products you buy. We might collect this as part of a survey, for example.","Demographic"
"6","information about the browser you're using. We might look at what site you came from, or what site you visit when you leave us.","Computer information"
"6","your GPS location","Location"
"6","your device's unique identifier","IP address and device IDs"
"6","We might also collect the type of mobile device you are using, or the version of the operating system your computer or device is running.","Computer information"
"6","We might look at how often you use the app and where you downloaded it.","User online activities"
"7","information","Unspecified"
"7","information","Unspecified"
"8","We use tracking tools like browser cookies and web beacons","Cookies and tracking elements"
"9","third-party social media site will give us certain information about you","Unspecified"
"9","This could include your name and email address.","Contact"
"12","information","Unspecified"
"13","information","Unspecified"
"14","information","Unspecified"
"15","information","Unspecified"
"16","information","Unspecified"
"17","information","Unspecified"
"17","information","Unspecified"
"19","information","Unspecified"
"20","information","Unspecified"
"20","information","Unspecified"
"21","information","Unspecified"
"22","your information","Unspecified"
"25","cookies and tracking tools","Cookies and tracking elements"
"26","GPS locator","Location"
"26","For example","Unspecified"
"34","information","Unspecified"
