"4","information","Unspecified"
"4","Name and email address","Contact"
"4","Name, billing address, shipping address, phone number, email address","Contact"
"4","credit card information","Financial"
"4","as your home location","Location"
"4","your profile photo, your occupation,","Demographic"
"4","Any information required","Unspecified"
"4","Information and content you provide through the discussion forums, your geocache and trackable logs or by email to us","Other"
"4","Email address","Contact"
"4","Email addresses of people you know","Other"
"4","Information you provide in an application and resume","Other"
"4","Any information you choose to share with us as part of surveys","Survey data"
"5","Your location","Location"
"5","The unique identifier for your mobile device Your IP address","IP address and device IDs"
"5","Time and date of access","User online activities"
"5","f you're accessing our services through one of our API partners, the name of the application you're using","Other"
"5","The user ID we've assigned to the account through which you are accessing our services Whether you are a Premium or Basic member","User profile"
"5","Cookie information","Cookies and tracking elements"
"6","ookies and other types of data collection technologies","Cookies and tracking elements"
"7","your information","Unspecified"
"7","your information","Unspecified"
"7","your name, e-mail address","Contact"
"8","information","Unspecified"
"8","contact","Contact"
"8","personal information","Generic personal information"
"8","your email address","Contact"
"8","photo or other details, in your public profile","User Profile"
"8","Your username","User Profile"
"8","location","Location"
"8","any other information or content","Other"
"9","Any information","Unspecified"
"9","public profile or geocache logs (including photos)","User Profile"
"9","home coordinates","Location"
"9","the information","Unspecified"
"10","to personal information","Generic personal information"
"11","personal information","Generic personal information"
"11","personal information","Generic personal information"
"12","customer records","Other"
"14","information","Unspecified"
"14","email","Contact"
"14","emails","Contact"
"14","your Facebook or Twitter account","Other"
"15","We use cookies and common automated data collection technologies, including web beacons, clear GIFs associated with cookies and Adobe Flash local shared objects","Cookies and tracking elements"
"16","We gather date, time,","Other"
"16","certain information about a user's browser and system or device configuration and capabilities","Computer information"
"16","navigation history","User online activities"
"16","and IP address","IP address and device IDs"
"17","We place cookies that identify you","Cookies and tracking elements"
"17","We place cookies that identify you","Cookies and tracking elements"
"17","We place cookies that identify you","Cookies and tracking elements"
"17","cookies","Cookies and tracking elements"
"17","cookies","Cookies and tracking elements"
"18","cookies","Cookies and tracking elements"
"19","cookies","Cookies and tracking elements"
"4","Name, billing address, shipping address, phone number, email address","Contact"
"4","credit card information","Financial"
"4","home location","Location"
"5","Your location","Location"
"5","The unique identifier for your mobile device Your IP address","IP address and device IDs"
