"4","two types of information","Unspecified"
"5","which pages were visited, the order in which they were visited, and which hyperlinks were ""clicked.""","User online activities"
"5","among other things","Other"
"5","IP addresses","IP address and device IDs"
"5","operating system and browser software","Computer information"
"5","geographic location","Location"
"6","information","Unspecified"
"6","information","Unspecified"
"6","this information","Unspecified"
"7","""cookies""","Cookies and tracking elements"
"7","""cookies""","Cookies and tracking elements"
"8","cookies","Cookies and tracking elements"
"9","cookies and web beacons","Cookies and tracking elements"
"9","demographic","Demographic"
"9","usage information","User online activities"
"9","cookies and web beacons","Cookies and tracking elements"
"9","demographic","Demographic"
"9","usage","User online activities"
"10","including","Other"
"10","cookies","Cookies and tracking elements"
"11","including","Other"
"11","zip code","Location"
"11","age","Demographic"
"11","income","Financial"
"11","e-mail address","Contact"
"11","e-mail address","Contact"
"12","information about your location","Location"
"16","information","Unspecified"
"18","information","Unspecified"
"18","to receiving promotional materials","Other"
"18","to receiving promotional materials","Other"
"18","to receiving promotional materials","Other"
"18","receiving promotional information","Other"
"18","credit card information","Financial"
"19","such communications","Other"
"19","such communications","Other"
"20","information","Unspecified"
"21","demographic data","Demographic"
"22","data","Unspecified"
"22","data","Unspecified"
"22","data","Unspecified"
"24","any and all information contained within our access logs","Other"
"24","any and all information contained within our access logs","Other"
"24","any and all information contained within our access logs","Other"
"24","identifying those","Personal identifier"
"27","residual information","Unspecified"
"2","information","Unspecified"
"2","personally identifiable information","Generic personal information"
"4","information","Unspecified"
"5","Non-personally identifiable information:","Unspecified"
"5","which pages were visited, the order in which they were visited, and which hyperlinks were ""clicked.","User online activities"
"5","IP addresses","IP address and device IDs"
"5","operating system and browser software","Computer information"
"6","information","Unspecified"
"6","information","Unspecified"
"6","information","Unspecified"
"6","some of this information","Unspecified"
"7","cookies","Cookies and tracking elements"
"7","Cookies","Cookies and tracking elements"
"7","may contain cookies","Cookies and tracking elements"
"8","Cookies","Cookies and tracking elements"
"8","cookies","Cookies and tracking elements"
"9","electronic file called a web beacon","Cookies and tracking elements"
"9","cookies and web beacons","Cookies and tracking elements"
"9","cookies and web beacons","Cookies and tracking elements"
"9","Aggregate information may include demographic","Demographic"
"9","and usage information","User online activities"
"9","cookies and web beacons","Cookies and tracking elements"
"9","cookies and web beacons","Cookies and tracking elements"
"9","You may choose to opt-out by contacting us at www.info@worldnow.com.","Cookies and tracking elements"
"10","cookies","Cookies and tracking elements"
"11","personally identifiable information","Generic personal information"
"11","zip code, age, income","Demographic"
"11","and e-mail address,","Contact"
"11","when applicable, credit card information","Financial"
"11","to this information","Other"
"11","a valid e-mail address.","Contact"
"12","information about your location","Location"
"16","information","Unspecified"
"16","statistical information based on this data","Unspecified"
"16","statistical information based on this data","Unspecified"
"16","statistical information based on this data","Unspecified"
"16","data","Unspecified"
"18","personally identifiable information","Generic personal information"
"18","receiving","Contact"
"18","receiving","Contact"
"18","any personally identifiable registration information","Generic personal information"
"18","your credit card information","Financial"
"18","receiving","Contact"
"19","e-mail contact","Contact"
"20","personally identifiable information","Unspecified"
"21","demographic data","Demographic"
"22","members' data","User profile"
"22","any data","Unspecified"
"23","your location","Location"
"23","your location","Location"
"23","your location","Location"
"23","your location information","Location"
"24","release any and all information","Unspecified"
"24","release any and all information","Unspecified"
"2","information","Unspecified"
"2","information","Unspecified"
"2","information","Unspecified"
"2","information","Unspecified"
"4","two types of information","Unspecified"
"5","information indicating, among other things,","Unspecified"
"5","which pages were visited, the order in which they were visited, and which hyperlinks were ""clicked.""","User online activities"
"5","IP addresses,","IP address and device IDs"
"5","operating system and browser software","Computer information"
"5","geographic location","Location"
"6","information","Unspecified"
"6","information","Unspecified"
"6","some of this information","Unspecified"
"7","""cookies""","Cookies and tracking elements"
"7","""cookies""","Cookies and tracking elements"
"7","cookies (""banner ads"")","Cookies and tracking elements"
"8","Cookies","Cookies and tracking elements"
"9","web beacon","Cookies and tracking elements"
"9","web beacon","Cookies and tracking elements"
"9","web beacon","Cookies and tracking elements"
"9","demographic","Demographic"
"9","usage information","User online activities"
"10","cookies","Cookies and tracking elements"
"11","information","Unspecified"
"11","zip code","Location"
"11","age, income","Demographic"
"11","e-mail address","Contact"
"11","credit card information","Financial"
"11","a valid e-mail address.","Contact"
"11","a valid e-mail address.","Contact"
"11","a valid e-mail address.","Contact"
"11","surveys","Survey data"
"12","information about your location","Location"
"16","of the collective characteristics and behavior of the users of the Services,","User online activities"
"16","demographics","Demographic"
"16","interests","Other"
"16","collective characteristics and behavior of the users of the Services,","User online activities"
"16","demographics","Demographic"
"16","interests","Other"
"16","collective characteristics and behavior of the users of the Services,","User online activities"
"16","demographics","Demographic"
"16","interests","Other"
"16","collective characteristics and behavior of the users of the Services,","User online activities"
"16","interests","Other"
"16","statistical information","Other"
"18","personally identifiable information","Generic personal information"
"18","registration information regarding you","Other"
"18","your credit card information","Financial"
"18","receiving promotional information","Contact"
"19","e-mail","Contact"
"19","e-mail","Contact"
"20","information","Unspecified"
"21","demographic data","Demographic"
"22","data","Unspecified"
"22","data","Unspecified"
"22","any data","Unspecified"
"22","any data","Unspecified"
"23","information about your location","Location"
"23","information about your location","Location"
"23","information about your location","Location"
"23","your location information","Location"
"24","any and all information","Unspecified"
"24","any and all information","Unspecified"
"24","any and all information","Unspecified"
"24","any and all information","Unspecified"
"27","personally identifiable information","Generic personal information"
"27","personally identifiable information","Generic personal information"
"28","about your use of the Services and visits to other web sites and services","User online activities"
