"5","your Personal Information and Other Information","Generic personal information"
"6","""Personal Information"" we mean information that would allow someone to identify you or contact you, such as your full name, postal address, e-mail address or telephone number.","Contact"
"6","""Other Information"", we mean any information other than Personal Information that may be collected about you (Personal Information and Other Information, together, the ""Information"").","Other"
"7","email address","Contact"
"7","and date of birth","Demographic"
"7","email address","Contact"
"7","date of birth","Demographic"
"8","you may be required to provide your email address, date of birth and zip code separate from any user registration.","Contact"
"8","in addition to your name and contact information, we will also collect and may maintain your billing address, shipping address, Product selections, your credit card or other payment instrument information, your order number","Financial"
"8","and information about your computer's internet address and website which may have referred or directed you to the Site (e.g., the referring URL)","Computer information"
"8","in addition to your name and contact information,","Contact"
"8","email address,","Contact"
"8","date of birth","Demographic"
"8","zip code","Location"
"8","ame and contact information","Contact"
"8","credit card or other payment instrument information","Financial"
"8","computer's internet address and website which may have referred or directed you to the Site (e.g., the referring URL).","Computer information"
"9","your first and last name, street address, city, state and zip code, email address, telephone number and date of birth. Additional Information may be requested depending on the specific Promotion, but submission of such Information may be optional.","Contact"
"9","your first and last name, street address, city, state and zip code, email address, telephone number","Contact"
"9","date of birth.","Demographic"
"10","counting page views, promotion views or advertising responses.","User online activities"
"10","""Cookies"" (which may be html files, Flash files or other technology) are text files that help store user preferences and activity. ""Web beacons"" (also known as image tags, gif or web bugs) are small pieces of code used to collect advertising data,","Cookies and tracking elements"
"10","counting page views, promotion views or advertising responses.","User online activities"
"11","These Tracking Technologies collect ""click stream"" data and additional Other Information regarding your visits to the Site, such as your visits to the Site's webpages, use of our features, and purchasing history or preferences","User online activities"
"11","These Tracking Technologies collect ""click stream"" data and additional Other Information regarding your visits to the Site, such as your visits to the Site's webpages, use of our features, and purchasing history or preferences","User online activities"
"11","These Tracking Technologies collect ""click stream"" data and additional Other Information regarding your visits to the Site, such as your visits to the Site's webpages, use of our features, and purchasing history or preferences","User online activities"
"11","and may also collect your IP address or some other identifier unique to the Device you use to access the Site (""Identifier""). An Identifier is automatically assigned to any Device you use to access the Site.","IP address and device IDs"
"11","collect ""click stream"" data and additional Other Information regarding your visits to the Site, such as your visits to the Site's webpages, use of our features, and purchasing history or preferences","User online activities"
"11","collect your IP address or some other identifier unique to the Device you use to access the Site","IP address and device IDs"
"11","collect ""click stream"" data and additional Other Information regarding your visits to the Site, such as your visits to the Site's webpages, use of our features, and purchasing history or preferences","User online activities"
"11","collect your IP address or some other identifier unique to the Device you use to access the Site","IP address and device IDs"
"11","collect ""click stream"" data and additional Other Information regarding your visits to the Site, such as your visits to the Site's webpages, use of our features, and purchasing history or preferences","User online activities"
"11","collect your IP address or some other identifier unique to the Device you use to access the Site","IP address and device IDs"
"11","collect ""click stream"" data and additional Other Information regarding your visits to the Site, such as your visits to the Site's webpages, use of our features, and purchasing history or preferences","User online activities"
"11","collect your IP address or some other identifier unique to the Device you use to access the Site","IP address and device IDs"
"11","collect ""click stream"" data and additional Other Information regarding your visits to the Site, such as your visits to the Site's webpages, use of our features, and purchasing history or preferences","User online activities"
"11","collect your IP address or some other identifier unique to the Device you use to access the Site","IP address and device IDs"
"11","collect ""click stream"" data and additional Other Information regarding your visits to the Site, such as your visits to the Site's webpages, use of our features, and purchasing history or preferences","User online activities"
"11","collect your IP address or some other identifier unique to the Device you use to access the Site","IP address and device IDs"
"12","these Tracking Technologies","Cookies and tracking elements"
"13","your visits to the Site and other websites you have visited","User online activities"
"14","Tracking Technologies","Cookies and tracking elements"
"15","Information","Unspecified"
"16","the Personal Information","Generic personal information"
"17","we may send you an email","Contact"
"18","Processing your registration with the Site, such as verifying that your e-mail address","User profile"
"18","e-mail address","Contact"
"25","Saving your User ID or other Personal Information","Other"
"27","the Personal Information.","Generic personal information"
"27","For other purposes disclosed at the time you provide the Personal Information.","Unspecified"
"28","Keeping count of your return visits to the Site or our Parent Companies', Affiliates', Advertisers' or partners' sites;","User online activities"
"28","connection with the Site and user activity;","User online activities"
"28","Determining which features, webpages, products and services users like best to, among other things, help us operate the Site,","Unspecified"
"28","Determining which features, webpages, products and services users like best to, among other things, help us operate the Site,","Unspecified"
"28","Determining which features, webpages, products and services users like best to, among other things, help us operate the Site,","Unspecified"
"28","Determining which features, webpages, products and services users like best to, among other things, help us operate the Site,","Unspecified"
"28","Determining which features, webpages, products and services users like best to, among other things, help us operate the Site,","Unspecified"
"28","Determining which features, webpages, products and services users like best to, among other things, help us operate the Site,","Unspecified"
"28","Keeping count of your return visits","User online activities"
"28","in connection with the Site and user activity;","User online activities"
"28","Determining which features, webpages, products and services users like best to, among other things,","User online activities"
"28","Allowing you to participate in the public areas and/or other features of the Site","User profile"
"28","Improving the Site or our services and for internal business purposes","Unspecified"
"28","Saving certain Other Information","Other"
"29","Tracking Technologies","Cookies and tracking elements"
"29","Tracking Technologies","Cookies and tracking elements"
"29","Tracking Technologies","Cookies and tracking elements"
"30","E-mail","Contact"
"31","receiving any or all newsletters and other editorial-based e-mails","Contact"
"32","receiving text messages.","Contact"
"32","receiving text messages.","Contact"
"33","contact you","Contact"
"33","contact you","Contact"
"33","contact you","Contact"
"34","Tracking Technologies","Cookies and tracking elements"
"35","Information about you","Unspecified"
"36","Other Information","Other"
"37","Other Information","Unspecified"
"38","are ""cookie based."" This means that the tools rely on cookies to remember your choices with respect to the use of your information by the parties that offer you those choices.","Cookies and tracking elements"
"38","are ""cookie based."" This means that the tools rely on cookies to remember your choices with respect to the use of your information by the parties that offer you those choices.","Cookies and tracking elements"
"38","Tracking Technologies","Cookies and tracking elements"
"39","PLEASE NOTE THAT THE USE AND STORAGE OF FLASH COOKIES TYPICALLY CANNOT BE CONTROLLED THROUGH YOUR BROWSER. PLEASE SEE BELOW FOR INFORMATION ON HOW TO MANAGE FLASH COOKIES.","Cookies and tracking elements"
"41","You can prevent the use of certain Tracking Technologies","Cookies and tracking elements"
"42","cookie or most other Tracking Technologies is being set (other than Flash cookies)","Cookies and tracking elements"
"44","Tracking Technologies","Cookies and tracking elements"
"45","Flash Cookies","Cookies and tracking elements"
"46","user's telephone number or a wireless email address","Contact"
"46","user's preferences regarding goods or services, choices of music or artists, or other similar survey information","Survey data"
"46","Internet email address","Contact"
"46","include a user's telephone number or a wireless email address, but only if specifically requested, and the carrier's name.","Contact"
"46","Depending on the Promotion, we may also collect an Internet email address or other Information and, depending on the Information collected, the user may also be required to confirm his or her agreement to this Privacy Policy and the Terms of Use Agreement.","Other"
"49","wireless marketing services","Unspecified"
"50","text message to a designated telephone number","Contact"
"50","text message","Contact"
"51","submitting a telephone number","Contact"
"51","sending of wireless messages to his or her designated wireless device by submitting a telephone number (or wireless email address","Contact"
"52","text message to a designated telephone number","Contact"
"54","one or more services via his or her wireless device at any time by using the unsubscribe mechanism provided by Latin Post at the time the message is sent, or by sending a text message that says ""STOP"", ""END"", ""CANCEL"", ""REMOVE"", ""UNSUBSCRIBE"" or ""QUIT"".","Contact"
"55","terminate its offer of any specific wireless marketing service or all wireless marketing services at any time without advance notice.","Unspecified"
"56","wireless telephone number, wireless or conventional Internet email address,","Contact"
"56","Latin Post will not use a wireless telephone number, wireless or conventional Internet email address, or other Information submitted for its wireless marketing services","Contact"
"56","any Personal Information","Generic personal information"
"56","Personal Information","Generic personal information"
"57","your Personal Information","Generic personal information"
"58","Personal Information","Generic personal information"
"59","Certain Personal Information associated with a Posting may be intended for disclosure (""Posting Information""), such as username.","User Profile"
"60","your Personal Information","Generic personal information"
"60","your Personal Information","Generic personal information"
"61","your Personal Information and Other Information","Generic personal information"
"62","your Personal Information and Other Information","Generic personal information"
"66","your Personal Information","Generic personal information"
"69","Other Information","Other"
"78","your Personal Information","Generic personal information"
"78","your Personal Information","Generic personal information"
"7","user name and password","User profile"
"7","other Information","Unspecified"
"7","email address","Contact"
"7","date of birth","Demographic"
"8","certain Information","Unspecified"
"8","certain Information","Unspecified"
"8","your email address,","Contact"
"8","date of birth","Demographic"
"8","zip code","Location"
"8","name and contact information","Contact"
"8","billing address, shipping address, Product selections, your credit card or other payment instrument information, your order number","Financial"
"8","information about your computer's internet address","IP address and device IDs"
"8","website which may have referred or directed you to the Site (e.g., the referring URL)","Computer information"
"9","your first and last name, street address, city, state and zip code, email address, telephone number","Contact"
"9","date of birth","Demographic"
"9","zip code","Location"
"9","Additional Information","Unspecified"
"9","receive special Promotions or offers","Contact"
"9","receive special Promotions or offers","Contact"
"10","""cookies"", ""web beacons"" and other similar tracking technologies (collectively, ""Tracking Technologies"")","Cookies and tracking elements"
"10","""cookies"", ""web beacons"" and other similar tracking technologies (collectively, ""Tracking Technologies"")","Cookies and tracking elements"
"10","""cookies"", ""web beacons"" and other similar tracking technologies (collectively, ""Tracking Technologies"")","Cookies and tracking elements"
"10","""cookies"", ""web beacons"" and other similar tracking technologies (collectively, ""Tracking Technologies"")","Cookies and tracking elements"
"10","""cookies"", ""web beacons"" and other similar tracking technologies (collectively, ""Tracking Technologies"")","Cookies and tracking elements"
"10","""cookies"", ""web beacons"" and other similar tracking technologies (collectively, ""Tracking Technologies"")","Cookies and tracking elements"
"10","""cookies"", ""web beacons"" and other similar tracking technologies (collectively, ""Tracking Technologies"")","Cookies and tracking elements"
"10","""cookies"", ""web beacons"" and other similar tracking technologies (collectively, ""Tracking Technologies"")","Cookies and tracking elements"
"11","Tracking Technologies","Cookies and tracking elements"
"11","Tracking Technologies","Cookies and tracking elements"
"11","Tracking Technologies","Cookies and tracking elements"
"11","Tracking Technologies","Cookies and tracking elements"
"11","Tracking Technologies","Cookies and tracking elements"
"11","Tracking Technologies","Cookies and tracking elements"
"11","Tracking Technologies","Cookies and tracking elements"
"11","Tracking Technologies","Cookies and tracking elements"
"11","Tracking Technologies","Cookies and tracking elements"
"11","Tracking Technologies","Cookies and tracking elements"
"11","""click stream"" data and additional Other Information regarding your visits to the Site, such as your visits to the Site's webpages, use of our features, and purchasing history","User online activities"
"11","preferences","User profile"
"11","IP address","IP address and device IDs"
"11","some other identifier unique to the Device you use to access the Site (""Identifier"")","Computer information"
"11","Your Personal Information","Generic personal information"
"12","Tracking Technologies","Cookies and tracking elements"
"12","Tracking Technologies","Cookies and tracking elements"
"12","Tracking Technologies","Cookies and tracking elements"
"12","Tracking Technologies","Cookies and tracking elements"
"13","your visits to the Site and other websites you have visited.","User online activities"
"13","your visits to the Site and other websites you have visited.","User online activities"
