"2","not limited to:","Unspecified"
"2","Full name,","Contact"
"2","Street address,","Location"
"2","Birth date,","Demographic"
"2","Payment card information,","Financial"
"2","Other personal data as detailed in this Privacy Policy and data that may be requested from and provided by you.","Generic personal information"
"2","Full name, Email address, Password, Street address, Telephone number(s), Birth date,","Contact"
"2","Payment card information","Financial"
"2","Location data","Location"
"2","Other personal data as detailed in this Privacy Policy and data that may be requested from and provided by you.","Other"
"2","Full name, Email address, Password, Street address, Telephone number(s),","Contact"
"2","Birth date,","Personal identifier"
"2","Location data,","Location"
"2","Payment card information","Financial"
"3","information","Generic personal information"
"4","information","Generic personal information"
"4","personal information","Generic personal information"
"4","personal information","Generic personal information"
"4","personal information","Generic personal information"
"4","personal information","Generic personal information"
"4","personal information","Generic personal information"
"4","personal information","Generic personal information"
"5","informatio","Generic personal information"
"5","informatio","Generic personal information"
"5","informatio","Generic personal information"
"5","information","Unspecified"
"5","information","Unspecified"
"6","your information to send you electronic communications","Contact"
"6","your information to send you electronic communications","Contact"
"7","personal information,","Generic personal information"
"7","personal information,","Generic personal information"
"7","information","Generic personal information"
"7","information","Generic personal information"
"8","information","Generic personal information"
"8","information","Generic personal information"
"8","informatio","Generic personal information"
"8","informatio","Generic personal information"
"9","personal information for an economic transaction","Financial"
"9","information","Generic personal information"
"9","information","Generic personal information"
"9","personal information","Generic personal information"
"9","personal information","Generic personal information"
"9","information","Generic personal information"
"10","information","Generic personal information"
"10","information","Generic personal information"
"10","to send you periodic surveys to help improve our Services or your MLB experience","Survey data"
"11","information","Generic personal information"
"11","nformation","Generic personal information"
"12","information","Generic personal information"
"12","information","Generic personal information"
"13","Location","Location"
"13","Location","Location"
"13","Location","Location"
"13","location","Location"
"13","location","Location"
"13","collect your location data","Location"
"13","Location Data We Collect","Location"
"13","Location Data","Location"
"13","Location Data","Location"
"14","contacts list (","Contact"
"14","Contacts.","Other"
"14","your contacts list","Other"
"15","cookies","Cookies and tracking elements"
"15","personal informatio","Generic personal information"
"15","Internet protocol address","IP address and device IDs"
"15","email address","Contact"
"15","operating system type, version and computer or device platform;","Computer information"
"15","purchase history; the full Uniform Resource Locator clickstream to, on and from our Services, including date and time; and products you viewed or searched. We use software tools to measure and collect session information, including page response times, download errors, length of visits to certain pages, page interaction information","User online activities"
"15","cookies","Cookies and tracking elements"
"15","cookies","Cookies and tracking elements"
"15","personal information","Generic personal information"
"15","Internet protocol address used to connect your computer or device to the Internet;","IP address and device IDs"
"15","email address; login name and password;","Contact"
"15","operating system type, version and computer or device platform;","Computer information"
"15","purchase history;","User profile"
"15","he full Uniform Resource Locator clickstream to, on and from our Services, including date and time; and products you viewed or searched.","User online activities"
"15","cookies (small amounts of data which include a unique string of characters sent to your browser or application from a website's computers and stored on your computer's or device's hard drive), web beacons (technology used to track activity, also known as pixel tags) or similar technologie","Cookies and tracking elements"
"15","cookies","Cookies and tracking elements"
"16","cookies","Cookies and tracking elements"
"16","cookies, web beacons or similar technologies in certain locations within the Services or certain emails sent by us","Cookies and tracking elements"
"16","cookies, web beacons or similar technologies in certain locations within the Services or certain emails sent by us","Cookies and tracking elements"
"16","cookies,","Cookies and tracking elements"
"17","basic Social Network information,","Social media data"
"17","location","Location"
"17","list of contacts, friends or followers","Contact"
"17","certain of your activities on the Social Network","User online activities"
"17","but is not limited to","Unspecified"
"17","technical information about your Services activity,","Unspecified"
"17","ervices comments or the videos you watch on our Service","User online activities"
"17","technical information about your Services activity, your Services comments or the videos you watch on our Services. Information we may access about you, with your consent, from a Social Network may include, but is not limited to, your basic Social Network information,","User Profile"
"17","your location data","Location"
"17","certain of your activities on the Social Network","User online activities"
"17","ublish information about your activity on our Services,","User online activities"
"17","your Social Network information","Social media data"
"17","technical information about your Services activity, your Services comments or the videos you watch on our Services.","User online activities"
"18","nique device ID","IP address and device IDs"
"18","nique device ID","IP address and device IDs"
"18","device ID","IP address and device IDs"
"18","device ID","IP address and device IDs"
"18","unique device ID","IP address and device IDs"
"18","nique device ID","IP address and device IDs"
"18","nique device ID","IP address and device IDs"
"18","unique device ID","IP address and device IDs"
"18","unique device ID","IP address and device IDs"
"19","demographic information","Demographic"
"19","demographic information","Demographic"
"19","demographic information","Demographic"
"21","ersonal and non-personal information","Generic personal information"
"21","ersonal and non-personal information","Generic personal information"
"21","personal","Generic personal information"
"21","non-personal information","Other"
"21","personal","Generic personal information"
"21","on-personal information i","Other"
"21","personal","Generic personal information"
"21","non-personal information","Other"
"23","cookies","Cookies and tracking elements"
"23","local shared objects or Flash cookies,","Cookies and tracking elements"
"23","collected through the use of cookie","Cookies and tracking elements"
"23","cookies,","Cookies and tracking elements"
"23","cookies,","Cookies and tracking elements"
"25","information publicly online,","User online activities"
"30","payment card number along with personal information in connection with a purchase","Financial"
"30","equire the submission of personal information to access or use the Services.","Generic personal information"
"30","personal information","Generic personal information"
