"3","personal information","Generic personal information"
"3","personal information","Generic personal information"
"3","information","Generic personal information"
"3","information","Generic personal information"
"3","information","Generic personal information"
"3","personal information","Generic personal information"
"3","personal information","Generic personal information"
"3","personal information","Generic personal information"
"5","name, e-mail address, year of birth,","Contact"
"5","gender,","Demographic"
"5","street address","Location"
"5","related information.","Generic personal information"
"5","payment information","Financial"
"5","your name, e-mail address, year of birth, gender, street address, job title and industry and related information","Contact"
"5","payment information","Financial"
"5","our name, e-mail address","Contact"
"5","payment information, such as your credit card number and expiration date,","Financial"
"6","omment on articles, participate in message boards, and submit images, photos, videos, or other content to the Services.","User online activities"
"6","additional information","Generic personal information"
"6","you comment on articles, participate in message boards, and submit images, photos, videos, or other content","User profile"
"6","additional information","Generic personal information"
"6","additional information","Generic personal information"
"7","Device information","IP address and device IDs"
"7","Usage information","User online activities"
"7","cookies and similar technologies","Cookies and tracking elements"
"7","Location information","Location"
"7","Device informationsuch as your hardware model, IP address, other unique device identifiers, operating system version, and settings of the device you use to access the Services.","IP address and device IDs"
"7","Usage informationsuch as information about the Services you use, the time and duration of your use of the Services and other information about your interaction with content offered through a Service","User online activities"
"7","any information stored in cookies and similar technologies that we have set on your device.","Cookies and tracking elements"
"7","Location information","Location"
"7","P address, other unique device identifiers","IP address and device IDs"
"7","information about the Services you use, the time and duration of your use of the Services and other information about your interaction with content offered through a Service","User online activities"
"7","any information stored in cookies and similar technologies that we have set on your device. For detailed information about our use of cookies, web beacons, and other technologies, see Online Tracking and Advertising","Cookies and tracking elements"
"8","information","Generic personal information"
"8","information","Generic personal information"
"8","information","Generic personal information"
"8","information about you from a social media site","Social media data"
"9","information about you,","Generic personal information"
"9","device,","IP address and device IDs"
"9","use of the services","User online activities"
"9","certain types of information","Generic personal information"
"9","other information about you","Generic personal information"
"9","your device","IP address and device IDs"
"9","your use of the services","User online activities"
"9","information about you, your device, or your use of the services","Generic personal information"
"10","Information","Generic personal information"
"10","Information","Generic personal information"
"10","Information","Generic personal information"
"10","Information","Generic personal information"
"10","Information","Generic personal information"
"10","Information","Generic personal information"
"11","To Contact You.","Contact"
"12","ur information","Generic personal information"
"12","your information","Generic personal information"
"12","your information","Generic personal information"
