"0","information (your name, e-mail address, street address, telephone number)","Contact"
"0","information (your name, e-mail address, street address, telephone number)","Contact"
"1","personal information","Generic personal information"
"1","personal information","Generic personal information"
"2","include","Other"
"2","first and last name,","Contact"
"2","Internet Protocol address,","IP address and device IDs"
"2","zip code","Location"
"2","gender","Demographic"
"3","""cookies"" and ""clickstream data.""","Cookies and tracking elements"
"4","associated with your computer's IP address","IP address and device IDs"
"4","clickstream data","Other"
"5","information","Generic personal information"
"6","personal contact information, including your e-mail address","Contact"
"6","your personal contact information","Contact"
"6","your personal contact information","Contact"
"7","Personal information","Generic personal information"
"7","Personal information","Generic personal information"
"7","Personal information","Generic personal information"
"8","postal address","Contact"
"9","information","Unspecified"
"9","information","Unspecified"
"9","information","Unspecified"
"10","personal information","Generic personal information"
"10","receive e-mail messages from Washingtonian.com","Other"
"15","unique cookie","Cookies and tracking elements"
"0","personally identifiable information","Generic personal information"
"1","The information","Unspecified"
"1","personal information","Generic personal information"
"1","personal information","Generic personal information"
"1","personal information","Generic personal information"
"2","personal information","Generic personal information"
"2","first and last name, Internet Protocol address, zip code, mailing address, e-mail address, gender, and phone number.","Contact"
"2","Internet Protocol address","IP address and device IDs"
"2","gende","Demographic"
"3","through the use of electronic tools such as ""cookies"" and ""clickstream data.","Cookies and tracking elements"
"3","cookies","Cookies and tracking elements"
"4","the web pages within our site that your computer visits","User online activities"
"4","clickstream data","Other"
"4","This clickstream data","Other"
"5","any information","Unspecified"
"5","information","Unspecified"
"5","information","Unspecified"
"5","information","Unspecified"
"5","information","Unspecified"
"6","contact information, including your e-mail address","Contact"
"6","your personal contact information","Contact"
"6","your personal contact information","Contact"
"6","your personal contact information","Contact"
"7","Personal information","Generic personal information"
"7","Personal information","Generic personal information"
"7","such information","Unspecified"
"8","your registration information, including your name and e-mail address","Contact"
"8","lists containing your postal address","Contact"
"9","information about our subscribers and website visitors","Unspecified"
"9","your information","Unspecified"
"9","your information","Unspecified"
"10","r personal information","Generic personal information"
"10","e-mail","Contact"
"11","personal information","Generic personal information"
"14","information about visits to this site, such as the number of times visitors clicked on a particular advertisement","User online activities"
"14","visitors' names, addresses,","Contact"
"14","other personal information.","Generic personal information"
"15","Cookies","Cookies and tracking elements"
"15","cookies","Cookies and tracking elements"
"0","your name, e-mail address, street address, telephone number","Contact"
"1","personal information","Generic personal information"
"2","your first and last name, Internet Protocol address, zip code, mailing address, e-mail address, gender, and phone number.","Contact"
"2","Internet Protocol address","IP address and device IDs"
"3","through the use of electronic tools such as ""cookies"" and ""clickstream data.""","Cookies and tracking elements"
"4","your computer's IP address","IP address and device IDs"
"5","any information","Generic personal information"
"6","including your e-mail address","Contact"
"7","Personal information","Generic personal information"
"7","Personal information","Generic personal information"
"8","registration information, including your name and e-mail address","Contact"
"9","information about our subscribers and website visitors","Generic personal information"
"9","information about our subscribers and website visitors","Generic personal information"
"10","personal information","Generic personal information"
"15","unique cookie on your browser","Cookies and tracking elements"
