"2","contact information","Contact"
"2","personal information","Generic personal information"
"2","personal information","Generic personal information"
"2","personal information","Generic personal information"
"2","personal information","Generic personal information"
"2","personal information","Generic personal information"
"2","personal information","Generic personal information"
"2","personal information","Generic personal information"
"2","personal information","Generic personal information"
"2","personal information","Generic personal information"
"3","personal information","Generic personal information"
"3","personal information","Generic personal information"
"3","order information","Unspecified"
"3","order information","Unspecified"
"3","your order information","Financial"
"5","return e-mail addresses","Contact"
"5","e-mail","Contact"
"5","e-mail","Contact"
"5","your e-mail","Contact"
"5","your e-mail","Contact"
"5","return e-mail addresses","Contact"
"6","Cookies"" are small bits of text that are either used for the duration of a session (""session cookies""), or saved on a user's hard drive in order to identify that user, or information about that user, the next time the user logs on to a website (""persistent cookies"").","Cookies and tracking elements"
"6","Cookies"" are small bits of text that are either used for the duration of a session (""session cookies""), or saved on a user's hard drive in order to identify that user, or information about that user, the next time the user logs on to a website (""persistent cookies"").","Cookies and tracking elements"
"7","personally identifiable information","Generic personal information"
"7","any information","Unspecified"
"7","any information","Unspecified"
"7","cookies","Cookies and tracking elements"
"8","Answers to the survey","Unspecified"
"8","persistent cookies","Cookies and tracking elements"
"9","the visitor had the opportunity to answer the survey questions","Other"
"9","Cookies","Cookies and tracking elements"
"9","Block the repeated delivery of the survey either in the current visit or in any subsequent visit Record only that the visitor had the opportunity to answer the survey questions Expire 60 days after being set Reduce the burden on visitors to the site by avoiding repeated delivery of the pop-up survey","Survey data"
"10","Collect any information about visitors Track the web surfing activities of visitors Indicate whether a visitor answered any questions Link a particular visitor to any response of set of responses to the survey","User online activities"
"11","so users can retrieve searches or user-defined preferences, or data marked as a favorite. This feature creates a storage file on the user's local hard drive that holds links to the resources from the website that the individual user previously searched or identified as a preference or favorite.","User online activities"
"13","personally identifiable information (PII)","Generic personal information"
"13","personally identifiable information (PII)","Generic personal information"
"13","personally identifiable information (PII)","Generic personal information"
"16","documents and records","Unspecified"
"17","Social Security number,","Personal identifier"
"17","Social Security number","Personal identifier"
"17","personally identifiable information","Generic personal information"
"18","PII.","Generic personal information"
"20","The name of the Internet domain (for example, ""xcompany.com"" if you use a private Internet access account, or ""yourschool.edu"" if you are connecting from a university's domain); The IP address (a number that is automatically assigned to your computer when you are using the Internet) from which you access our site;","IP address and device IDs"
"20","The type of browser and operating system used to access our site; The date and time you access our site;","Computer information"
"20","country and state from which you access our site;","Location"
"20","The pages you visit and the information you request; and Search terms used to get to our website from an external search engine and terms used on our site using our search engine.","User online activities"
"20","The type of browser and operating system used to access our site;","Computer information"
"20","The name of the Internet domain (for example, ""xcompany.com"" if you use a private Internet access account, or ""yourschool.edu"" if you are connecting from a university's domain);","User online activities"
"21","information","Unspecified"
"21","information we collect for statistical analysis and technical improvements","Other"
"21","questions, comments, and other communications that we receive","User profile"
"21","This information","Unspecified"
"21","The information","Unspecified"
"21","questions, comments, and other communications","User profile"
"21","based on this information","Unspecified"
"22","e-mail address and username are required","Contact"
"22","other information is optional but may be needed to complete specific tasks","Unspecified"
"22","An e-mail address and username are required; other information is optional but may be needed to complete specific tasks.","User profile"
"22","An e-mail address and username are required; other information is optional but may be needed to complete specific tasks.","User profile"
"23","email address and username","Contact"
"23","we may use your email address and username to contact you","Contact"
"1","any personal information","Generic personal information"
"2","information about yourself","Generic personal information"
"2","contact","Contact"
"2","contact","Contact"
"2","any personal information","Generic personal information"
"2","payment for a transaction","Financial"
"2","personal information","Generic personal information"
"2","personal information","Generic personal information"
"2","personal information","Generic personal information"
"2","personal information","Generic personal information"
"2","donation","Financial"
"3","personal information","Generic personal information"
"3","personal information","Generic personal information"
"3","credit card information","Financial"
"3","credit card information","Financial"
"3","order information","Financial"
"5","your e-mail","Contact"
"5","your e-mail","Contact"
"6","the information in the cookie","Cookies and tracking elements"
"6","the information in the cookie","Cookies and tracking elements"
"6","the information in the cookie","Cookies and tracking elements"
"7","personally identifiable information","Generic personal information"
"7","any information we collect","Unspecified"
"7","cookies","Cookies and tracking elements"
"8","persistent cookies","Cookies and tracking elements"
"8","survey","Survey data"
"9","Cookies","Cookies and tracking elements"
"10","Cookies","Cookies and tracking elements"
"11","searches or user-defined preferences, or data marked as a favorite.","User profile"
"11","user-defined preferences, or data marked as a favorite.","User Profile"
"11","searches or user-defined preferences, or data marked as a favorite.","User profile"
"13","personally identifiable information (PII)","Generic personal information"
"17","personally identifiable information","Generic personal information"
"17","Social Security number","Personal identifier"
"18","the removed PII","Generic personal information"
"19","information in those profiles","User Profile"
"20","The name of the Internet domain","User online activities"
"20","The IP address","IP address and device IDs"
"20","The type of browser and operating system used","Computer information"
"20","The country and state","Location"
"20","Search terms","User online activities"
"20","terms used on our site","User online activities"
"21","The information we collect","Unspecified"
"21","questions, comments, and other communications that we receive","User profile"
"21","This information","Unspecified"
"21","this information,","Unspecified"
"21","including your identity,","Personal identifier"
"22","personal information","Generic personal information"
"22","An e-mail address","Contact"
"22","username","User profile"
"22","personal information","Generic personal information"
"22","personal information","Generic personal information"
"22","personal information","Generic personal information"
"23","email address and username","Contact"
"24","We do not use ""cookies"" to do this, nor do we read anything on your computer other than your browser's capabilities.","Computer information"
"24","whether your browser has the needed capabilities provided by these plug-ins.","Computer information"
"38","Our system does not read or place anything on your hard drive when recognizing your browser's capabilities.","Computer information"
"51","unauthorized attempts to upload or change information, or otherwise cause damage.","User online activities"
"51","unauthorized attempts to upload or change information, or otherwise cause damage","User online activities"
"51","unauthorized attempts to upload or change information, or otherwise cause damage","User online activities"
