"2","information","Unspecified"
"2","information","Unspecified"
"2","information","Unspecified"
"2","information","Unspecified"
"5","information","Unspecified"
"5","information","Unspecified"
"5","information","Unspecified"
"6","Information","Unspecified"
"6","a Google Account","User profile"
"6","for personal information","Generic personal information"
"6","your name, email address, telephone number","Contact"
"6","credit card","Financial"
"6","Google Profile, which may include your name and photo.","User profile"
"7","about the services that you use and how you use them, like when you watch a video on YouTube, visit a website that uses our advertising services, or view and interact with our ads and content.","User online activities"
"7","about the services that you use and how you use them, like when you watch a video on YouTube, visit a website that uses our advertising services, or view and interact with our ads and content.","User online activities"
"8","device-specific information (such as your hardware model, operating system version","Computer information"
"8","unique device identifiers, and mobile network information including","IP address and device IDs"
"8","phone number","Contact"
"9","certain information","Unspecified"
"9","details of how you used our service, such as your search queries.","User online activities"
"9","telephony log information like your phone number, calling-party number, forwarding numbers, time and date of calls, duration of calls, SMS routing information and types of calls.","Other"
"9","Internet protocol address.","IP address and device IDs"
"9","device event information such as crashes, system activity, hardware settings, browser type, browser language, the date and time of your request and referral URL.","Computer information"
"9","cookies that may uniquely identify your browser or your Google Account.","Cookies and tracking elements"
"10","information about your actual location.","Location"
"10","including IP address","IP address and device IDs"
"10","and other sensors that may, for example, provide Google with information on nearby devices, Wi-Fi access points and cell towers","Other"
"11","include a unique application number. This number and information about your installation","Other"
"11","the operating system type and application version number","Computer information"
"12","information","Unspecified"
"12","personal information","Generic personal information"
"13","information","Unspecified"
"13","and this may include using cookies or similar technologies to identify your browser or device.","Cookies and tracking elements"
"13","information","Unspecified"
"13","information","Unspecified"
"13","with information about visits to multiple sites.","User online activities"
"13","and this may include using cookies or similar technologies to identify your browser or device.","Cookies and tracking elements"
"15","the information","Unspecified"
"15","the information","Unspecified"
"15","the information","Unspecified"
"15","the information","Unspecified"
"15","the information","Unspecified"
"16","the name","Contact"
"16","your publicly visible Google Profile information, such as your name and photo.","User Profile"
"17","your Profile name, Profile photo,","User Profile"
"17","your Profile name, Profile photo,","User Profile"
"17","your Profile name, Profile photo,","User Profile"
"17","and actions you take on Google or on third-party applications connected to your Google Account (such as +1's, reviews you write and comments you post)","Other"
"18","of your communication","Other"
"18","your email address","Contact"
"19","from cookies and other technologies, like pixel tags","Cookies and tracking elements"
"19","by saving your language preferences","Other"
"20","content","Unspecified"
"20","content","Unspecified"
"20","including emails","Contact"
"20","including emails","Contact"
"22","information","Unspecified"
"24","of personal information","Generic personal information"
"24","certain types of information tied to your Google Account","User profile"
"24","your preferences about the Google ads shown to you on Google and across the web, such as which categories might interest you","Other"
"24","You can also opt out of certain Google advertising services here.","Unspecified"
"24","information","Unspecified"
"24","Profile name and Profile photo","User profile"
"25","to block all cookies, including cookies associated with our services, or to indicate when a cookie is being set by us.","Cookies and tracking elements"
"30","personal information","Generic personal information"
"31","personal information","Generic personal information"
"31","of any sensitive personal information.","Other"
"32","to your Google Account information (including your email and other data)","Other"
"32","email","Contact"
"32","view statistics regarding your account, like statistics regarding applications you install.","Other"
"32","account","User Profile"
"32","information","Unspecified"
"32","receive your account information","User Profile"
"32","ability to delete or edit information or privacy settings.","User online activities"
"33","personal information","Generic personal information"
"33","personal information","Generic personal information"
"34","personal information","Generic personal information"
"34","personal information","Generic personal information"
"35","information","Unspecified"
"35","information","Unspecified"
"35","information","Unspecified"
"35","information","Unspecified"
"36","personal information","Generic personal information"
"2","information","Generic personal information"
"4","IP addresses","IP address and device IDs"
"4","cookies, IP addresses, pixel tags and browsers,","Cookies and tracking elements"
"5","information","Generic personal information"
"6","like your name, email address, telephone number","Contact"
