"1","personal identifiable information","Generic personal information"
"1","personal identifiable information","Generic personal information"
"1","personal identifiable information","Generic personal information"
"1","personal identifiable information","Generic personal information"
"1","personal identifiable information","Generic personal information"
"2","your email information","Contact"
"2","data","Unspecified"
"2","email information","Contact"
"2","Any other data","Unspecified"
"1","Any and all personal identifiable information collected from our customers","Generic personal information"
"1","Any and all personal identifiable information collected from our customers","Generic personal information"
"2","email information","Contact"
