"1","domain name, operating system, and web browser version","Computer information"
"1","the consumer's domain name, operating system, and web browser version","Computer information"
"1","e-mail address","Contact"
"1","Cookies","Cookies and tracking elements"
"1","personal information","Generic personal information"
"1","or your interaction with the Web site.","User online activities"
"1","only the consumer's domain name, operating system, and web browser version","Computer information"
"1","the e-mail address","Contact"
"1","personal information","Generic personal information"
"1","information","Unspecified"
