"1","non-personal information about your visits to our website, and your interaction with our products and services","User online activities"
"1","Cookies and Web Beacons","Cookies and tracking elements"
"2","personal information","Generic personal information"
"2","name, address, postal code, phone number, etc.","Contact"
"3","name, address, email address","Contact"
"3","any transactions you conduct on our website","User online activities"
"3","offline with us","Other"
"5","information","Unspecified"
"1","non-personal information","Generic personal information"
"2","name, address, postal code, phone number, etc","Contact"
"3","ncluding your name, address, email address","Contact"
"3","transactions you conduct on our website or offline with us","Other"
"4","included in our mailings","Contact"
"5","use of your information","Generic personal information"
"2","personal information","Generic personal information"
"2","name, address, postal code, phone number","Contact"
"3","non-personal information","Unspecified"
"3","name, address, email address","Contact"
"3","any transactions you conduct on our website","User online activities"
"3","or offline with us","Other"
"4","mailings","Contact"
"5","information","Unspecified"
