"2","some information","Unspecified"
"2","email addresses and other contact information","Contact"
"2","parent contact information","Contact"
"2","parent consent","Other"
"3","general, aggregated information","Unspecified"
"3","general, aggregated information","Unspecified"
"3","first name or screen name","Contact"
"3","age, city/state/country, special interests, etc","Demographic"
"4","information regarding site traffic","Other"
"4","information compiled","Other"
"5","personally identifiable information (such as full name, email address, school, etc.)","Generic personal information"
"5","personally identifiable information (such as full name, email address, school, etc.)","Generic personal information"
"5","personally identifiable information","Generic personal information"
"5","personally identifiable information","Generic personal information"
"6","and you may also refuse to allow any further collection or use of your child's personal information.","Unspecified"
"7","such information","Generic personal information"
"9","credit card number","Financial"
"2","email addresses and other contact information","Contact"
"3","age, city/state/country, special interests","Demographic"
"4","site traffic to determine the number of visitors to any of the Sally Ride Science websites, how long each visitor stayed, what pages of the site were visited and other general information","User online activities"
"5","such as full name, email address, school, etc.","Demographic"
"2","some information about your daughter or son,","Unspecified"
"2","email addresses and other contact information","Contact"
"3","information","Unspecified"
"3","information","Unspecified"
"3","first name or screen name","Contact"
"3","first name or screen name","Contact"
"3","age","Demographic"
"3","age","Demographic"
"3","city/state/country","Location"
"3","city/state/country","Location"
"3","special interests","User Profile"
"3","special interests","User Profile"
"4","information regarding site traffic","User online activities"
"4","other general information,","Unspecified"
"4","information compiled from traffic reports","User online activities"
"4","information","Unspecified"
"5","personally identifiable information","Generic personal information"
"5","full name, email address,","Contact"
"5","school","Other"
"5","personally identifiable information","Generic personal information"
"5","personally identifiable information","Generic personal information"
"6","your child's personal information.","Generic personal information"
"6","your child's personal information.","Generic personal information"
"7","account information","User profile"
"9","credit card number","Financial"
