"1","information","Unspecified"
"1","user login information","User profile"
"1","do use cookies to store user login information","Cookies and tracking elements"
"1","use cookies to store user login information","Cookies and tracking elements"
"1","cookies","Cookies and tracking elements"
"1","cookies","Cookies and tracking elements"
"3","personally identifying information","Generic personal information"
"3","personally identifying information","Generic personal information"
"3","personally-identifiable information","Generic personal information"
"3","personally identifying information,","Generic personal information"
"3","personally identifying information","Generic personal information"
"3","personally-identifiable information","Generic personal information"
"3","your message","User online activities"
"3","personally-identifiable information","Generic personal information"
"3","personally-identifiable information","Generic personal information"
"4","information","Unspecified"
"4","This information","Unspecified"
"4","information","Unspecified"
"4","nformation","Unspecified"
"4","This information","Unspecified"
"4","information","Unspecified"
"4","personally identifiable information","Generic personal information"
"4","personally identifiable information","Generic personal information"
"4","personally identifiable information","Generic personal information"
"5","information","Unspecified"
"5","log analysis","User online activities"
