"11","several types of information","Other"
"11","several types of information","Other"
"11","several types of information","Other"
"11","several types of information","Other"
"11","several types of information","Other"
"11","several types of information","Other"
"12","information by which you may be personally identified","Personal identifier"
"12","information by which you may be personally identified","Personal identifier"
"12","name, email address, or school","Contact"
"12","ame, email address, or school","Contact"
"12","may also be asked to provide a credit card number and other payment-related information","Financial"
"12","may also be asked to provide a credit card number and other payment-related information","Financial"
"12","information","Generic personal information"
"12","information","Generic personal information"
"13","Internet Protocol","IP address and device IDs"
"15","equipment, browsing actions, the resources that you access and use through the Services, your operating system and browser type.","Computer information"
"15","equipment, browsing actions, the resources that you access and use through the Services, your operating system and browser type.","Computer information"
"16","type of device you use and the operating system version","Computer information"
"16","type of device you use and the operating system version","Computer information"
"16","any location based information","Location"
"21","credit card data","Financial"
"26","your data","Other"
"28","information","Other"
"29","Personally Identifiable Information","Personal identifier"
"29","we must release your credit card information to the card-issuing","Financial"
"29","release your address information","Contact"
"29","provide order information","User online activities"
"30","Personally Identifiable Information","Personal identifier"
"30","Personally Identifiable Information","Personal identifier"
"30","Personally Identifiable Information","Personal identifier"
"30","Personally Identifiable Information","Personal identifier"
"31","Personally Identifiable Information","Personal identifier"
"31","Non-Personally Identifiable Information","Other"
"32","ustomers sales, traffic patterns, and related Website information","User online activities"
"34","information","Other"
"34","information","Other"
"38","past transactions","User online activities"
"38","information","Generic personal information"
"41","information","Generic personal information"
"41","information","Generic personal information"
"46","cookies","Cookies and tracking elements"
"48","personal information","Generic personal information"
"55","cookies","Cookies and tracking elements"
"55","cookies","Cookies and tracking elements"
"57","cookies","Cookies and tracking elements"
"58","cookies","Cookies and tracking elements"
"58","cookies","Cookies and tracking elements"
"58","cookies","Cookies and tracking elements"
"59","cookies","Cookies and tracking elements"
"61","cookies and clear gifs","Cookies and tracking elements"
"61","IP address","IP address and device IDs"
"61","Non-Personally Identifiable Information about you, such as your browser type, the server your computer is logged onto, the area code and zip code associated with your server","Computer information"
"61","whether you responded to a particular advertisement","User online activities"
"62","cookies","Cookies and tracking elements"
"62","cookies","Cookies and tracking elements"
"63","often you use the App, the events that occur within the App, aggregated usage, performance data, and where the App was downloaded from","User online activities"
"66","Personally Identifiable Information","Generic personal information"
"70","Personally Identifiable Information","Generic personal information"
"71","IP address","IP address and device IDs"
"71","which pages you are visiting on our Websites","User online activities"
"71","set cookies","Cookies and tracking elements"
"71","r IP address","IP address and device IDs"
"71","which pages you are visiting on our Websites,","User online activities"
"71","set cookies","Cookies and tracking elements"
"2","types of information","Unspecified"
"2","types of information","Unspecified"
"2","types of information","Unspecified"
"2","types of information","Unspecified"
"2","types of information","Unspecified"
"2","such information","Unspecified"
"2","information","Unspecified"
"2","information","Unspecified"
"2","information","Unspecified"
"2","information","Unspecified"
"2","any information","Unspecified"
"2","any information","Unspecified"
"8","o this Privacy Policy.","Unspecified"
"9","IF YOU DO NOT AGREE TO THIS PRIVACY POLICY, PLEASE DO NOT ACCESS OR USE OUR SERVICES.","Unspecified"
"10","Information we collect about you","Unspecified"
"10","Where we store data","Unspecified"
"10","Information we collect about you","Unspecified"
"10","Disclosure of your information","Unspecified"
"10","personally identifiable information","Personal identifier"
"10","Information related to data","Unspecified"
"10","Information related to data","Unspecified"
"10","Cookies","Cookies and tracking elements"
"10","Mobile Analytics","Unspecified"
"10","Links to third party web sites and advertisers","Unspecified"
"10","Mobile Analytics","Unspecified"
"10","Social Media features","Social media data"
"11","several types of information","Unspecified"
"11","this information","Unspecified"
"11","this information","Unspecified"
"12","Personally Identifiable Information. Personally Identifiable Information refers to information by which you may be personally identified, such as your name, email address, or school.","Personal identifier"
"12","Personally Identifiable Information. Personally Identifiable Information refers to information by which you may be personally identified, such as your name, email address, or school.","Personal identifier"
"12","Personally Identifiable Information. Personally Identifiable Information refers to information by which you may be personally identified, such as your name, email address, or school.","Personal identifier"
"12","Personally Identifiable Information. Personally Identifiable Information refers to information by which you may be personally identified, such as your name, email address, or school.","Personal identifier"
"12","provide a credit card number and other payment-related information","Financial"
"12","provide a credit card number and other payment-related information","Financial"
"12","information","Unspecified"
"12","Your User Contributions","Other"
"12","your User Contributions","Other"
"12","some of the information","Unspecified"
"12","some of the information","Unspecified"
"12","mandatory data","Unspecified"
"13","your Internet Protocol (IP) address","IP address and device IDs"
"13","your Internet Protocol (IP) address","IP address and device IDs"
"13","your Internet Protocol (IP) address","IP address and device IDs"
"14","Personally Identifiable Information","Personal identifier"
"15","certain Non-Personally Identifiable Information","Unspecified"
"15","equipment,","Computer information"
"15","browsing actions,","User online activities"
"15","certain Non-Personally Identifiable Information","Unspecified"
"15","will tell us how many ads","Other"
"15","information","Unspecified"
"15","information","Unspecified"
"15","information","Unspecified"
"16","information on the type of device","IP address and device IDs"
"16","the operating system version","Computer information"
"16","access or track any location based information","Location"
"17","The data","Unspecified"
"17","your order","User online activities"
"17","payment details","Financial"
"17","the provision of support services","Unspecified"
"17","your personal data,","Generic personal information"
"17","information","Unspecified"
"18","To ensure that content from our Services is presented in the most effective manner for you","Unspecified"
"18","for your computer or mobile device","Unspecified"
"19","To provide you with information, products or services that you request from us or which we feel may interest you, where you have consented to be contacted for such purposes","Unspecified"
"19","To provide you with information, products or services that you request from us or which we feel may interest you, where you have consented to be contacted for such purposes","Unspecified"
"20","including for billing","Financial"
"20","collection","Other"
"20","any","Unspecified"
"21","credit card data","Financial"
"21","your credit card data","Financial"
"22","To allow you to participate in interactive features of our Services, when you choose to do so","Unspecified"
"22","To allow you to participate in interactive features of our Services, when you choose to do so","Unspecified"
"24","the information","Unspecified"
"25","electronic means (e-mail or SMS)","Contact"
"26","your data","Unspecified"
"26","contact you by electronic means","Contact"
"27","If you use the Contact Us form","Contact"
"27","the information provided","Unspecified"
"27","the information provided","Unspecified"
"27","use the Contact Us form","Contact"
"28","Personally Identifiable Information","Personal identifier"
"28","Personal Information","Personal identifier"
"28","your information","Unspecified"
"28","your information","Unspecified"
"29","ersonally Identifiable Information","Personal identifier"
"29","ersonally Identifiable Information","Personal identifier"
"29","ersonally Identifiable Information","Personal identifier"
"29","your credit card information","Financial"
"29","release your address information","Contact"
"29","provide order information","User online activities"
"30","Personally Identifiable Information","Personal identifier"
"30","Personally Identifiable Information","Personal identifier"
"30","Personally Identifiable Information","Personal identifier"
"30","Personally Identifiable Information","Personal identifier"
"30","Personally Identifiable Information","Personal identifier"
"30","Personally Identifiable Information","Personal identifier"
"30","information","Unspecified"
"31","Personally Identifiable Information","Personal identifier"
"31","Non-Personally Identifiable Information","Unspecified"
"32","Non-Personally Identifiable Information","Unspecified"
"34","the information","Unspecified"
"34","the information","Unspecified"
"38","past transactions","User online activities"
"41","your or your childs information","Unspecified"
"41","your information","Unspecified"
"41","your information","Unspecified"
"43","communications preferences","User profile"
"44","direct mai","Contact"
"44","direct mai","Contact"
"44","direct mailings","Contact"
"44","direct mailings","Contact"
"44","direct mailings","Contact"
"45","e-mails","Contact"
"45","e-mail recipients","Contact"
"46","cookies","Cookies and tracking elements"
