"3","We use this information to contact the user about services on our site for which he has expressed interest","Basic service/feature"
"3","so we can provide a more personalized experience on our site.","Personalization/Customization"
"3","so we can provide a more personalized experience on our site.","Personalization/Customization"
"4","used for billing purposes and to fill customer's orders. If we have trouble processing an order, the information is used to contact the user.","Basic service/feature"
"4","used for billing purposes and to fill customer's orders. If we have trouble processing an order, the information is used to contact the user.","Basic service/feature"
"5","This profile is used to tailor a user's visit to our Web site, and to direct pertinent marketing promotions to them.","Marketing"
"5","This profile is used to tailor a user's visit to our Web site, and to direct pertinent marketing promotions to them.","Marketing"
"5","improve the content of the site for the user","Personalization/Customization"
"5","improve the content of the site for the user","Personalization/Customization"
"7","to enhance the RedOrbit experience","Personalization/Customization"
"8","(for example","Unspecified"
"8","advertisers","Advertising"
"8","advertisers","Advertising"
"9","used to serve ads to users on this site.","Advertising"
"10","to serve ads when you visit our Web site","Advertising"
"11","In the course of serving advertisements to this site","Advertising"
"12","to analyze user movement.","Analytics/Research"
"13","help us better manage content on our site by informing us what content is effective","Analytics/Research"
"15","to let us know which emails have been opened by the recipients. This allows us to gauge the effectiveness of certain communications and the effectiveness of our marketing campaigns.","Analytics/Research"
"16","Established members will occasionally receive information on products, services, special deals, and a newsletter.","Marketing"
"17","If a user wishes to subscribe to our newsletter","Additional service/feature"
"20","n when required by law wherein we have a good-faith belief that such action is necessary to comply with a current judicial proceeding, a court order or legal process served on our Web site.","Legal requirement"
"23","to ship orders","Basic service/feature"
"24","such as a merger, being acquired by another company, or selling a portion of its assets","Merger/Acquisition"
"25","used for purposes not directly related to our site at the point where we ask for information","Other"
"26","our newsletter and promotional communications","Marketing"
"29","typically includes","Unspecified"
"29","Contact information will be used to notify the winners and award prizes","Marketing"
"29","Anonymous Survey information will be used for purposes of monitoring or improving the use and satisfaction of this site.","Analytics/Research"
"29","to conduct these surveys or contests","Marketing"
"30","for informing a friend about our site","Additional service/feature"
"34","In order for this Web site to properly fulfill its obligation to users","Other"
"38","to serve ads when you visit our Web site.","Advertising"
"40","In the course of serving advertisements to this site","Advertising"
"2","RedOrbit, Inc. collects information from our users at several different points on our Web site.","Unspecified"
"3","In order to use this Web site,","Basic service/feature"
"3","We use this information to contact the user about services on our site for which he has expressed interest","Basic service/feature"
"3","but encouraged so we can provide a more personalized experience on our site","Personalization/Customization"
"3","but encouraged so we can provide a more personalized experience on our site","Personalization/Customization"
"4","from the user on our order form","Basic service/feature"
"4","This information is used for billing purposes and to fill customer's orders. If we have trouble processing an order, the information is used to contact the user.","Additional service/feature"
"4","This information is used for billing purposes and to fill customer's orders. If we have trouble processing an order, the information is used to contact the user.","Additional service/feature"
"5","to create a profile of our users. A profile is stored information that we keep on individual users that details their viewing preferences.","Personalization/Customization"
"5","to create a profile of our users. A profile is stored information that we keep on individual users that details their viewing preferences.","Personalization/Customization"
"5","is used to tailor a user's visit to our Web site,","Personalization/Customization"
"5","and to direct pertinent marketing promotions to them.","Marketing"
"5","to create a profile of our users. A profile is stored information that we keep on individual users that details their viewing preferences.","Personalization/Customization"
"5","to create a profile of our users. A profile is stored information that we keep on individual users that details their viewing preferences.","Personalization/Customization"
"5","We do not share your profile with other third parties.","Unspecified"
"6","We use both session ID cookies [and] persistent cookies.","Unspecified"
"7","to enhance the RedOrbit experience.","Personalization/Customization"
"7","users would not have to log in a password more than once, thereby saving time while on our site.","Additional service/feature"
"7","users would not have to log in a password more than once, thereby saving time while on our site.","Additional service/feature"
"7","he only drawback to this is that the user will be limited in some areas of our site. F","Additional service/feature"
"7","to enhance the RedOrbit experience.","Personalization/Customization"
"8","(for example, advertisers","Advertising"
"8","Some of our business partners use cookies on our site","Unspecified"
"9","is used to serve ads to users on this site.","Advertising"
"10","in order to provide advertisements about goods and services of interest to you.","Advertising"
"11","In the course of serving advertisements","Advertising"
"12","to analyze trends, administer the site, track user?s movement in the aggregate, and gather broad demographic information for aggregate use.","Analytics/Research"
"12","to analyze trends, administer the site, track user?s movement in the aggregate, and gather broad demographic information for aggregate use.","Analytics/Research"
"12","to analyze trends, administer the site, track user?s movement in the aggregate, and gather broad demographic information for aggregate use.","Analytics/Research"
"12","We use a tracking utility called ClickTracks that uses log files to analyze user movement.","Unspecified"
"13","that help us better manage content on our site by informing us what content is effective.","Analytics/Research"
"15","to let us know which emails have been opened by the recipients. This allows us to gauge the effectiveness of certain communications and the effectiveness of our marketing campaigns.","Marketing"
"16","We send all new members a welcoming email to verify password and username. Established members will occasionally receive information on products, services, special deals, and a newsletter. Out of respect for the privacy of our users we present the option to not receive these types of communications.","Additional service/feature"
"17","If a user wishes to subscribe to our newslette","Additional service/feature"
"18","On rare occasions it is necessary to send out a strictly service related announcement. For instance, if our service is temporarily suspended for maintenance we might send users an email.","Service Operation and Security"
"20","when required by law wherein we have a good-faith belief that such action is necessary to comply with a current judicial proceeding, a court order or legal process served on our Web site.","Legal requirement"
"21","advertisers","Advertising"
"22","These are the instances in which we will share users personal information:","Unspecified"
"23","We","Unspecified"
"23","We use an outside shipping company to ship orders,","Other"
"23","a credit card processing company to bill users for goods and services.","Other"
"24","In the event RedOrbit, Inc. goes through a business transition, such as a merger, being acquired by another company, or selling a portion of its assets","Merger/Acquisition"
"25","or purposes not directly related to our site at the point where we ask for information","Unspecified"
"25","but don't want any marketing material","Marketing"
"26","newsletter and promotional","Other"
"29","The requested information typically includes","Unspecified"
"29","used to notify the winners and award prizes","Other"
"29","used to notify the winners and award prizes","Other"
"29","will be used for purposes of monitoring or improving the use and satisfaction of this site.","Analytics/Research"
"29","personally identifiable information is not shared with third parties","Unspecified"
"29","we give prior notice and choice","Unspecified"
"30","If a user elects to use our referral service for informing a friend about our site","Other"
"30","The friend may contact RedOrbit, Inc. to request the removal of this information from our database.","Other"
"38","in order to provide advertisements on this site and other sites about goods and services that may be of interest to you.","Advertising"
"40","In the course of serving advertisements to this site,","Advertising"
"3","We use this information to contact the user about services on our site for which he has expressed interest","Basic service/feature"
"4","is used for billing purposes and to fill customer's orders","Basic service/feature"
"4","is used for billing purposes and to fill customer's orders","Basic service/feature"
"5","tailor a user's visit to our Web site","Personalization/Customization"
"5","direct pertinent marketing promotions to them","Marketing"
"7","By setting a cookie on our site, users would not have to log in a password more than once, thereby saving time while on our site","Personalization/Customization"
"9","used to serve ads to users on this site","Advertising"
"10","serve ads","Advertising"
"11","serving advertisements","Advertising"
"13","manage content on our site by informing us what content is effective","Analytics/Research"
"15","gauge the effectiveness of certain communications and the effectiveness of our marketing campaigns","Marketing"
"16","products, services, special deals, and a newsletter","Marketing"
"17","subscribe to our newsletter","Additional service/feature"
"20","we may need to disclose personal information when required by law","Legal requirement"
"23","ship orders, and a credit card processing company to bill users for goods and services.","Basic service/feature"
