"4","to learn about American Honda, American Honda Finance Corporation (""AHFC""), our product and service information, special offers and promotions, and investor information.","Basic service/feature"
"4","to learn about American Honda, American Honda Finance Corporation (""AHFC""), our product and service information, special offers and promotions, and investor information. You can also access financial planning tools.","Basic service/feature"
"5","Use of certain features and tools","Basic service/feature"
"5","Use of certain features and tools","Basic service/feature"
"5","Use of certain features and tools","Basic service/feature"
"5","Use of certain features and tools on this Site","Basic service/feature"
"5","Use of certain features and tools on this Site","Basic service/feature"
"6","in order to enhance your experience on our web sites.","Personalization/Customization"
"6","to provide the web site visitor a service or correspondence (such as promotions and mailed brochures).","Marketing"
"6","provide the web site visitor a service","Basic service/feature"
"6","promotions and mailed brochures)","Marketing"
"7","To use American Honda's Internet services, such as the Dealer Locator and brochure requests, we require a certain amount of personally identifying information such as name and address to meet your request. We may use this information to identify and access data in the existing relationship we have with you to provide you with the requested services. We may request email addresses as an alternate means of contacting you.","Additional service/feature"
"7","American Honda's Internet services, such as the Dealer Locator and brochure requests,","Basic service/feature"
"8","This information is collected and used to generate statistics, measure site activity, and improve the usefulness of our sites.","Analytics/Research"
"8","This information is collected and used to generate statistics, measure site activity, and improve the usefulness of our sites.","Analytics/Research"
"8","generate statistics, measure site activity, and improve the usefulness of our sites.","Analytics/Research"
"8","generate statistics, measure site activity, and improve the usefulness of our sites.","Analytics/Research"
"9","to assist us in providing customized services. We use cookies to provide you with a convenience feature to save you time and provide a more personalized experience on our site. For example, you may log on once during a visit and will be able to access multiple servers without having to log on again and again.","Personalization/Customization"
"9","We also use the information for internal research on our user's demographics, interests, and behavior to better understand our visitor's preferences.","Analytics/Research"
"9","Some portions of our Web sites, such as owners.honda.com/owners.acura.com, however, require the use of cookies for proper function.","Other"
"9","providing customized services","Personalization/Customization"
"10","Their use helps us determine the effectiveness of our advertising campaigns.","Advertising"
"10","These files enable DoubleClick to recognize a unique cookie on your Web browser, which in turn enables us to learn which advertisements bring users to our website","Advertising"
"10","used for the purpose of serving you targeted ads","Advertising"
"10","effectiveness of our advertising campaigns","Advertising"
"10","effectiveness of our advertising campaigns","Advertising"
"10","effectiveness of our advertising campaigns","Advertising"
"10","targeted ads","Advertising"
"11","is used to improve the services we provide you and to provide services to you that you request. For example, if you enroll in EasyPay or Pay Online, our account payment services,","Basic service/feature"
"11","If you request brochures, we may hire a third party fulfillment company to meet your request.","Additional service/feature"
"11","marketing","Marketing"
"11","conducting surveys and research to help us provide better products and services).","Analytics/Research"
"11","for that entity or individual's independent use","Other"
"11","of when you request to be added to the fan mailing list of one of the participating Civic Tour bands and/or Civic Tour promotional partners","Additional service/feature"
"11","in situations where required by law, we may need to share this information with law enforcement officials such as in response to a court order or subpoena.","Legal requirement"
"11","AHFC customers are also encouraged to see the American Honda Finance Corporation Financial Privacy Policy below to learn more about protections and use of your nonpublic personal information (such as personally identifiable financial information).","Other"
"11","AHFC customers are also encouraged to see the American Honda Finance Corporation Financial Privacy Policy below to learn more about protections and use of your nonpublic personal information (such as personally identifiable financial information).","Other"
"11","used to improve the services we provide you and to provide services to you that you request.","Basic service/feature"
"11","If you request brochures, we may hire a third party fulfillment company to meet your request.","Marketing"
"11","marketing,","Marketing"
"11","conducting surveys and research to help us provide better products and services","Analytics/Research"
"11","required by law","Legal requirement"
"12","when you apply for employment","Additional service/feature"
"12","when you apply for employment","Additional service/feature"
"12","when you apply for employment","Additional service/feature"
"12","when you apply for employment","Additional service/feature"
"12","when you apply for employment","Additional service/feature"
"12","when you apply for employment","Additional service/feature"
"12","when you apply for employment","Additional service/feature"
"12","when you apply for employment","Additional service/feature"
"13","promotion","Marketing"
"13","joint promotion","Marketing"
"20","Request A Quote.","Additional service/feature"
"20","utilize this service,","Basic service/feature"
"20","utilize this service,","Basic service/feature"
"20","utilize this service,","Basic service/feature"
"21","This information is collected and is used only in a manner appropriate to process your request for pre-approved credit. For example, American Honda Finance Corporation (doing business as Honda Financial Services) may use this information to investigate your credit, employment, and income to assist in our credit decision-making process.","Additional service/feature"
"21","Financing Tools, Apply online for Pre-Approved Credit.","Additional service/feature"
"21","Financing Tools, Apply online for Pre-Approved Credit.","Additional service/feature"
"21","Financing Tools, Apply online for Pre-Approved Credit.","Additional service/feature"
"22","our financing calculators to get an idea as to how much it may cost you to buy or lease a new or used vehicle. Using this feature will help you determine what you can afford.","Additional service/feature"
"22","Financing Tools, Payment Calculators","Basic service/feature"
"23","Request a Brochure. If you choose to request that we mail you a specific model fact sheet or brochure or a full-line brochure","Additional service/feature"
"23","to process your request","Additional service/feature"
"23","You may also choose to receive additional product information or be contacted by a Honda dealer.","Additional service/feature"
"23","If you choose to request that we mail you a specific model fact sheet or brochure or a full-line brochure","Marketing"
"23","If you choose to request that we mail you a specific model fact sheet or brochure or a full-line brochure","Marketing"
"23","If you choose to request that we mail you a specific model fact sheet or brochure or a full-line brochure","Marketing"
"24","Email Newsletters. You may decide that you wish to sign up to receive email newsletters on a particular Honda model and site features or to receive newsletters about all new models, special promotions, and site features.","Additional service/feature"
"24","Email Newsletters","Marketing"
"25","Email Cards. When visiting our vehicle web pages, at times, you may choose to send electronic cards to your family or friends.","Additional service/feature"
"25","Email Cards","Marketing"
"26","Request A Quote. When you select and build your choice in a vehicle, we will present you with a complete list of your choices, as well as the vehicle's suggested retail price.","Additional service/feature"
"26","Request A Quote. When you select and build your choice in a vehicle, we will present you with a complete list of your choices, as well as the vehicle's suggested retail price. We can also forward your quote to a local Acura dealer for further contact. If you choose to utilize this service,","Additional service/feature"
"26","regarding the status of your application to the dealer you selected to receive your price quote request.","Additional service/feature"
"27","Financing Tools, Apply online for Pre-Approved Credit. If you choose to submit an application to Acura Financial Services for pre-approved credit,","Additional service/feature"
"27","Financing Tools, Apply online for Pre-Approved Credit. If you choose to submit an application to Acura Financial Services for pre-approved credit,","Additional service/feature"
"27","Financing Tools, Apply online for Pre-Approved Credit. If you choose to submit an application to Acura Financial Services for pre-approved credit,","Additional service/feature"
"27","After you apply, you may also check the status of your application.","Additional service/feature"
"27","After you apply, you may also check the status of your application.","Additional service/feature"
"28","Financing Tools, Payment Calculators. You may choose to utilize our financing calculators to get an idea as to how much it may cost you to buy or lease a new or used vehicle","Additional service/feature"
"29","Brochure Request. If you choose to request that we mail you a specific model brochure, a full-line brochure, or a certified pre-owned program brochure,","Additional service/feature"
"29","to process your request.","Additional service/feature"
"30","offers the ability to buy Acura Apparel and Merchandise online from a third party vendor, Bensussen Deutsch Associates Inc. (BDA).","Additional service/feature"
"31","Request a Brochure. If you request that we mail you a full line brochure,","Additional service/feature"
"32","Email Notifications. You may decide that you wish to sign up to receive email notifications on a particular Honda model(s), new products, special offers, events and more.","Additional service/feature"
"32","Email Notifications","Marketing"
"33","Build Your Bike/Build Your ATV/Build Your PWC/Build Your MUV.","Additional service/feature"
"34","You may choose to register for a My Favorites account in order to save configurations of any model you build on the site.","Additional service/feature"
"34","to receiving information on Honda's newest products, special offers, events, and more.","Marketing"
"34","You may choose to register for a My Favorites account","Additional service/feature"
"34","receiving information on Honda's newest products, special offers, events, and more.","Marketing"
"35","Request A Quote. When you select and build your choice in a motorcycle, scooter, ATV or watercraft, we will present you with a complete list of your choices.","Additional service/feature"
"36","Certificate Application for Current Offers. You may choose to apply for a personalized current offer certificate that you can bring to your local Honda motorcycle dealer and use at your time of purchase.","Additional service/feature"
"36","Certificate Application for Current Offers","Additional service/feature"
"36","choose whether you would like to receive additional information on Motorcycle products or whether you would like to email the link to a friend.","Marketing"
"37","Apply for Pre-Approved Credit. If you choose to submit an application to us for pre-approved credit,","Additional service/feature"
"37","Apply for Pre-Approved Credit. If you choose to submit an application to us for pre-approved credit,","Additional service/feature"
"37","Apply for Pre-Approved Credit. If you choose to submit an application to us for pre-approved credit,","Additional service/feature"
"39","HRCA Clubhouse Registration. You may choose to become a registered user in order to have greater access to the Clubhouse.","Additional service/feature"
"39","HRCA Clubhouse Registration","Additional service/feature"
"40","This information is collected and is used only in a manner appropriate to process your enrollment and to provide HRCA club membership services to you.","Additional service/feature"
"40","This information is collected and is used only in a manner appropriate to process your enrollment and to provide HRCA club membership services to you.","Additional service/feature"
"40","Membership Enrollment and HRCA Clubhouse Registration","Additional service/feature"
"40","email notifications regarding the Clubhouse, HRCA updates, or other information.","Marketing"
"41","This information is collected and used only to validate your membership with us and to register you in the clubhouse.","Additional service/feature"
"41","This information is collected and used only to validate your membership with us and to register you in the clubhouse.","Additional service/feature"
"41","HRCA member","Additional service/feature"
"43","Member Directory and Instant Messaging.","Additional service/feature"
"43","Member Directory and Instant Messaging.","Additional service/feature"
"43","Member Directory and Instant Messaging.","Additional service/feature"
"43","Member Directory and Instant Messaging.","Additional service/feature"
"44","Request a Brochure.","Additional service/feature"
"45","Request a Brochure.","Additional service/feature"
"46","Request a Brochure.","Additional service/feature"
"47","My Vehicle. Honda Owners/Acura Owners provides access to valuable resources like maintenance schedules, roadside tips, FAQs, and account management.","Additional service/feature"
"47","Honda Owners/Acura Owners provides access to valuable resources like maintenance schedules, roadside tips, FAQs, and account management.","Additional service/feature"
"47","you may choose to receive messages from us relating to ""general information about Honda Owners/Acura Owners, such as site updates.""","Marketing"
"47","Honda Owners/Acura Owners provides access to valuable resources like maintenance schedules, roadside tips, FAQs, and account management.","Additional service/feature"
"48","in order to tailor advanced features, such as maintenance reminders, service records, and recall notices to you and to your specific product.","Personalization/Customization"
"48","in order to tailor advanced features, such as maintenance reminders, service records, and recall notices to you and to your specific product.","Personalization/Customization"
"48","tailor advanced features, such as maintenance reminders, service records, and recall notices to you and to your specific product.","Personalization/Customization"
"48","tailor advanced features, such as maintenance reminders, service records, and recall notices to you and to your specific product.","Personalization/Customization"
"50","if you visit the site and wish to register, purchase products, request other information, or otherwise communicate with Honda about the products/services offered on the site.","Additional service/feature"
"50","if you visit the site and wish to register, purchase products, request other information, or otherwise communicate with Honda about the products/services offered on the site.","Additional service/feature"
"50","eStore","Additional service/feature"
"50","eStore","Additional service/feature"
"51","to complete any transactions that you enter into, including credit card processing and, for independent repair facilities, credit checks, credit services, and debt collection.","Basic service/feature"
"51","will be used to complete any transactions that you enter into, including credit card processing and, for independent repair facilities, credit checks, credit services, and debt collection.","Basic service/feature"
"51","will be used to complete any transactions that you enter into, including credit card processing and, for independent repair facilities, credit checks, credit services, and debt collection.","Basic service/feature"
"51","complete any transactions that you enter into, including credit card processing and, for independent repair facilities, credit checks, credit services, and debt collection.","Basic service/feature"
"51","complete any transactions that you enter into, including credit card processing and, for independent repair facilities, credit checks, credit services, and debt collection.","Basic service/feature"
"51","who will fulfill your order.","Basic service/feature"
"51","who will fulfill your order.","Basic service/feature"
"52","Email-to-a-friend. If you wish to share information that you view on a page of this Site with a friend, we will email the web page to your friend for you.","Additional service/feature"
"53","This information is collected and is used only in a manner appropriate to process your request for pre-approved credit. For example, we may use this information to investigate your credit, employment, and income to assist in our credit decision-making process.","Additional service/feature"
"53","This information is collected and is used only in a manner appropriate to process your request for pre-approved credit. For example, we may use this information to investigate your credit, employment, and income to assist in our credit decision-making process.","Additional service/feature"
"53","This information is collected and is used only in a manner appropriate to process your request for pre-approved credit. For example, we may use this information to investigate your credit, employment, and income to assist in our credit decision-making process.","Additional service/feature"
"54","you may decide to enroll in our convenient EasyPay program and authorize AHFC to automatically withdraw scheduled monthly payments from your bank checking or savings account.","Additional service/feature"
"54","you may decide to enroll in our convenient EasyPay program and authorize AHFC to automatically withdraw scheduled monthly payments from your bank checking or savings account.","Additional service/feature"
"54","EasyPay Enrollment.","Additional service/feature"
"54","EasyPay Enrollment.","Additional service/feature"
"55","Email-to-a-friend. If you wish to share information that you view on a page of this Site with a friend, we will email the web page to your friend for you.","Additional service/feature"
"56","This information is collected and is used only in a manner appropriate to process your request for pre-approved credit. For example, we may use this information to investigate your credit, employment, and income to assist in our credit decision-making process.","Additional service/feature"
"56","This information is collected and is used only in a manner appropriate to process your request for pre-approved credit. For example, we may use this information to investigate your credit, employment, and income to assist in our credit decision-making process.","Additional service/feature"
"56","This information is collected and is used only in a manner appropriate to process your request for pre-approved credit. For example, we may use this information to investigate your credit, employment, and income to assist in our credit decision-making process.","Additional service/feature"
"57","you may decide to enroll in our convenient EasyPay program and authorize AHFC to automatically withdraw scheduled monthly payments from your bank checking or savings account.","Additional service/feature"
"57","you may decide to enroll in our convenient EasyPay program and authorize AHFC to automatically withdraw scheduled monthly payments from your bank checking or savings account.","Additional service/feature"
"59","sign up for email notifications in connection with the Civic Tour, our product information, from the bands participating in a particular Civic Tour, or from the promotional partners participating in a particular Civic Tour.","Marketing"
"59","email notifications in connection with the Civic Tour, our product information, from the bands participating in a particular Civic Tour, or from the promotional partners participating in a particular Civic Tour.","Marketing"
"60","contacted by a band participating in a particular Civic Tour and/or a promotional partner participating in a particular Civic Tour.","Marketing"
"64","Credit applications","Basic service/feature"
"64","Credit applications","Basic service/feature"
"64","Credit applications","Basic service/feature"
"65","direct transactions","Basic service/feature"
