"3","Make a purchase;","Basic service/feature"
"3","Enter registration information for one or more of our Services; Enter a sweepstakes or contest or register for a promotion; Participate in voting or polling activities; Make a purchase; Request certain features (e.g., newsletters, updates, and other products); Sign up to receive SMS (text message) notifications; Download or use one of our mobile applications; Connect with the Services or otherwise allow us to access certain information about you via a social networking site (SNS); or Post user-generated content to or on any of our Services.","Additional service/feature"
"3","Make a purchase;","Basic service/feature"
"3","Enter registration information for one or more of our Services; Enter a sweepstakes or contest or register for a promotion; Participate in voting or polling activities; Make a purchase; Request certain features (e.g., newsletters, updates, and other products); Sign up to receive SMS (text message) notifications; Download or use one of our mobile applications; Connect with the Services or otherwise allow us to access certain information about you via a social networking site (SNS); or Post user-generated content to or on any of our Services.","Additional service/feature"
"3","Make a purchase;","Basic service/feature"
"3","Enter registration information for one or more of our Services; Enter a sweepstakes or contest or register for a promotion; Participate in voting or polling activities; Make a purchase; Request certain features (e.g., newsletters, updates, and other products); Sign up to receive SMS (text message) notifications; Download or use one of our mobile applications; Connect with the Services or otherwise allow us to access certain information about you via a social networking site (SNS); or Post user-generated content to or on any of our Services.","Additional service/feature"
"3","Make a purchase;","Basic service/feature"
"3","Enter registration information for one or more of our Services; Enter a sweepstakes or contest or register for a promotion; Participate in voting or polling activities; Make a purchase; Request certain features (e.g., newsletters, updates, and other products); Sign up to receive SMS (text message) notifications; Download or use one of our mobile applications; Connect with the Services or otherwise allow us to access certain information about you via a social networking site (SNS); or Post user-generated content to or on any of our Services.","Additional service/feature"
"3","Services;","Basic service/feature"
"3","Services;","Basic service/feature"
"3","Enter a sweepstakes or contest or register for a promotion;","Additional service/feature"
"6","voluntarily disclose information through the Services, such as via SNSs, on message boards, chat areas or in advertising or notices you post","Additional service/feature"
"6","voluntarily disclose information through the Services, such as via SNSs, on message boards, chat areas or in advertising or notices you post","Additional service/feature"
"6","on message boards, chat areas","Basic service/feature"
"6","on message boards, chat areas or in advertising or notices you post","Basic service/feature"
"7","nalyze the usage of our sites and Services","Analytics/Research"
"7","customize the Services to your preferences","Personalization/Customization"
"7","control the advertising displayed by the Services","Advertising"
"7","nalyze the usage of our sites and Services;","Analytics/Research"
"7","ustomize the Services to your preferences;","Personalization/Customization"
"7","ontrol the advertising displayed by the Services","Advertising"
"7","store your username and password;","Service Operation and Security"
"7","determine whether the message has been opened","Marketing"
"7","(a) store your username and password","Personalization/Customization"
"7","customize the Services to your preferences","Personalization/Customization"
"7","(b) analyze the usage of our sites and Services","Analytics/Research"
"7","control the advertising displayed by the Services","Advertising"
"8","you use to access or interact with our services","Basic service/feature"
"8","you use to access or interact with our services","Basic service/feature"
"8","you use to access or interact with our services","Basic service/feature"
"8","in which you interact with the Service","Basic service/feature"
"10","ads","Advertising"
"10","accessible","Other"
"10","tailored ads","Advertising"
"10","advertising","Advertising"
"10","to serve tailored ads to you on the Services","Advertising"
"11","tailored in-application advertisements","Advertising"
"11","advertisements","Advertising"
"12","customize the Services with location-based information, advertising, and features.","Advertising"
"12","customize the Services with location-based information, advertising, and features.","Advertising"
"12","advertisements","Advertising"
"12","the Services may be customized","Personalization/Customization"
"12","the Services may be customized","Personalization/Customization"
"12","customize the Services with location-based information","Personalization/Customization"
"12","customize the Services with location-based information","Personalization/Customization"
"12","advertising","Advertising"
"12","advertising,","Advertising"
"12","and may use that information to customize the Services with location-based information, advertising, and features. For example, if you provide a zip code that indicates that you live in Chicago, the Services may be customized with Chicago-specific information and advertisements","Personalization/Customization"
"12","advertising,","Advertising"
"12","advertisers","Advertising"
"12","For example, if you provide a zip code that indicates that you live in Chicago, the Services may be customized with Chicago-specific information and advertisements.","Personalization/Customization"
"12","advertisers","Advertising"
"13","purposes for which you provided it;","Basic service/feature"
"13","To send you alerts or other communications via SMS messages or other media or networks","Marketing"
"13","To administer sweepstakes and contests;","Additional service/feature"
"13","To contact you with information that we believe will be of interest to you;","Personalization/Customization"
"13","To generate and review reports and data about our user base and Service usage patterns;","Analytics/Research"
"13","To allow us to personalize the content and advertising that you see on the Services;","Advertising"
"13","To enforce the legal terms that govern your use of the Services; and","Service Operation and Security"
