"4","when you enter a sweepstakes or contest, complete a survey","Additional service/feature"
"4","make a purchase, subscribe to our publication(s), register for certain services, or register and/or set up an account/profile to access, visit and/or use certain portions of the Service, or the Service as a whole,","Basic service/feature"
"4","when you enter a sweepstakes or contest, complete a survey","Additional service/feature"
"4","make a purchase, subscribe to our publication(s), register for certain services, or register and/or set up an account/profile to access, visit and/or use certain portions of the Service, or the Service as a whole","Basic service/feature"
"6","social networking services","Additional service/feature"
"6","enhance or personalize your experience on our Service.","Personalization/Customization"
"6","social networking services","Additional service/feature"
"6","We reserve the right to use, transfer, assign, sell, share, and provide access","Other"
"7","provide you with the merchandise, product, service, and/or Content you have requested","Basic service/feature"
"7","if you enter an online sweepstakes, we will use this information to notify you if you are a winner.","Additional service/feature"
"7","communicate with you about new features, products or services,","Marketing"
"7","improve the services that we offer by tailoring them to your needs.","Personalization/Customization"
"7","to provide you with the merchandise, product, service, and/or Content you have requested.","Additional service/feature"
"7","we may use your e-mail address to send you a confirmation notice and your mailing address to send you the publication. Similarly, if you enter an online sweepstakes, we will use this information to notify you if you are a winner. We may also use the information to communicate with you about new features, products or services, and/or to improve the services that we offer by tailoring them to your needs.","Marketing"
"8","offer services and/or products that may be of interest to you","Marketing"
"8","offer services and/or products that may be of interest to you","Marketing"
"8","offer services and/or products that may be of interest to you","Marketing"
"8","offer services and/or products that may be of interest to you","Marketing"
"8","offer services and/or products that may be of interest to you","Marketing"
"8","offer services and/or products that may be of interest to you","Marketing"
"8","who we think may offer services and/or products that may be of interest to you.","Advertising"
"9","services, such as technical maintenance","Basic service/feature"
"9","market research","Analytics/Research"
"9","community and forums management, auction services","Additional service/feature"
"9","classified ads functionality","Advertising"
"9","services such as credit card or other payment processing, order fulfillment, credit pre-authorization, and address verification","Basic service/feature"
"9","but only for the purpose of and to the extent necessary to provide those services","Service operation and security"
"9","such as credit card or other payment processing, order fulfillment, credit pre-authorization, and address verification.","Service operation and security"
"9","In such cases, the information may be used by us and by such third party(ies), each pursuant to its own policies.","Unspecified"
"9","so that they can serve ads to you that meet your needs or match your interests.","Advertising"
"10","health, safety and other matters of public interest.","Other"
"10","health, safety and other matters of public interest.","Other"
"10","for purposes of health, safety and other matters of public interest.","Service Operation and Security"
"11","order to cooperate with official investigations or legal proceedings initiated by governmental and/or law enforcement officials, as well as private parties, including, for example, in response to subpoenas, search warrants, court orders, or other legal process.","Legal requirement"
"11","in order to cooperate with official investigations or legal proceedings initiated by governmental and/or law enforcement officials, as well as private parties, including, for example, in response to subpoenas, search warrants, court orders, or other legal process.","Legal requirement"
"12","any lawful business purpose","Unspecified"
"12","help diagnose problems with our servers, to gather broad demographic information, analyze trends, track users movements around the Service, and to otherwise administer the Service.","Analytics/Research"
"12","show you content and sponsored messaging based on geographic location.","Marketing"
"12","including without limitation to help diagnose problems with our servers, to gather broad demographic information, analyze trends, track users movements around the Service, and to otherwise administer the Service.","Service Operation and Security"
"12","may specifically be used to show you content and sponsored messaging based on geographic location.","Advertising"
"12","including without limitation to help diagnose problems with our servers, to gather broad demographic information, analyze trends, track users movements around the Service, and to otherwise administer the Service.","Analytics/Research"
"13","any lawful business purpose","Unspecified"
"13","analyzing usage trends","Analytics/Research"
"13","seeking compatible advertisers, sponsors, clients and customers","Advertising"
"13","any lawful business purpose","Unspecified"
"13","analyzing usage trends","Analytics/Research"
"13","seeking compatible advertisers, sponsors, clients and customers","Advertising"
"13","any lawful business purpose","Unspecified"
"13","analyzing usage trends","Analytics/Research"
"13","seeking compatible advertisers, sponsors, clients and customers","Advertising"
"13","for any lawful business purpose, such as analyzing usage trends and seeking compatible advertisers, sponsors, clients and customers.","Other"
"14","In addition, as our business changes, we may buy or sell various assets. In the event all or a portion of the assets owned or controlled by us, our parent or any subsidiary or affiliated entity are sold, assigned, transferred or acquired by another company, the information from and/or about our Service users may be among the transferred assets.","Merger/Acquisition"
"14","we may buy or sell various assets. In the event all or a portion of the assets owned or controlled by us, our parent or any subsidiary or affiliated entity are sold, assigned, transferred or acquired by another company, the information from and/or about our Service users may be among the transferred assets.","Merger/Acquisition"
"15","for any lawful business purpose.","Unspecified"
"16","We may use Local Device Storage for any lawful business purpose, including without limitation to determine which of our messages have been opened by recipients so we can gauge the effectiveness of marketing campaigns, to control the display of ads, to track usage patterns, the movements of individual users, and your geographic location, to help diagnose problems with our servers, to gather broad demographic information, to analyze trends, to conduct research, to deliver editorial content, to record registration and personalization information, and to otherwise administer the Service.","Analytics/Research"
"17","some portions of the Service may not function properly","Unspecified"
"17","However, if you disable Local Device Storage, some portions of the Service may not function properly.","Additional service/feature"
"18","We use Tracking Technologies for all or some of the same lawful business purposes we describe above for use of Local Device Storage.","Unspecified"
"20","advertising","Advertising"
"20","advertising","Advertising"
"20","advertising","Advertising"
"20","advertising","Advertising"
"20","to serve you advertisements tailored to interests you have shown by browsing on this Service and other sites, applications, destinations, and services you have visited, and to determine whether you have seen a particular advertisement before to avoid sending you duplicate advertisements, and for other lawful business purposes.","Advertising"
"20","to serve you advertisements tailored to interests you have shown by browsing on this Service and other sites, applications, destinations, and services you have visited, and to determine whether you have seen a particular advertisement before to avoid sending you duplicate advertisements, and for other lawful business purposes.","Advertising"
"30","marketing purposes","Marketing"
"30","for their marketing purposes.","Marketing"
"31","promotional messages from us,","Marketing"
"4","when you enter a sweepstakes or contest","Marketing"
"4","complete a survey","Analytics/Research"
"4","make a purchase","Basic service/feature"
"4","subscribe to our publication(s)","Additional service/feature"
"4","register and/or set up an account/profile to access","Additional service/feature"
