"2","marketing materials","Marketing"
"2","sent marketing materials","Marketing"
"3","contact you if you have subscribed to our newsletter, if you have made a donation","Additional service/feature"
"3","if you respond to an action request made by the Center","Basic service/feature"
"3","Information you submit to our web site will be used to contact you if you have subscribed to our newsletter, if you have made a donation or if you respond to an action request made by the Center.","Other"
"4","authentication","Basic service/feature"
"4","other purposes","Unspecified"
"4","for authentication and other purposes.","Other"
"5","ensure the integrity of our services and for troubleshooting purposes","Service Operation and Security"
"5","ensure the integrity of our services and for troubleshooting purposes","Service Operation and Security"
"5","to learn how people use the site and to improve our services.","Analytics/Research"
"2","marketing","Marketing"
"3","to contact you if you have subscribed to our newsletter, if you have made a donation or if you respond to an action request made by the Center.","Additional service/feature"
"3","to contact you if you have subscribed to our newsletter, if you have made a donation or if you respond to an action request made by the Center.","Additional service/feature"
"4","for authentication","Service Operation and Security"
"4","other purposes.","Unspecified"
"4","In such a case, some features of the website may not work as intended.","Additional service/feature"
"4","advertisements","Advertising"
"5","to learn how people use the site and to improve our services.","Analytics/Research"
"5","to ensure the integrity of our services and for troubleshooting purposes.","Service Operation and Security"
"5","to ensure the integrity of our services and for troubleshooting purposes.","Service Operation and Security"
